time,CSIRO-MK3-6-0,GISS-E2-R,GFDL-CM3,CCSM4,GFDL-ESM2G,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR
2000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0
2001.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0
2002.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0
2003.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0
2004.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0
2005.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0
2006.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0
2007.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0
2008.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0
2009.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0
2010.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0
2011.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0
2012.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0
2013.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0
2014.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0
2015.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0
2016.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0
2017.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0
2018.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0
2019.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0
2020.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0
2021.0,47368560000.0,46875734000.0,45861540000.0,46731240000.0,47552553000.0,45540033000.0,47010386000.0,45530817000.0
2022.0,46684350000.0,45947822000.0,43312017000.0,47157903000.0,46873250000.0,44692087000.0,47133540000.0,45459825000.0
2023.0,45878700000.0,44528718000.0,42564887000.0,46216385000.0,46505697000.0,42805854000.0,45869520000.0,44758250000.0
2024.0,44015833000.0,44704670000.0,40885977000.0,45261500000.0,46064034000.0,42054054000.0,45497926000.0,42550470000.0
2025.0,42512753000.0,43380340000.0,39381156000.0,45067903000.0,45176988000.0,41645240000.0,44399542000.0,40714700000.0
2026.0,41477130000.0,42399277000.0,37918544000.0,44780397000.0,45471130000.0,41743323000.0,43153390000.0,38262268000.0
2027.0,40766320000.0,41474236000.0,36807143000.0,43945824000.0,44965290000.0,40781640000.0,41799287000.0,37639614000.0
2028.0,40176394000.0,40745185000.0,34127036000.0,43127263000.0,45014540000.0,39706575000.0,41655284000.0,37563290000.0
2029.0,39352530000.0,39978100000.0,33847660000.0,42111586000.0,45237293000.0,38814163000.0,41315664000.0,37936505000.0
2030.0,39047190000.0,39112240000.0,32118890000.0,41502085000.0,44573170000.0,38168044000.0,41061822000.0,36753035000.0
2031.0,38383133000.0,39178560000.0,31149847000.0,41703215000.0,44331844000.0,36192702000.0,39672087000.0,36117533000.0
2032.0,37412594000.0,39645990000.0,30069367000.0,41765626000.0,44295390000.0,35372175000.0,40113844000.0,33807112000.0
2033.0,37276447000.0,38775788000.0,28490574000.0,41478620000.0,44166975000.0,34629790000.0,38802665000.0,32596797000.0
2034.0,36109423000.0,39075955000.0,27275256000.0,40611320000.0,43261400000.0,33343090000.0,38102274000.0,31276335000.0
2035.0,34852960000.0,38947303000.0,25697247000.0,39392940000.0,43587817000.0,31004324000.0,36896010000.0,30948915000.0
2036.0,34593540000.0,37546807000.0,24667430000.0,38974300000.0,43503760000.0,29828028000.0,35873530000.0,30305890000.0
2037.0,34207020000.0,36049910000.0,23385737000.0,38620504000.0,43613282000.0,28876140000.0,34745720000.0,29753710000.0
2038.0,33796684000.0,36066222000.0,22696915000.0,38161375000.0,43233595000.0,27350278000.0,34561438000.0,29328703000.0
2039.0,33850638000.0,34667510000.0,20709830000.0,36854157000.0,43074810000.0,26606390000.0,34001360000.0,28934550000.0
2040.0,32105669000.0,34058465000.0,18836414000.0,36452550000.0,42767348000.0,26390047000.0,32972829000.0,28742728000.0
2041.0,31202068000.0,34011904000.0,17644192000.0,36090340000.0,42663555000.0,25775864000.0,32777535000.0,27919297000.0
2042.0,30182382000.0,34114214000.0,17242747000.0,35103547000.0,41272685000.0,25558272000.0,31868234000.0,27406580000.0
2043.0,29433459000.0,33595398000.0,16664619000.0,33662878000.0,40794563000.0,24747014000.0,31621972000.0,27245890000.0
2044.0,28305938000.0,33951846000.0,16167903000.0,33158350000.0,41220145000.0,24220641000.0,31610438000.0,26198278000.0
2045.0,28162566000.0,33706428000.0,15503115000.0,32465177000.0,40672660000.0,23363561000.0,31746654000.0,26097578000.0
2046.0,27813825000.0,32785777000.0,14664888000.0,31415415000.0,39500976000.0,23106277000.0,30728876000.0,25800614000.0
2047.0,27496389000.0,33096220000.0,13578754000.0,30671380000.0,40098312000.0,21753848000.0,29250440000.0,25315295000.0
2048.0,26331333000.0,32632795000.0,12886700000.0,28833319000.0,39794480000.0,20680145000.0,28230150000.0,24487115000.0
2049.0,24388671000.0,31519234000.0,12727289000.0,27432620000.0,38750196000.0,20156873000.0,27882213000.0,23668177000.0
2050.0,24587147000.0,31052052000.0,12203159000.0,27118948000.0,37759144000.0,19698067000.0,27971965000.0,22435590000.0
2051.0,24961590000.0,30341667000.0,11753750000.0,26645115000.0,37158750000.0,19726137000.0,27362664000.0,22175132000.0
2052.0,23929010000.0,30098900000.0,11474924000.0,26294125000.0,36908600000.0,19705780000.0,26868281000.0,21270876000.0
2053.0,22903355000.0,30490440000.0,11319010000.0,25914644000.0,35601777000.0,19455492000.0,26008440000.0,20319982000.0
2054.0,23210570000.0,30437833000.0,11313384000.0,25220440000.0,34368393000.0,18863479000.0,25335575000.0,20120916000.0
2055.0,21947908000.0,29944074000.0,10782364000.0,23807592000.0,31902364000.0,18128622000.0,24787740000.0,19350307000.0
2056.0,21526544000.0,29330575000.0,10436842000.0,23273165000.0,30641310000.0,17719788000.0,24358260000.0,19381926000.0
2057.0,20774697000.0,29647378000.0,10552631000.0,22251487000.0,30517838000.0,17754853000.0,23398136000.0,18438406000.0
2058.0,20539122000.0,29353953000.0,10360227000.0,21698085000.0,30116956000.0,17138195000.0,22815191000.0,18244006000.0
2059.0,19902601000.0,29957358000.0,10212608000.0,20786196000.0,29598792000.0,16496732000.0,21553598000.0,18391200000.0
2060.0,20517132000.0,29130541000.0,10101955000.0,20093116000.0,29345888000.0,16203655000.0,21706980000.0,18260660000.0
2061.0,20000670000.0,27974908000.0,9824977000.0,19760760000.0,29434250000.0,16062184000.0,21087000000.0,18066082000.0
2062.0,19875906000.0,27730630000.0,9861177000.0,19393755000.0,28956576000.0,15722978000.0,20644706000.0,17633706000.0
2063.0,19677389000.0,27483270000.0,9432556000.0,18511888000.0,28681476000.0,15091072000.0,20118313000.0,17052306000.0
2064.0,19189838000.0,28190122000.0,9111559000.0,18102675000.0,27967037000.0,14724169000.0,19420484000.0,16826727000.0
2065.0,19227904000.0,27282640000.0,9025406000.0,17596113000.0,28113377000.0,14393167000.0,19198274000.0,16118984000.0
2066.0,19001110000.0,27739783000.0,8786414000.0,17286896000.0,28138109000.0,14050159000.0,18725343000.0,15075893000.0
2067.0,19095613000.0,27244225000.0,8762891000.0,17228978000.0,27333198000.0,13740100000.0,18452353000.0,14591030000.0
2068.0,19021513000.0,26749796000.0,8459315000.0,17452410000.0,26742956000.0,13333562000.0,17610232000.0,14200969000.0
2069.0,19381332000.0,26756878000.0,8179949000.0,17139443000.0,25851066000.0,13523994000.0,17228069000.0,14007808000.0
2070.0,19130814000.0,26166931000.0,8249762000.0,16792245000.0,25354332000.0,13141316000.0,17067434000.0,13806096000.0
2071.0,18673725000.0,26554409000.0,7549640000.0,16289757000.0,24524417000.0,12480617000.0,16260689000.0,13248971000.0
2072.0,18169045000.0,26435332000.0,7321113000.0,15926186000.0,23349596000.0,12244687000.0,16274829000.0,12870751000.0
2073.0,17664131000.0,26198077000.0,7026024400.0,15844172000.0,22732507000.0,12139283000.0,16173168000.0,12655617000.0
2074.0,16974365000.0,25826077000.0,6667545600.0,15806535000.0,22151390000.0,11823435000.0,15603752000.0,12076660000.0
2075.0,16538182000.0,25167313000.0,6222910500.0,15397048000.0,21188870000.0,11716970000.0,14826498000.0,11796507000.0
