time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL
2000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0
2001.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0
2002.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0
2003.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0
2004.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0
2005.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0
2006.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0
2007.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0
2008.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0
2009.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0
2010.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0
2011.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0
2012.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0
2013.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0
2014.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0
2015.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0
2016.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0
2017.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0
2018.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0
2019.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0
2020.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0
2021.0,824599200000.0,817095440000.0,807687400000.0,805653200000.0,815992500000.0
2022.0,816132000000.0,794201500000.0,782025950000.0,787427300000.0,792662840000.0
2023.0,798433300000.0,774109460000.0,761756700000.0,765308500000.0,754417100000.0
2024.0,763108200000.0,747358700000.0,746312040000.0,750684300000.0,722373100000.0
2025.0,726470300000.0,722671800000.0,727470240000.0,726565100000.0,711519500000.0
2026.0,697755040000.0,696950700000.0,696102160000.0,714354100000.0,679283100000.0
2027.0,689954550000.0,676631300000.0,679253900000.0,698572870000.0,652786200000.0
2028.0,665554260000.0,649102300000.0,640933040000.0,683976400000.0,621108130000.0
2029.0,640337200000.0,616513200000.0,615012300000.0,671106300000.0,594191450000.0
2030.0,620087600000.0,582136700000.0,578149200000.0,643339600000.0,568927100000.0
2031.0,590269250000.0,552582100000.0,533002940000.0,641895240000.0,554281800000.0
2032.0,558938460000.0,516230350000.0,513290370000.0,631217900000.0,532686200000.0
2033.0,537605180000.0,486193300000.0,497790800000.0,614924300000.0,506068860000.0
2034.0,531966750000.0,466224840000.0,494686630000.0,599918200000.0,470130400000.0
2035.0,525874140000.0,449763500000.0,480561860000.0,601269500000.0,441568430000.0
2036.0,510082740000.0,428917800000.0,465570660000.0,592632150000.0,423915700000.0
2037.0,497823120000.0,412480300000.0,444363570000.0,575918200000.0,397467840000.0
2038.0,470659100000.0,389822680000.0,436589900000.0,578219500000.0,381275770000.0
2039.0,455632300000.0,373864960000.0,412780200000.0,568084200000.0,357040030000.0
2040.0,431377600000.0,347614770000.0,395707120000.0,550889650000.0,336725640000.0
2041.0,408786300000.0,330029660000.0,382768120000.0,525344870000.0,306047800000.0
