time,MIROC6,MRI-ESM2-0,IITM-ESM,KACE-1-0-G,MPI-ESM1-2-HR,CNRM-ESM2-1,UKESM1-0-LL,TAIESM1,IPSL-CM6A-LR,CESM2-WACCM,EC-EARTH3,CNRM-CM6-1,CANESM5,GFDL-ESM4
2000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0
2001.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0
2002.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0
2003.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0
2004.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0
2005.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0
2006.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0
2007.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0
2008.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0
2009.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0
2010.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0
2011.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0
2012.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0
2013.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0
2014.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0
2015.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0
2016.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0
2017.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0
2018.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0
2019.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0
2020.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0
2021.0,823250850000.0,824599200000.0,850642530000.0,810572400000.0,841900950000.0,805653200000.0,815992500000.0,823253200000.0,807687400000.0,822378040000.0,814822600000.0,849535300000.0,817095440000.0,842468700000.0
2022.0,805993050000.0,816132000000.0,852764600000.0,776355250000.0,825473500000.0,787427300000.0,792662840000.0,804067740000.0,782025950000.0,781371900000.0,789578000000.0,829534100000.0,794201500000.0,840623850000.0
2023.0,792023800000.0,798433300000.0,835946550000.0,753284150000.0,807217860000.0,765308500000.0,754417100000.0,783888350000.0,761756700000.0,754058200000.0,762788500000.0,809222600000.0,774109460000.0,822328900000.0
2024.0,772640500000.0,763108200000.0,818286900000.0,720268030000.0,789665100000.0,750684300000.0,722373100000.0,769886000000.0,746312040000.0,733641240000.0,747287900000.0,794146240000.0,747358700000.0,817844500000.0
2025.0,759877100000.0,726470300000.0,825551160000.0,690491000000.0,771089040000.0,726565100000.0,711519500000.0,751931400000.0,727470240000.0,697971700000.0,751424400000.0,771228500000.0,722671800000.0,826017400000.0
2026.0,741225500000.0,697755040000.0,825807900000.0,638083600000.0,760597200000.0,714354100000.0,679283100000.0,739456840000.0,696102160000.0,677387000000.0,717089500000.0,757781040000.0,696950700000.0,818881100000.0
2027.0,731828500000.0,689954550000.0,805541300000.0,595033200000.0,759405400000.0,698572870000.0,652786200000.0,730087800000.0,679253900000.0,655021800000.0,698638340000.0,729944600000.0,676631300000.0,789793200000.0
2028.0,715492360000.0,665554260000.0,818441100000.0,564015500000.0,750231300000.0,683976400000.0,621108130000.0,696234400000.0,640933040000.0,625394650000.0,676371230000.0,710589200000.0,649102300000.0,780034800000.0
2029.0,688313000000.0,640337200000.0,788434600000.0,532629880000.0,739777400000.0,671106300000.0,594191450000.0,660183250000.0,615012300000.0,593606100000.0,646909700000.0,705728900000.0,616513200000.0,760168840000.0
2030.0,660510600000.0,620087600000.0,794366500000.0,493832370000.0,728363500000.0,643339600000.0,568927100000.0,644404500000.0,578149200000.0,557102400000.0,618120500000.0,677562600000.0,582136700000.0,745158700000.0
2031.0,658227860000.0,590269250000.0,787839300000.0,455739440000.0,700496940000.0,641895240000.0,554281800000.0,607212500000.0,533002940000.0,542585420000.0,594537700000.0,668834900000.0,552582100000.0,735928060000.0
2032.0,663261740000.0,558938460000.0,766902600000.0,407789500000.0,705169600000.0,631217900000.0,532686200000.0,591873900000.0,513290370000.0,525275530000.0,577022660000.0,655174900000.0,516230350000.0,723945600000.0
2033.0,652794130000.0,537605180000.0,755844250000.0,373786180000.0,689007500000.0,614924300000.0,506068860000.0,567758500000.0,497790800000.0,501026200000.0,558902300000.0,636580200000.0,486193300000.0,720346600000.0
2034.0,643704400000.0,531966750000.0,766293700000.0,338646140000.0,686996600000.0,599918200000.0,470130400000.0,519034630000.0,494686630000.0,475819640000.0,550295100000.0,618110200000.0,466224840000.0,693864700000.0
2035.0,628862300000.0,525874140000.0,759557850000.0,308855900000.0,663843000000.0,601269500000.0,441568430000.0,503525700000.0,480561860000.0,443620850000.0,532041100000.0,605866360000.0,449763500000.0,681141600000.0
2036.0,598043600000.0,510082740000.0,761545560000.0,287065640000.0,645855440000.0,592632150000.0,423915700000.0,474968260000.0,465570660000.0,423960970000.0,519143600000.0,585203800000.0,428917800000.0,676199460000.0
2037.0,580830040000.0,497823120000.0,768903700000.0,266108860000.0,623165100000.0,575918200000.0,397467840000.0,447847460000.0,444363570000.0,400885150000.0,502216800000.0,559715200000.0,412480300000.0,655335100000.0
2038.0,560385000000.0,470659100000.0,749831700000.0,250248270000.0,614248900000.0,578219500000.0,381275770000.0,432326380000.0,436589900000.0,383066340000.0,495615440000.0,552336560000.0,389822680000.0,644067500000.0
2039.0,543300940000.0,455632300000.0,758125800000.0,237455210000.0,606064540000.0,568084200000.0,357040030000.0,411858000000.0,412780200000.0,367716170000.0,474273300000.0,539004340000.0,373864960000.0,621260100000.0
2040.0,522231940000.0,431377600000.0,760935100000.0,214654040000.0,597670950000.0,550889650000.0,336725640000.0,385773470000.0,395707120000.0,357245800000.0,447432700000.0,515242330000.0,347614770000.0,602520350000.0
2041.0,496810850000.0,408786300000.0,747656400000.0,197368900000.0,592673200000.0,525344870000.0,306047800000.0,364128700000.0,382768120000.0,341568720000.0,411084820000.0,514822100000.0,330029660000.0,598250100000.0
2042.0,483887600000.0,389611060000.0,716491100000.0,186889340000.0,585111400000.0,502533620000.0,287965940000.0,335979600000.0,358558370000.0,318176950000.0,399120530000.0,504358200000.0,316057900000.0,587466340000.0
2043.0,465135140000.0,370144350000.0,702933100000.0,172581550000.0,571746100000.0,483405200000.0,272509580000.0,315702440000.0,345595870000.0,303100800000.0,397262880000.0,476200600000.0,301809430000.0,566986200000.0
2044.0,447365840000.0,348277600000.0,687522840000.0,161410970000.0,557056460000.0,462490170000.0,256001570000.0,291889450000.0,326674640000.0,291743040000.0,391418280000.0,467124600000.0,280517280000.0,543417700000.0
2045.0,435074500000.0,327000360000.0,666877600000.0,149506540000.0,536554180000.0,447091570000.0,237658200000.0,270503890000.0,304072130000.0,274317380000.0,372816120000.0,448696650000.0,260929670000.0,515555980000.0
