time,MPI-ESM1-2-HR,IITM-ESM,KACE-1-0-G,MRI-ESM2-0,UKESM1-0-LL,CESM2-WACCM,IPSL-CM6A-LR,TAIESM1,GFDL-ESM4
2015.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0
2016.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0
2017.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0
2018.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0
2019.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0
2020.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0
2021.0,831361500000.0,849795150000.0,820673050000.0,829999400000.0,823027800000.0,831520900000.0,836953600000.0,833748000000.0,838064340000.0
2022.0,827289400000.0,840456400000.0,778133300000.0,804374200000.0,817485500000.0,812766100000.0,825923500000.0,800786700000.0,805415160000.0
2023.0,796061400000.0,829332600000.0,713668500000.0,780184100000.0,794281840000.0,785398760000.0,811610340000.0,788401400000.0,769483300000.0
2024.0,795428650000.0,829966450000.0,662074160000.0,757443900000.0,769634340000.0,778678000000.0,813712000000.0,754803600000.0,743311600000.0
2025.0,769623000000.0,834252770000.0,634439600000.0,728087660000.0,741279140000.0,762277660000.0,799722960000.0,723854100000.0,721303100000.0
2026.0,763499400000.0,792942740000.0,590913400000.0,697856700000.0,719891800000.0,740776350000.0,760688800000.0,695844000000.0,718006000000.0
2027.0,746602040000.0,788356400000.0,565467740000.0,674161700000.0,669670640000.0,718109740000.0,725150100000.0,664887800000.0,682772100000.0
2028.0,742060300000.0,783501400000.0,525440020000.0,657396660000.0,626837700000.0,705564000000.0,708464740000.0,641230600000.0,676730770000.0
2029.0,733434150000.0,745222500000.0,494571300000.0,621106200000.0,598275200000.0,677967040000.0,693987000000.0,608465300000.0,655251730000.0
2030.0,712307700000.0,744659940000.0,472107250000.0,586172100000.0,551275660000.0,668594500000.0,679378000000.0,577302900000.0,644510600000.0
2031.0,685041250000.0,729820900000.0,452655900000.0,565924700000.0,520654130000.0,663880300000.0,664589500000.0,551007800000.0,632012000000.0
2032.0,682736500000.0,714847940000.0,427677650000.0,554016700000.0,470397300000.0,639236500000.0,650837200000.0,528157000000.0,620532300000.0
2033.0,666630800000.0,696219300000.0,404248330000.0,538996180000.0,435206460000.0,607682400000.0,626650050000.0,505719780000.0,601718460000.0
2034.0,643924500000.0,697937900000.0,381296840000.0,522522820000.0,411951170000.0,581596300000.0,606362800000.0,474813000000.0,591970240000.0
2035.0,639138700000.0,694074300000.0,360479600000.0,510261200000.0,385773930000.0,566578000000.0,586712000000.0,453130420000.0,576750550000.0
2036.0,625874500000.0,704330800000.0,338252070000.0,491189960000.0,372379300000.0,546187350000.0,573852550000.0,435535150000.0,559668700000.0
2037.0,620247200000.0,714417900000.0,315837200000.0,476539000000.0,349081760000.0,541784670000.0,553995700000.0,421200600000.0,546339550000.0
2038.0,612978200000.0,692470600000.0,298614260000.0,459001920000.0,334911440000.0,521281240000.0,529669130000.0,399438640000.0,532115260000.0
2039.0,588445200000.0,683792300000.0,276152700000.0,451393100000.0,321734840000.0,500056060000.0,527665100000.0,386034900000.0,523396300000.0
2040.0,572444100000.0,684448740000.0,258230620000.0,435697160000.0,308726370000.0,483706100000.0,496364900000.0,381132900000.0,513700230000.0
2041.0,563406500000.0,663778500000.0,243754250000.0,425910730000.0,294397480000.0,457283340000.0,464873420000.0,365934380000.0,491159320000.0
2042.0,552070700000.0,657820700000.0,227632760000.0,416298900000.0,274677200000.0,447532800000.0,448144440000.0,343817420000.0,472748560000.0
2043.0,542617500000.0,643597900000.0,205678310000.0,399022330000.0,255964800000.0,430997200000.0,423112500000.0,330007400000.0,471856100000.0
2044.0,540069500000.0,627966400000.0,194011410000.0,390278120000.0,241627560000.0,407017260000.0,405737080000.0,316406270000.0,465281220000.0
2045.0,526339600000.0,627859850000.0,179067900000.0,375994580000.0,230988350000.0,385109520000.0,384843800000.0,301023800000.0,456245500000.0
2046.0,508246460000.0,603481700000.0,164037050000.0,356372770000.0,218874580000.0,360305460000.0,367258040000.0,283627200000.0,448626460000.0
2047.0,509721800000.0,597602400000.0,152165020000.0,340733920000.0,202907650000.0,334985700000.0,344682330000.0,268135460000.0,444429200000.0
2048.0,495782230000.0,590551250000.0,145428090000.0,334017860000.0,186003460000.0,314778780000.0,324474240000.0,244806520000.0,436070550000.0
2049.0,492476040000.0,596514600000.0,134300400000.0,309194360000.0,170664570000.0,296583070000.0,310639950000.0,229713440000.0,424700670000.0
