time,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR
2057.0,556206140.0,570187900.0,385965200.0,237752290.0,699689800.0
2058.0,539283300.0,546910000.0,372204740.0,227335970.0,652540900.0
2059.0,525434020.0,523270050.0,354088480.0,216436000.0,607493440.0
2060.0,514238100.0,508712770.0,345898780.0,209120260.0,573431360.0
2061.0,501741920.0,498547620.0,344955800.0,203378620.0,558009540.0
2062.0,489673800.0,478713340.0,338764770.0,195442620.0,541020540.0
2063.0,469610430.0,457706940.0,330935680.0,185036050.0,525156960.0
2064.0,454995000.0,445260770.0,321361920.0,169760270.0,502224300.0
2065.0,425275520.0,425161120.0,315635260.0,156814620.0,494598370.0
2066.0,390593470.0,413720260.0,308987550.0,145013470.0,502028320.0
2067.0,380372670.0,401651520.0,300092030.0,138474530.0,483895600.0
2068.0,371936580.0,378920160.0,291113150.0,132922184.0,466679230.0
2069.0,356219140.0,364071170.0,279432930.0,128139870.0,450231840.0
2070.0,339695170.0,346958460.0,265166800.0,123601340.0,437624700.0
2071.0,338666140.0,331702800.0,254360960.0,117504860.0,433372380.0
2072.0,346456400.0,317633000.0,238840780.0,115892424.0,420316580.0
2073.0,327036400.0,301189700.0,222114830.0,106980340.0,398790530.0
2074.0,316139520.0,294242700.0,213824560.0,101274696.0,374389540.0
2075.0,304197820.0,275145340.0,203721890.0,98093320.0,354704580.0
2076.0,300036580.0,264439000.0,194773940.0,91473790.0,341343840.0
2077.0,297461380.0,263802510.0,183668690.0,85339870.0,326190300.0
2078.0,289263970.0,255152380.0,176288670.0,79379864.0,317413980.0
2079.0,277755870.0,245701380.0,165530060.0,73343820.0,308614940.0
2080.0,267404600.0,238861180.0,155599660.0,69536620.0,300899230.0
2081.0,255311890.0,234855300.0,151647070.0,66657904.0,297084130.0
2082.0,240330620.0,227101300.0,146112580.0,61490116.0,292991520.0
2083.0,227475570.0,220117420.0,142081100.0,61228264.0,288619870.0
2084.0,218119800.0,215945870.0,136628540.0,59016940.0,281993180.0
2085.0,208770750.0,211978300.0,130683710.0,56557076.0,276256540.0
2086.0,200492260.0,204049250.0,123445500.0,54466636.0,272028640.0
2087.0,190948590.0,197057600.0,117134136.0,53132390.0,268148200.0
2088.0,184664900.0,191307440.0,113897720.0,51469668.0,271290660.0
2089.0,176677440.0,182825380.0,107007020.0,49144856.0,264392500.0
2090.0,170383540.0,175919920.0,103314460.0,46131704.0,258159730.0
2091.0,161458290.0,171391460.0,97112344.0,43455870.0,251301840.0
2092.0,157141870.0,162935340.0,93488616.0,41666720.0,245326720.0
2093.0,153145650.0,159329360.0,92280800.0,41445850.0,242280000.0
2094.0,142760400.0,154566270.0,87580470.0,38025144.0,237336130.0
2095.0,136222660.0,149232740.0,84396360.0,35544820.0,228658830.0
2096.0,135035950.0,143676050.0,81031580.0,33306824.0,214837220.0
2097.0,129204536.0,141746180.0,78716600.0,31863776.0,199419650.0
2098.0,124719976.0,136533550.0,73911310.0,30337298.0,188334430.0
2099.0,121092740.0,136036670.0,70126456.0,27771764.0,172416670.0
2100.0,117608270.0,132134610.0,66427764.0,26607104.0,161284430.0
