time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR
2057.0,438000200.0,526257000.0,625664260.0,198449490.0,358529700.0
2058.0,418204100.0,506575680.0,595788900.0,184676940.0,341331500.0
2059.0,408210660.0,477643870.0,576449900.0,177105970.0,323932400.0
2060.0,394037340.0,449007600.0,561894400.0,168457570.0,308552000.0
2061.0,375149340.0,434681920.0,541835300.0,154459660.0,287617700.0
2062.0,365258000.0,411979400.0,516647420.0,143089810.0,279206700.0
2063.0,353363200.0,391485630.0,497672700.0,134272240.0,269641860.0
2064.0,340867840.0,379883460.0,482125400.0,126006984.0,257301340.0
2065.0,326196500.0,358336670.0,465936830.0,116869520.0,246412100.0
2066.0,309063330.0,344848860.0,439911100.0,101785860.0,236630960.0
2067.0,301727500.0,334529380.0,411380770.0,88231380.0,222662200.0
2068.0,289669000.0,319255420.0,393985900.0,78111730.0,209900100.0
2069.0,273611970.0,309488200.0,377428380.0,72989464.0,193447940.0
2070.0,264961860.0,292586660.0,361546400.0,68657784.0,180534610.0
2071.0,252413870.0,281624770.0,341238300.0,63022096.0,162905490.0
2072.0,240333300.0,269004600.0,328489950.0,58588508.0,146751500.0
2073.0,227992620.0,264779680.0,318469630.0,53290936.0,139797860.0
2074.0,219945810.0,253130350.0,302433250.0,51097120.0,133007624.0
2075.0,205660540.0,240821010.0,292828350.0,53353620.0,127018850.0
2076.0,196809170.0,229660770.0,287510000.0,49176300.0,122333530.0
2077.0,189642140.0,223446190.0,273859170.0,44465172.0,117126430.0
2078.0,181597660.0,212869440.0,267649730.0,41621140.0,112486930.0
2079.0,175921490.0,202510610.0,263698770.0,39609468.0,106926140.0
2080.0,170817260.0,192957470.0,255544340.0,38066630.0,102472100.0
2081.0,162292160.0,187194350.0,248230530.0,34900468.0,95661770.0
2082.0,156240670.0,178788220.0,241247600.0,32019732.0,84273430.0
2083.0,146217100.0,168781840.0,234010180.0,30802150.0,77482600.0
2084.0,140283420.0,164035310.0,220374560.0,27761780.0,70247230.0
2085.0,131683820.0,156855200.0,211506350.0,26592742.0,60526840.0
2086.0,122337944.0,150462560.0,199776480.0,23697464.0,59141990.0
2087.0,114960500.0,142378610.0,188648580.0,23024444.0,56492610.0
2088.0,108170200.0,136815940.0,180554130.0,22411764.0,53879440.0
2089.0,102502160.0,130903740.0,170358000.0,21055650.0,51268336.0
2090.0,100316760.0,124142060.0,165384600.0,18988454.0,48794376.0
2091.0,96301920.0,121098000.0,158385660.0,17799092.0,45694916.0
2092.0,92656560.0,115485190.0,151381090.0,17346836.0,43861824.0
2093.0,89284050.0,113196070.0,147217380.0,16647979.0,41616292.0
2094.0,86694080.0,109406240.0,144320270.0,15763694.0,39868284.0
2095.0,84412630.0,106506500.0,139780600.0,13441836.0,38358716.0
2096.0,83135090.0,101933820.0,134152040.0,12480983.0,36124028.0
2097.0,81635880.0,96694744.0,127225060.0,11160492.0,34396690.0
2098.0,79555970.0,97101380.0,120072480.0,10508824.0,33103642.0
2099.0,77894220.0,92377640.0,106572670.0,10021633.0,31798848.0
2100.0,76729200.0,87070584.0,96494260.0,8824570.0,29596330.0
