time,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR
2000.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0
2001.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0
2002.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0
2003.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0
2004.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0
2005.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0
2006.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0
2007.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0
2008.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0
2009.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0
2010.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0
2011.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0
2012.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0
2013.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0
2014.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0
2015.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0
2016.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0
2017.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0
2018.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0
2019.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0
2020.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0
2021.0,2046492300.0,2035335400.0,2049295700.0,2037037700.0,2055875100.0
2022.0,2010251300.0,1965709600.0,1998293000.0,1975872500.0,2031904100.0
2023.0,1984505100.0,1916978300.0,1957784300.0,1899638500.0,1984301200.0
2024.0,1954241300.0,1875611000.0,1905386500.0,1823833100.0,1946199700.0
2025.0,1899640800.0,1827866600.0,1838961300.0,1723639800.0,1892377700.0
2026.0,1853528800.0,1765084900.0,1766131200.0,1617390300.0,1843489000.0
2027.0,1797637800.0,1694733700.0,1699218000.0,1517828200.0,1844818000.0
2028.0,1761132900.0,1650483500.0,1638494000.0,1382732400.0,1790836500.0
2029.0,1696908700.0,1607797400.0,1570048000.0,1259047000.0,1732013300.0
2030.0,1609412500.0,1545363300.0,1502633900.0,1202190700.0,1655750300.0
2031.0,1548196400.0,1496751500.0,1434184000.0,1133165800.0,1623628700.0
2032.0,1473242400.0,1450559700.0,1375192300.0,1067167100.0,1602267400.0
2033.0,1407629700.0,1421295500.0,1318456400.0,1010844900.0,1556538500.0
2034.0,1342122100.0,1372097300.0,1248269600.0,973218900.0,1513687700.0
2035.0,1255816700.0,1326579800.0,1197099400.0,908854660.0,1477726100.0
2036.0,1229159400.0,1301040800.0,1143583000.0,861839100.0,1445869200.0
2037.0,1184408400.0,1257527600.0,1101782500.0,812166200.0,1436392100.0
2038.0,1141543700.0,1209611500.0,1032315000.0,765427260.0,1419108200.0
2039.0,1106832300.0,1181307500.0,968529150.0,734615900.0,1393566300.0
2040.0,1060645760.0,1152667500.0,923637950.0,704646400.0,1364638700.0
2041.0,1016406200.0,1130598800.0,896768450.0,669210200.0,1329268000.0
2042.0,1001938240.0,1098721500.0,865449150.0,640409150.0,1299517400.0
2043.0,976832000.0,1065485440.0,838285000.0,616133570.0,1288993500.0
2044.0,953841540.0,1035470800.0,831346300.0,588153700.0,1271583700.0
2045.0,927893900.0,1022632500.0,804312900.0,566470850.0,1254524200.0
2046.0,894315300.0,1001202240.0,786563900.0,543346600.0,1223416600.0
2047.0,887777700.0,972676600.0,783265800.0,523077340.0,1186678000.0
2048.0,877224450.0,958916030.0,766057100.0,506155000.0,1169547100.0
2049.0,856513100.0,944238340.0,750774300.0,504658370.0,1153518700.0
2050.0,847426100.0,924407300.0,738883500.0,492958980.0,1132616000.0
2051.0,835203000.0,911578700.0,729660200.0,479927200.0,1107987100.0
2052.0,817587840.0,896575550.0,710797100.0,461370600.0,1089876000.0
2053.0,807133000.0,883761540.0,706830000.0,449519700.0,1077317400.0
2054.0,795263360.0,887228000.0,697212500.0,435616060.0,1048845500.0
2055.0,787810900.0,878154050.0,696933000.0,429311970.0,1027127400.0
