time,NORESM2-MM,CESM2-WACCM,CESM2,EC-EARTH3,INM-CM4-8,BCC-CSM2-MR,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,CAMS-CSM1-0,EC-EARTH3-VEG,FGOALS-F3-L,GFDL-ESM4
2000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0
2001.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0
2002.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0
2003.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0
2004.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0
2005.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0
2006.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0
2007.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0
2008.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0
2009.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0
2010.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0
2011.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0
2012.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0
2013.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0
2014.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0
2015.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0
2016.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0
2017.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0
2018.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0
2019.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0
2020.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0
2021.0,695893100000.0,706255060000.0,713803960000.0,712357250000.0,708575400000.0,709035800000.0,701519300000.0,709259500000.0,707372900000.0,706305060000.0,708563760000.0,710891300000.0,710422000000.0
2022.0,684525100000.0,688853750000.0,699534600000.0,691587100000.0,705818100000.0,705559300000.0,690327260000.0,701698340000.0,687477200000.0,694450450000.0,707190700000.0,693562600000.0,696237000000.0
2023.0,677774700000.0,671748500000.0,684177360000.0,676364160000.0,695287400000.0,704205000000.0,673724900000.0,693648160000.0,674691900000.0,692155100000.0,692485800000.0,680255550000.0,687705750000.0
2024.0,671275900000.0,673227700000.0,687702000000.0,665550650000.0,686103660000.0,686031800000.0,662753600000.0,683117600000.0,656206100000.0,688876950000.0,684256400000.0,660241840000.0,678125630000.0
2025.0,656840800000.0,645868360000.0,673929800000.0,653590860000.0,681598600000.0,675461000000.0,650863840000.0,671851800000.0,640800700000.0,671642350000.0,676590060000.0,655216500000.0,664358000000.0
2026.0,641203240000.0,629550000000.0,660366950000.0,642787500000.0,669633300000.0,661823800000.0,647330400000.0,667610640000.0,632376070000.0,656131400000.0,664285000000.0,651712860000.0,649223400000.0
2027.0,627644560000.0,618965600000.0,644867560000.0,630130100000.0,661906200000.0,646948300000.0,630373900000.0,657893400000.0,620194100000.0,641612050000.0,653179700000.0,631038100000.0,636392500000.0
2028.0,614790660000.0,598853750000.0,629546000000.0,619965500000.0,649298840000.0,642050800000.0,623544200000.0,648345750000.0,598830500000.0,640774200000.0,647726800000.0,610170960000.0,627524240000.0
2029.0,608822560000.0,589406400000.0,611803800000.0,607129000000.0,639364760000.0,634481600000.0,607853600000.0,643200900000.0,581566200000.0,640734660000.0,637788750000.0,601179300000.0,619795450000.0
2030.0,598692800000.0,586098340000.0,606236970000.0,592694600000.0,624756260000.0,624341800000.0,599311900000.0,628744500000.0,571115600000.0,634869400000.0,632401700000.0,588637730000.0,611771200000.0
2031.0,586137600000.0,569615700000.0,591968800000.0,577549900000.0,616136500000.0,608684340000.0,586253530000.0,625589400000.0,564214800000.0,638120600000.0,616656600000.0,585847700000.0,597400200000.0
2032.0,570213600000.0,561365700000.0,580846100000.0,563650560000.0,601450400000.0,603037100000.0,581677400000.0,619084450000.0,550046470000.0,626177340000.0,605165500000.0,568065850000.0,592006900000.0
2033.0,557256900000.0,548973900000.0,568971600000.0,549302800000.0,593772800000.0,579309340000.0,566303600000.0,608497500000.0,541896640000.0,621618500000.0,600708700000.0,561529000000.0,582340100000.0
2034.0,544578040000.0,536743740000.0,558034450000.0,536186130000.0,585692300000.0,562680760000.0,549440950000.0,603396830000.0,534333330000.0,607510300000.0,591894300000.0,541022220000.0,575564100000.0
2035.0,531533530000.0,538132900000.0,545020050000.0,523633300000.0,570955000000.0,549543200000.0,537151400000.0,593164040000.0,524659430000.0,602280030000.0,579517550000.0,535255120000.0,562343200000.0
2036.0,532732350000.0,527959520000.0,536063700000.0,513120800000.0,568921300000.0,536832380000.0,532411300000.0,589614900000.0,513398830000.0,592278600000.0,568758800000.0,523765350000.0,550601950000.0
2037.0,524477100000.0,519229640000.0,523747720000.0,499009850000.0,557254050000.0,530869300000.0,520513060000.0,573159500000.0,502385970000.0,583962300000.0,558774300000.0,502518150000.0,532269630000.0
2038.0,504190100000.0,514078900000.0,513103900000.0,487841700000.0,554188140000.0,520915500000.0,508896440000.0,556663050000.0,486466900000.0,580285560000.0,543329650000.0,486400360000.0,522867670000.0
2039.0,485630700000.0,499370800000.0,501949800000.0,473649580000.0,542423400000.0,509757420000.0,496303540000.0,541273850000.0,477627220000.0,570223170000.0,527295800000.0,471798600000.0,513628270000.0
2040.0,479435820000.0,492845730000.0,491048340000.0,460193400000.0,540236380000.0,493900660000.0,488816700000.0,539918930000.0,465340500000.0,562378700000.0,523548820000.0,461831830000.0,504897540000.0
2041.0,464183620000.0,481681470000.0,479897880000.0,445133850000.0,537405700000.0,488698350000.0,469369160000.0,526286060000.0,452461070000.0,554493940000.0,513899800000.0,449280700000.0,496459800000.0
2042.0,456460760000.0,467627250000.0,464496130000.0,434291540000.0,525796380000.0,483095350000.0,455747860000.0,521849500000.0,438876400000.0,547538270000.0,499436130000.0,427843880000.0,494119520000.0
2043.0,442842700000.0,454818700000.0,449770460000.0,421032620000.0,519237370000.0,477080400000.0,449599440000.0,520257960000.0,427218100000.0,528834130000.0,493849800000.0,410862100000.0,486684030000.0
2044.0,431484200000.0,435041000000.0,436355660000.0,405731100000.0,505588400000.0,473914540000.0,444521480000.0,511393140000.0,413731880000.0,516700340000.0,479276500000.0,391727900000.0,478257050000.0
2045.0,419659800000.0,420901060000.0,424990150000.0,394125970000.0,497987500000.0,468363150000.0,442057560000.0,496511940000.0,403977800000.0,507979530000.0,467233900000.0,386649850000.0,465059550000.0
2046.0,408042900000.0,407014830000.0,416987250000.0,382466030000.0,489566500000.0,453882740000.0,438459630000.0,486681250000.0,390840840000.0,500733480000.0,457940830000.0,379950600000.0,453570500000.0
2047.0,397519680000.0,393263940000.0,408700980000.0,374048980000.0,478748440000.0,449368130000.0,428574440000.0,474812700000.0,384753500000.0,490982470000.0,441170330000.0,375569550000.0,439868700000.0
2048.0,388058000000.0,382996550000.0,397912080000.0,365691930000.0,469225200000.0,436372730000.0,421927350000.0,464615100000.0,368979600000.0,479366740000.0,429984780000.0,355592960000.0,437187770000.0
2049.0,378907530000.0,377098400000.0,384826440000.0,356070130000.0,455174160000.0,424364600000.0,411360660000.0,456198400000.0,357120870000.0,470275560000.0,422013960000.0,350208720000.0,428233260000.0
2050.0,368491530000.0,367585560000.0,373037330000.0,343769900000.0,445720950000.0,408906730000.0,399130400000.0,447784000000.0,344112270000.0,454931500000.0,408924950000.0,347520370000.0,414539060000.0
2051.0,358354580000.0,354451200000.0,364390800000.0,335573200000.0,437516860000.0,398233370000.0,390288570000.0,435745550000.0,338240000000.0,440307020000.0,397108150000.0,337083430000.0,407286250000.0
2052.0,352175400000.0,348546040000.0,347767100000.0,324924470000.0,431646240000.0,393503640000.0,383770950000.0,425487860000.0,329612750000.0,427801050000.0,386386200000.0,324663840000.0,396619580000.0
2053.0,338392580000.0,336206230000.0,335443920000.0,313491880000.0,425147660000.0,394368970000.0,378802630000.0,414124100000.0,316676100000.0,420647200000.0,376809750000.0,310133400000.0,387596120000.0
2054.0,327507300000.0,327989040000.0,323184000000.0,304090400000.0,416184760000.0,382213400000.0,371690640000.0,402210950000.0,308580420000.0,411528860000.0,363682960000.0,305910050000.0,375284860000.0
2055.0,319311250000.0,321590760000.0,314349030000.0,296333740000.0,408405150000.0,365587070000.0,362777740000.0,387573200000.0,298021360000.0,404803650000.0,355481000000.0,296426570000.0,367881160000.0
2056.0,312480070000.0,313877900000.0,307519420000.0,289121470000.0,400595420000.0,357616840000.0,356618370000.0,376411720000.0,293868600000.0,396068420000.0,347622280000.0,285877670000.0,357219240000.0
