time,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR
2028.0,27180612000.0,27238072000.0,27332420000.0,27432323000.0,27539458000.0
2029.0,26790621000.0,27226784000.0,27121117000.0,27347730000.0,27405482000.0
2030.0,26592109000.0,26907654000.0,26892782000.0,27237216000.0,27724184000.0
2031.0,26304930000.0,26670510000.0,26881243000.0,27070532000.0,27303890000.0
2032.0,26035892000.0,26403404000.0,26429210000.0,26975291000.0,27152216000.0
2033.0,25867735000.0,26170016000.0,26153220000.0,26856560000.0,26951369000.0
2034.0,25656842000.0,25836374000.0,25985413000.0,26701390000.0,26780703000.0
2035.0,25267700000.0,25671154000.0,25720652000.0,26512384000.0,26714331000.0
2036.0,24887693000.0,25598261000.0,25480047000.0,26353594000.0,26618978000.0
2037.0,24619921000.0,25275339000.0,25275350000.0,26187188000.0,26453502000.0
2038.0,24363364000.0,25088635000.0,24995800000.0,26017712000.0,26262979000.0
2039.0,24058444000.0,24848880000.0,24784396000.0,25809814000.0,26142654000.0
2040.0,23754290000.0,24651407000.0,24657711000.0,25619532000.0,25996972000.0
2041.0,23440919000.0,24432270000.0,24438835000.0,25438003000.0,25807290000.0
2042.0,23153046000.0,24207010000.0,24140857000.0,25152252000.0,25722591000.0
2043.0,22763745000.0,23998628000.0,23845566000.0,24919282000.0,25576034000.0
2044.0,22399540000.0,23788605000.0,23607388000.0,24719675000.0,25448628000.0
2045.0,22203003000.0,23651037000.0,23195984000.0,24522932000.0,25382179000.0
2046.0,21968142000.0,23309302000.0,22881802000.0,24267991000.0,25200267000.0
2047.0,21677492000.0,23129506000.0,22662076000.0,24047428000.0,25015351000.0
2048.0,21445908000.0,22898285000.0,22505560000.0,23774886000.0,24799599000.0
2049.0,21236750000.0,22689497000.0,22212932000.0,23456380000.0,24645110000.0
2050.0,20913154000.0,22480090000.0,22074410000.0,23119600000.0,24699500000.0
2051.0,20577982000.0,22594718000.0,21924246000.0,22790406000.0,24290122000.0
2052.0,20092662000.0,22163480000.0,21631160000.0,22681512000.0,24110040000.0
2053.0,19747674000.0,21924643000.0,21340203000.0,22452350000.0,23863919000.0
2054.0,19470035000.0,21771450000.0,21070211000.0,22138630000.0,23718769000.0
2055.0,19113787000.0,21753870000.0,20804073000.0,22088258000.0,23541002000.0
2056.0,18777102000.0,21802433000.0,20571208000.0,21751333000.0,23306832000.0
2057.0,18480990000.0,21188217000.0,20340670000.0,21522590000.0,23017337000.0
2058.0,18182504000.0,21030035000.0,20028068000.0,21307605000.0,22878440000.0
2059.0,17937336000.0,20846002000.0,19820476000.0,21103309000.0,22626458000.0
2060.0,17745730000.0,20672023000.0,19606604000.0,20892897000.0,22498589000.0
2061.0,17468592000.0,20493574000.0,19302760000.0,20626213000.0,22401516000.0
2062.0,17187684000.0,20327277000.0,19167578000.0,20565076000.0,22412077000.0
2063.0,16935811000.0,20176202000.0,18941145000.0,20336873000.0,21939583000.0
2064.0,16708144000.0,20051614000.0,18764690000.0,20188226000.0,21686591000.0
2065.0,16499780000.0,19870611000.0,18528385000.0,20000370000.0,21840906000.0
2066.0,16219702000.0,19716925000.0,18333766000.0,19694019000.0,21448096000.0
2067.0,15913705000.0,19555035000.0,18274142000.0,19467630000.0,21146055000.0
2068.0,15676566000.0,19429882000.0,17879749000.0,19300256000.0,20943833000.0
2069.0,15408511000.0,19311661000.0,17666398000.0,19054020000.0,20745940000.0
2070.0,15162631000.0,19156361000.0,17487104000.0,18906480000.0,20593132000.0
2071.0,14931128000.0,19060457000.0,17355454000.0,18754337000.0,20389913000.0
2072.0,14657611000.0,18850929000.0,17085499000.0,18588137000.0,20177041000.0
2073.0,14482658000.0,19093070000.0,16861369000.0,18419862000.0,20014582000.0
2074.0,14192243000.0,19039310000.0,16596129000.0,18362446000.0,19799615000.0
2075.0,13919278000.0,18557190000.0,16410995000.0,18048550000.0,19585782000.0
2076.0,13729326000.0,18399703000.0,16233548000.0,17787867000.0,19443726000.0
2077.0,13463135000.0,18252788000.0,15996201000.0,17621197000.0,19267197000.0
2078.0,13248608000.0,18242222000.0,15752332000.0,17453984000.0,19090395000.0
2079.0,13026474000.0,18026602000.0,15571680000.0,17292804000.0,19003806000.0
2080.0,12823728000.0,17877692000.0,15356058000.0,17058625000.0,18749532000.0
2081.0,12591320000.0,17711456000.0,15134156000.0,16861916000.0,18543944000.0
2082.0,12338384000.0,17539607000.0,14960919000.0,16645893000.0,18406697000.0
2083.0,12126178000.0,17359927000.0,14773391000.0,16460086000.0,18229930000.0
2084.0,11880116000.0,17230627000.0,14575282000.0,16324306000.0,17977231000.0
2085.0,11568527000.0,17090739000.0,14349858000.0,16214890000.0,17788893000.0
2086.0,11349453000.0,16953174000.0,14198472000.0,16033503000.0,17789503000.0
2087.0,11079752000.0,16791959000.0,13997316000.0,15862228000.0,17445298000.0
2088.0,10784965000.0,16641469000.0,13818427000.0,15716984000.0,17268924000.0
2089.0,10417716000.0,16740307000.0,13630717000.0,15503059000.0,17097919000.0
2090.0,9980379000.0,16293563000.0,13425197000.0,15363479000.0,16872091000.0
2091.0,9741120000.0,16104615000.0,13265032000.0,15157548000.0,16692529000.0
2092.0,9551132000.0,15977281000.0,13066163000.0,14998758000.0,16516973000.0
2093.0,9249991000.0,15771902000.0,12891808000.0,14794003000.0,16278154000.0
2094.0,9076801000.0,15607907000.0,12765868000.0,14622074000.0,16138264000.0
2095.0,8862659000.0,15436198000.0,12549104000.0,14356190000.0,15952748000.0
2096.0,8598017000.0,15717334000.0,12401916000.0,14162090000.0,15819588000.0
2097.0,8428212000.0,15103323000.0,12224846000.0,14041311000.0,15591995000.0
2098.0,8121416700.0,14942384000.0,12031694000.0,13810663000.0,15376311000.0
2099.0,7894172000.0,14797825000.0,11877290000.0,13629665000.0,15213168000.0
2100.0,7642936300.0,14613128000.0,11622264000.0,13498320000.0,14917962000.0
