time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4
2028.0,27259326000.0,27324250000.0,27359371000.0,27722877000.0,27574524000.0
2029.0,26842739000.0,27205163000.0,27263904000.0,27601609000.0,27391770000.0
2030.0,26492518000.0,27054035000.0,27100776000.0,27416584000.0,27301872000.0
2031.0,26313850000.0,26858492000.0,26868165000.0,27328039000.0,27153027000.0
2032.0,26096458000.0,26636610000.0,26742010000.0,27169253000.0,27104030000.0
2033.0,26016980000.0,26333026000.0,26488132000.0,26987200000.0,26901436000.0
2034.0,25592168000.0,26003775000.0,26343977000.0,26808371000.0,27159562000.0
2035.0,25220246000.0,25814200000.0,25979947000.0,26662244000.0,26806317000.0
2036.0,24953946000.0,25587755000.0,25839374000.0,27148827000.0,26533220000.0
2037.0,24663863000.0,25437975000.0,25905943000.0,26408673000.0,26370488000.0
2038.0,24377844000.0,25133957000.0,25528115000.0,26402378000.0,26122052000.0
2039.0,24299055000.0,24900047000.0,25617690000.0,26216098000.0,25901509000.0
2040.0,24287100000.0,24607515000.0,25969678000.0,26109810000.0,25805441000.0
2041.0,23803140000.0,24405660000.0,25301391000.0,26077344000.0,25687685000.0
2042.0,23750148000.0,24230630000.0,25079860000.0,25832080000.0,25656865000.0
2043.0,23406082000.0,23947100000.0,24886327000.0,25845514000.0,25382777000.0
2044.0,23247059000.0,23778998000.0,24815830000.0,25734894000.0,25282791000.0
2045.0,22953271000.0,23880692000.0,24672846000.0,25618166000.0,25076500000.0
2046.0,22704026000.0,23492465000.0,24460077000.0,26120665000.0,24994548000.0
2047.0,22327005000.0,23245900000.0,24294668000.0,26013833000.0,24810293000.0
2048.0,22221402000.0,23187362000.0,24069913000.0,25457371000.0,24666665000.0
2049.0,21965246000.0,22862713000.0,24446454000.0,25260591000.0,24524372000.0
2050.0,21815202000.0,22599803000.0,23815817000.0,25295555000.0,24573063000.0
2051.0,21584364000.0,22717417000.0,23995090000.0,25148210000.0,24287123000.0
2052.0,21388102000.0,22371385000.0,23556729000.0,24890612000.0,24160719000.0
2053.0,21242704000.0,22272862000.0,23414240000.0,24931460000.0,23954645000.0
2054.0,20981721000.0,22351620000.0,23274883000.0,24711444000.0,23927226000.0
2055.0,20773001000.0,22435338000.0,23241961000.0,24716247000.0,23766657000.0
2056.0,20600302000.0,22147910000.0,23178439000.0,24941568000.0,23819768000.0
2057.0,20497359000.0,21919609000.0,22917962000.0,24744210000.0,23789965000.0
2058.0,20182114000.0,21791654000.0,22770035000.0,24642423000.0,23484230000.0
2059.0,20130600000.0,21593980000.0,22681547000.0,24541430000.0,23506016000.0
2060.0,21213932000.0,21761274000.0,22862930000.0,24798654000.0,23341350000.0
2061.0,20280125000.0,21468637000.0,22619488000.0,24583397000.0,23244229000.0
2062.0,19748225000.0,21322320000.0,23401978000.0,24383435000.0,23081499000.0
2063.0,19830442000.0,21205770000.0,23569605000.0,24175135000.0,23070320000.0
2064.0,19473734000.0,21101607000.0,22628733000.0,24051388000.0,22870237000.0
2065.0,19567534000.0,21007540000.0,22413430000.0,24065620000.0,22757941000.0
2066.0,19397200000.0,20923970000.0,22644830000.0,23977224000.0,22684637000.0
2067.0,19301710000.0,22127487000.0,22286440000.0,24153827000.0,23209222000.0
2068.0,19133560000.0,21530747000.0,22150392000.0,24246632000.0,22700194000.0
2069.0,18976991000.0,20978137000.0,21957552000.0,23834092000.0,22634610000.0
2070.0,18826023000.0,21355844000.0,21925181000.0,23874814000.0,22388920000.0
2071.0,18670166000.0,20748804000.0,22551656000.0,23764967000.0,23040610000.0
2072.0,19059313000.0,20633422000.0,21996517000.0,23550861000.0,22329254000.0
2073.0,18413642000.0,20457253000.0,21648458000.0,23607656000.0,22292570000.0
2074.0,18353973000.0,20390748000.0,21862460000.0,23448386000.0,22295570000.0
2075.0,18211545000.0,20378964000.0,21542947000.0,23362904000.0,22286498000.0
2076.0,18054775000.0,20261003000.0,21381968000.0,23298499000.0,22183817000.0
2077.0,18031325000.0,20186974000.0,21338286000.0,23379139000.0,22169860000.0
2078.0,17828057000.0,20340027000.0,21174714000.0,23319464000.0,22149700000.0
2079.0,18754812000.0,20004938000.0,21261705000.0,23038546000.0,21836750000.0
2080.0,18977910000.0,20187333000.0,20984885000.0,22953062000.0,21758648000.0
2081.0,18704394000.0,20029878000.0,21344954000.0,22849063000.0,21753057000.0
2082.0,18337495000.0,19798938000.0,21152930000.0,22761038000.0,21615745000.0
2083.0,17721494000.0,19737560000.0,21429907000.0,22656315000.0,22085956000.0
2084.0,18459906000.0,19594736000.0,21066040000.0,22648472000.0,21520600000.0
