time,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2028.0,27024966000.0,27596925000.0,27190092000.0,27878240000.0,27380429000.0
2029.0,26791825000.0,27471225000.0,26922377000.0,27639806000.0,27220374000.0
2030.0,26677084000.0,27401159000.0,26826435000.0,27488813000.0,27097960000.0
2031.0,26528344000.0,27295162000.0,26404268000.0,27276472000.0,26974497000.0
2032.0,26272131000.0,27151954000.0,26361225000.0,27130192000.0,26835923000.0
2033.0,25979292000.0,27078922000.0,26142521000.0,27048126000.0,26637437000.0
2034.0,25630430000.0,26877028000.0,25830742000.0,26857640000.0,26507698000.0
2035.0,25586727000.0,26751359000.0,25579300000.0,26713262000.0,26337108000.0
2036.0,25382836000.0,26607520000.0,25378308000.0,26637783000.0,26136881000.0
2037.0,25095246000.0,26444444000.0,25182702000.0,26438924000.0,25934735000.0
2038.0,24813965000.0,26339482000.0,24910120000.0,26269874000.0,25725618000.0
2039.0,24614103000.0,26220366000.0,24579033000.0,26133746000.0,25489816000.0
2040.0,24230638000.0,26090443000.0,24439773000.0,25980780000.0,25409337000.0
2041.0,23919794000.0,25967403000.0,24113814000.0,26393655000.0,25187190000.0
2042.0,23588762000.0,25827609000.0,23916750000.0,25852602000.0,25157927000.0
2043.0,23425825000.0,25673540000.0,23695782000.0,26139638000.0,24904616000.0
2044.0,23161483000.0,25559198000.0,23527300000.0,25605093000.0,24752407000.0
2045.0,22894434000.0,25410777000.0,23272106000.0,25547741000.0,24565310000.0
2046.0,22624889000.0,25368269000.0,23049760000.0,25345288000.0,24418410000.0
2047.0,22332099000.0,25194530000.0,22789353000.0,25146999000.0,24187843000.0
2048.0,21966938000.0,25040476000.0,22465837000.0,24971389000.0,24013447000.0
2049.0,21644014000.0,24771494000.0,22256020000.0,24863052000.0,23900688000.0
2050.0,21319918000.0,24631118000.0,22068361000.0,24723276000.0,23556448000.0
2051.0,21044648000.0,24514120000.0,21797929000.0,24572826000.0,23361608000.0
2052.0,20687464000.0,24467591000.0,21546620000.0,24429128000.0,23183310000.0
2053.0,20394770000.0,24173711000.0,21291219000.0,24381096000.0,23130515000.0
2054.0,20018264000.0,23874646000.0,21052895000.0,24128020000.0,22880842000.0
2055.0,19760986000.0,23680016000.0,20763548000.0,23945589000.0,22721192000.0
2056.0,19421374000.0,23461302000.0,20512750000.0,23775779000.0,22659328000.0
2057.0,19164105000.0,23209165000.0,20269556000.0,23612705000.0,22451843000.0
2058.0,18778984000.0,23019813000.0,19986887000.0,23489223000.0,22256830000.0
2059.0,18493240000.0,22793286000.0,19827579000.0,23170435000.0,22067798000.0
2060.0,18273378000.0,22563967000.0,19681788000.0,22907798000.0,21882819000.0
2061.0,18040193000.0,22326231000.0,19608267000.0,22789999000.0,21719575000.0
2062.0,17850372000.0,22269182000.0,19298288000.0,22611956000.0,21538351000.0
2063.0,17610488000.0,21956807000.0,19102757000.0,22243105000.0,21387921000.0
2064.0,17577746000.0,21816635000.0,18904857000.0,21939585000.0,21193644000.0
2065.0,17148969000.0,21530747000.0,18749161000.0,21640638000.0,21057212000.0
2066.0,16864998000.0,21328495000.0,18591484000.0,21780310000.0,20865500000.0
2067.0,16652232000.0,21273606000.0,18435537000.0,21214350000.0,20719751000.0
2068.0,16416744000.0,21487604000.0,18220227000.0,20899154000.0,21146350000.0
2069.0,16210645000.0,20963879000.0,18062120000.0,20608446000.0,20602900000.0
2070.0,15975670000.0,20776342000.0,17921495000.0,20298627000.0,20360580000.0
2071.0,15734657000.0,20692767000.0,17764770000.0,19927067000.0,20247945000.0
2072.0,15490854000.0,20442165000.0,17577646000.0,20006988000.0,20130861000.0
2073.0,15284818000.0,20307150000.0,17409825000.0,19402353000.0,19976323000.0
2074.0,15031512000.0,20108770000.0,17247646000.0,19263193000.0,19966994000.0
2075.0,14839602000.0,19921293000.0,17165805000.0,18904738000.0,19677354000.0
2076.0,14655079000.0,19737190000.0,16991845000.0,18628422000.0,19470774000.0
2077.0,14493092000.0,19536770000.0,16904533000.0,18442715000.0,19294420000.0
2078.0,14268249000.0,19373052000.0,16686788000.0,18348225000.0,19184536000.0
2079.0,14134201000.0,19258687000.0,16523856000.0,18126356000.0,18995150000.0
2080.0,13899350000.0,19108624000.0,16344706000.0,18170851000.0,18839855000.0
2081.0,13723628000.0,18995126000.0,16140421000.0,17782512000.0,18675490000.0
2082.0,13532265000.0,18878964000.0,15997080000.0,17516505000.0,18613838000.0
2083.0,13348604000.0,18743510000.0,15846258000.0,17375824000.0,18330925000.0
2084.0,13198491000.0,18584110000.0,15656281000.0,17188264000.0,18190465000.0
2085.0,12988890000.0,18394108000.0,15502792000.0,17037022000.0,18027692000.0
2086.0,12759685000.0,18231446000.0,15335586000.0,16765069000.0,17841981000.0
2087.0,12569044000.0,18041403000.0,15126292000.0,16578733000.0,17707567000.0
2088.0,12403651000.0,17834248000.0,14986102000.0,16480242000.0,17753565000.0
2089.0,12247558000.0,17732854000.0,14823281000.0,16336070000.0,17333707000.0
2090.0,12035416000.0,17590813000.0,14721002000.0,16201151000.0,17107736000.0
2091.0,11803656000.0,17437370000.0,14513299000.0,16143219000.0,16900222000.0
2092.0,11602218000.0,17242540000.0,14352987000.0,15973842000.0,16749809000.0
2093.0,11404378000.0,17041311000.0,14220369000.0,15820323000.0,16602928000.0
2094.0,11112221000.0,16889167000.0,14078361000.0,15693968000.0,16567979000.0
2095.0,10794457000.0,16707439000.0,13856356000.0,15595952000.0,16303360000.0
2096.0,10496590000.0,16583079000.0,13735343000.0,15402832000.0,16146014000.0
2097.0,10320505000.0,16392241000.0,13579266000.0,15228702000.0,16027435000.0
2098.0,10223949000.0,16260162000.0,13418135000.0,15070247000.0,15897324000.0
2099.0,10017206000.0,16064307000.0,13262477000.0,14956239000.0,15701038000.0
2100.0,9856129000.0,15901079000.0,13128075000.0,14787639000.0,15504855000.0
