time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,MPI-ESM-LR,CANESM2,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0,CNRM-CM5,CESM1-CAM5
2000.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0
2001.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0
2002.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0
2003.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0
2004.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0
2005.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0
2006.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0
2007.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0
2008.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0
2009.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0
2010.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0
2011.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0
2012.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0
2013.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0
2014.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0
2015.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0
2016.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0
2017.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0
2018.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0
2019.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0
2020.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0
2021.0,701765394200.0,700866542900.0,702542409900.0,702154939800.0,701550335900.0,702565119000.0,701482055400.0,701252007200.0,701677951200.0,702196314400.0,701881498900.0
2022.0,702783296700.0,699594887600.0,700894838500.0,700669503600.0,700565208900.0,700781003900.0,700165989200.0,700051772800.0,700263711400.0,700604275600.0,701278957400.0
2023.0,700930503800.0,698522017100.0,700193287300.0,699707103100.0,698775926300.0,698915563700.0,702077196100.0,698502443750.0,698306449600.0,699339484530.0,699344984450.0
2024.0,699535558700.0,697899619700.0,698634315370.0,699750238450.0,697757429200.0,697239729100.0,700460167560.0,697439372440.0,698078302100.0,700098361200.0,698676463000.0
2025.0,698344852740.0,695936671400.0,697722338200.0,697540657740.0,696505597200.0,695187150040.0,698358963050.0,695443927850.0,696433156400.0,697948658380.0,697808196700.0
2026.0,697597724900.0,694191480000.0,695848496600.0,696097832560.0,695610233260.0,693323041350.0,695433306500.0,694525727040.0,694500150700.0,695670476540.0,696182710360.0
2027.0,697678659000.0,690692648600.0,694133696560.0,694360651840.0,693210186220.0,691496891040.0,694031965200.0,693202777650.0,693568131290.0,695166090100.0,693556997060.0
2028.0,694290150150.0,689818485440.0,693425910600.0,693897200100.0,691286258160.0,689736429200.0,691653569560.0,691870630850.0,691605602100.0,692121319500.0,692385570700.0
2029.0,692688190560.0,687824520000.0,691764996200.0,692088927860.0,689848186650.0,688188672600.0,689467480500.0,690922786700.0,690778081600.0,690904105800.0,690104508200.0
2030.0,690684644400.0,684308364700.0,689809323300.0,690245022520.0,687528788600.0,686848233000.0,688054246200.0,687526014200.0,690263293800.0,689241313900.0,688191141560.0
2031.0,689093810100.0,682787218450.0,687343994900.0,689133986340.0,686442369960.0,683554916600.0,686040605700.0,685277684100.0,687057100560.0,688634754100.0,686545182000.0
2032.0,688301250200.0,676759489560.0,685727405000.0,686914286100.0,684863051860.0,681077913640.0,682810405060.0,683595882690.0,685465283640.0,687410698900.0,683320399600.0
2033.0,687789196100.0,672714896860.0,684876382300.0,685607280300.0,681979527640.0,679603137300.0,680164578450.0,681297833750.0,683666650050.0,684348202700.0,681003072440.0
2034.0,684223839070.0,668372010100.0,683455245260.0,682983366200.0,681169944800.0,677212848340.0,678423706960.0,679395205160.0,681346343460.0,682114794060.0,678593986500.0
2035.0,683085948040.0,664345762000.0,681756221600.0,680732583700.0,677825464800.0,674261553960.0,677068333500.0,676330564430.0,678708028300.0,680257332160.0,675407554560.0
2036.0,680266651650.0,661208568600.0,680818573350.0,679460149300.0,676490761000.0,671112811700.0,674269959240.0,674503015800.0,676540948400.0,677076154820.0,672882623240.0
2037.0,678223207800.0,657189110250.0,677668975160.0,677211753950.0,673838404000.0,667862929700.0,670337665000.0,672595355360.0,674379267700.0,674934758570.0,670235458690.0
2038.0,676914744800.0,652957372450.0,675998456600.0,675718171400.0,673632845100.0,665640573600.0,667029442100.0,669167154600.0,672066504100.0,673143918300.0,666665139850.0
2039.0,674676294500.0,649092824600.0,674373784550.0,673830350100.0,669081503760.0,661193769300.0,664778220200.0,666432084200.0,669966111800.0,671786514770.0,663094405800.0
2040.0,672816482960.0,646364849560.0,671631304640.0,671560269500.0,667296902900.0,658233735740.0,661590162960.0,664419208760.0,667014190560.0,667817019410.0,660982562440.0
2041.0,670592700760.0,641620586950.0,669865489000.0,670086037250.0,663689056340.0,655862122240.0,658249181360.0,661245416000.0,664761688080.0,665432888900.0,656626799580.0
2042.0,669334038460.0,638521766350.0,668079198600.0,667162858200.0,661707660450.0,652580007020.0,655824337240.0,657685191800.0,661257106150.0,663890278600.0,653041793460.0
2043.0,667778246150.0,633149859450.0,665982305740.0,664935846200.0,658844522260.0,649767696320.0,651914686140.0,654296277560.0,659482525360.0,664898516630.0,650955627040.0
2044.0,665291278280.0,627949013200.0,664984228460.0,665757548460.0,657535480600.0,646957124950.0,649946669200.0,651366036940.0,656446525720.0,660494937060.0,646077607760.0
2045.0,662580018730.0,624377065030.0,663019330040.0,662207216600.0,654771399150.0,642631645890.0,645065791550.0,648922576410.0,652884793500.0,658334518360.0,641777868430.0
2046.0,660638109600.0,618991697680.0,660750997640.0,659833642910.0,650917742740.0,638852357400.0,640836616390.0,644865392340.0,650034930460.0,655125732800.0,637710152100.0
2047.0,660025340420.0,613564111820.0,657581903560.0,657132604660.0,648737230480.0,636201529700.0,637128802300.0,642496157420.0,646483219330.0,652475394470.0,633662639640.0
2048.0,656967151500.0,609378288440.0,655697597400.0,654594886340.0,645643957350.0,631732650870.0,633806211690.0,638691203940.0,643535263650.0,650833172400.0,630191915580.0
2049.0,654290907000.0,604077593210.0,652608144600.0,651997558460.0,643423732400.0,627702928960.0,629842795890.0,635241091340.0,640473215880.0,646472419500.0,625211491280.0
2050.0,651958113500.0,600408519860.0,651145158000.0,649849201600.0,642549631600.0,624156478040.0,625635668810.0,630842665800.0,638894727060.0,644191625440.0,621379981620.0
2051.0,649945472160.0,596128840010.0,649415787750.0,647482449100.0,638245961510.0,620329259810.0,621488423700.0,627410411340.0,634611691140.0,641802955160.0,616394977880.0
2052.0,646509131360.0,592318465620.0,646542481840.0,645134451840.0,635315059920.0,617457275660.0,617816532090.0,624229175240.0,631552148260.0,638180487200.0,612059040420.0
2053.0,644119432380.0,587349412980.0,645744036440.0,643328865400.0,631891632660.0,612512633640.0,614369436640.0,619999618760.0,628434847780.0,636987497010.0,606983735490.0
2054.0,641579997960.0,582587636530.0,643742085440.0,640972085600.0,628641603600.0,609711130460.0,610098373820.0,616804393230.0,625444346500.0,632287243180.0,602316506140.0
2055.0,639080459640.0,576596582420.0,640905947400.0,638296510260.0,625768349740.0,605285584500.0,608208432680.0,613586843830.0,622113734870.0,631589091290.0,597329197420.0
2056.0,636519569890.0,572625705040.0,638526261130.0,635647280280.0,622622216200.0,601849108710.0,602114516550.0,610246780560.0,618139377740.0,627387161780.0,592216625060.0
2057.0,633750050700.0,567469333320.0,635857140400.0,632721616500.0,619649236160.0,597727565190.0,598240047790.0,606599991460.0,614523081690.0,625632572660.0,586381895700.0
2058.0,630988196390.0,562233946200.0,632664403560.0,632829002860.0,617195448910.0,593713199800.0,595663642900.0,603052181020.0,611338496120.0,620891033300.0,582103624370.0
2059.0,629381997100.0,557926339350.0,631963932900.0,630772887410.0,615402725450.0,589507802020.0,591376450200.0,599813647390.0,607423692390.0,616766517440.0,577530545380.0
