time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR
2085.0,675166000.0,844931260.0,758523000.0,531720030.0,628018500.0
2086.0,723820700.0,865624600.0,732097900.0,533286400.0,570554300.0
2087.0,677170000.0,852241300.0,699955800.0,524228060.0,544397700.0
2088.0,651229500.0,829736600.0,684597570.0,502478530.0,716735940.0
2089.0,633206500.0,820959740.0,681301300.0,498469280.0,818926660.0
2090.0,693108700.0,817831550.0,681695940.0,494832580.0,714089660.0
2091.0,624420000.0,841816500.0,688934140.0,491388800.0,642860160.0
2092.0,617250750.0,816328640.0,676908500.0,498939870.0,606240640.0
2093.0,626735800.0,834650430.0,673322800.0,491325020.0,598089400.0
2094.0,607159700.0,943071100.0,672170750.0,498261700.0,636026600.0
2095.0,743657100.0,817765760.0,670590460.0,519858500.0,597592200.0
2096.0,711254100.0,818498600.0,671759400.0,497442530.0,576382300.0
2097.0,749440450.0,805102460.0,719460000.0,506433900.0,578276100.0
2098.0,638157500.0,805839170.0,667344300.0,488603600.0,681927400.0
2099.0,627885060.0,800932000.0,711215800.0,484329200.0,699891800.0
2100.0,637403100.0,799539200.0,657740400.0,495797630.0,730425150.0
