time,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0,CANESM5,ACCESS-ESM1-5,ACCESS-CM2
2000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0
2001.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0
2002.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0
2003.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0
2004.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0
2005.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0
2006.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0
2007.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0
2008.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0
2009.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0
2010.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0
2011.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0
2012.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0
2013.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0
2014.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0
2015.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0
2016.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0
2017.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0
2018.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0
2019.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0
2020.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0
2021.0,13923102000.0,13926896000.0,13943158000.0,13924513000.0,13968278000.0,13966382000.0
2022.0,13761524000.0,13709122000.0,13895757000.0,13811912000.0,13924733000.0,13831168000.0
2023.0,13657351000.0,13553266000.0,13771309000.0,13693078000.0,13823807000.0,13723238000.0
2024.0,13532543000.0,13465207000.0,13620784000.0,13549014000.0,14034668000.0,13565715000.0
2025.0,13401191000.0,13188158000.0,13416920000.0,13371304000.0,13661815000.0,13474341000.0
2026.0,13191026000.0,12995747000.0,13233164000.0,13213970000.0,13534219000.0,13267912000.0
2027.0,13035851000.0,12765708000.0,13182046000.0,13114222000.0,13339215000.0,13059712000.0
2028.0,12754917000.0,12468760000.0,12973336000.0,12846582000.0,13155845000.0,12801670000.0
2029.0,12487136000.0,12096416000.0,12752477000.0,12584941000.0,12989505000.0,12627636000.0
2030.0,12159229000.0,11673241000.0,12553155000.0,12279258000.0,12754438000.0,12388005000.0
2031.0,11724070000.0,11448518000.0,12284750000.0,11994217000.0,12420398000.0,12118399000.0
2032.0,11414646000.0,11111038000.0,11986041000.0,11596196000.0,12120200000.0,11898127000.0
2033.0,11153458000.0,10724952000.0,11708957000.0,11226780000.0,11712473000.0,11657314000.0
2034.0,11045106000.0,10300193000.0,11546504000.0,10888117000.0,11373570000.0,11293923000.0
2035.0,10806409000.0,9773136000.0,11570115000.0,10612816000.0,11012010000.0,11102411000.0
2036.0,10484670000.0,9371552000.0,11199095000.0,10245063000.0,10818356000.0,10793869000.0
