time,CSIRO-MK3-6-0,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR,CANESM2,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,CCSM4,GFDL-CM3
2012.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0
2013.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0
2014.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0
2015.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0
2016.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0
2017.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0
2018.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0
2019.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0
2020.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0
2021.0,3035763000000.0,3053086000000.0,3040356300000.0,3061389000000.0,3049634400000.0,3056990400000.0,3038157000000.0,3060498000000.0,3040619300000.0,3038459700000.0
2022.0,3014998000000.0,3045350700000.0,3012862100000.0,3033305400000.0,3033307500000.0,3051135000000.0,3023468000000.0,3058397300000.0,3011969500000.0,3005846700000.0
2023.0,2962097400000.0,3051074600000.0,3002454200000.0,3020352400000.0,3032038500000.0,3029107700000.0,2988585000000.0,3036387200000.0,2992423000000.0,2974623000000.0
2024.0,2929974800000.0,3054039000000.0,2979519500000.0,2993225500000.0,2980164400000.0,3020681000000.0,2984806200000.0,3007990500000.0,2967419500000.0,2945443000000.0
2025.0,2904670000000.0,3031920800000.0,2942573700000.0,2962298500000.0,2937685500000.0,2988102400000.0,2961061200000.0,2998629000000.0,2944836000000.0,2908096600000.0
2026.0,2852592800000.0,3015442700000.0,2902607500000.0,2934932200000.0,2908275000000.0,2966592400000.0,2943943200000.0,2991267500000.0,2932264000000.0,2860503000000.0
2027.0,2827865000000.0,2966026500000.0,2858354700000.0,2899070400000.0,2842997300000.0,2943146800000.0,2933135200000.0,3004611200000.0,2923938200000.0,2812256500000.0
2028.0,2800699300000.0,2969169300000.0,2838967600000.0,2871018700000.0,2812267700000.0,2913219400000.0,2913976000000.0,2999864500000.0,2901484000000.0,2752109600000.0
2029.0,2756564500000.0,2959055300000.0,2799581500000.0,2836954300000.0,2754351200000.0,2885624800000.0,2876921600000.0,2974539000000.0,2856427200000.0,2681424800000.0
2030.0,2722620800000.0,2931727800000.0,2737092400000.0,2794479000000.0,2741829000000.0,2863191800000.0,2854646700000.0,2953699100000.0,2821526400000.0,2612398700000.0
2031.0,2696125300000.0,2894575000000.0,2681737800000.0,2758724800000.0,2702978600000.0,2826595200000.0,2830217200000.0,2925026000000.0,2783859200000.0,2552060400000.0
2032.0,2661455800000.0,2881464600000.0,2649504600000.0,2721225400000.0,2680406700000.0,2793048600000.0,2806801000000.0,2881643300000.0,2729488400000.0,2471479500000.0
2033.0,2602892300000.0,2861252200000.0,2610634200000.0,2679415500000.0,2645809200000.0,2760516000000.0,2784303000000.0,2858631800000.0,2703906800000.0,2422396200000.0
2034.0,2542972000000.0,2839850300000.0,2565976000000.0,2642108200000.0,2602918500000.0,2725350000000.0,2758726000000.0,2836662800000.0,2677056500000.0,2351742000000.0
2035.0,2496553800000.0,2798729000000.0,2532514000000.0,2592957500000.0,2547530900000.0,2700260700000.0,2734447400000.0,2829213500000.0,2634769200000.0,2282306100000.0
2036.0,2459975300000.0,2748608700000.0,2495200600000.0,2534758700000.0,2503302200000.0,2659012000000.0,2712128700000.0,2780793000000.0,2591745000000.0,2215262600000.0
2037.0,2413183600000.0,2718950000000.0,2471367500000.0,2478368000000.0,2455720200000.0,2617199800000.0,2687297400000.0,2739561000000.0,2560438600000.0,2150402600000.0
2038.0,2355015200000.0,2691725300000.0,2443223000000.0,2422794400000.0,2408663700000.0,2572939700000.0,2653979700000.0,2712457000000.0,2526375800000.0,2081320900000.0
2039.0,2301263000000.0,2667052500000.0,2407033500000.0,2370868600000.0,2358229300000.0,2529976600000.0,2627141600000.0,2676494200000.0,2485674000000.0,1991828400000.0
2040.0,2236588000000.0,2654475600000.0,2367572400000.0,2311217200000.0,2302514300000.0,2470023800000.0,2600805600000.0,2634368000000.0,2440811200000.0,1907673800000.0
2041.0,2185338800000.0,2656134500000.0,2328833000000.0,2259976500000.0,2246573300000.0,2434042700000.0,2561581000000.0,2588525200000.0,2401242000000.0,1828055700000.0
2042.0,2126302000000.0,2626167000000.0,2279461000000.0,2210367800000.0,2215905600000.0,2387978200000.0,2532589700000.0,2534874300000.0,2369508600000.0,1742363600000.0
2043.0,2073881000000.0,2595733600000.0,2235028700000.0,2163820500000.0,2161453300000.0,2338454000000.0,2496010600000.0,2506648700000.0,2331948400000.0,1659776100000.0
2044.0,2030142400000.0,2583337600000.0,2195458400000.0,2113728000000.0,2108683700000.0,2302711700000.0,2465120600000.0,2476183400000.0,2278579800000.0,1596208600000.0
2045.0,1974871300000.0,2565540000000.0,2154641200000.0,2048322600000.0,2048854900000.0,2271843700000.0,2421293600000.0,2429752400000.0,2228258900000.0,1534358300000.0
2046.0,1935219600000.0,2538819600000.0,2104136300000.0,1977472100000.0,2003647200000.0,2225836700000.0,2388859000000.0,2358894400000.0,2184747300000.0,1457896400000.0
2047.0,1892635200000.0,2498344800000.0,2062790000000.0,1911423800000.0,1940285800000.0,2174893800000.0,2359958400000.0,2296940000000.0,2142055600000.0,1390784400000.0
2048.0,1835734300000.0,2465788000000.0,2035626000000.0,1857599300000.0,1893133800000.0,2130901100000.0,2323571800000.0,2264106800000.0,2093558900000.0,1334729600000.0
2049.0,1782202200000.0,2437906400000.0,1991294200000.0,1794183000000.0,1836251000000.0,2087665500000.0,2292325500000.0,2205953000000.0,2058543600000.0,1272012900000.0
2050.0,1734962700000.0,2419685000000.0,1943129600000.0,1741815300000.0,1772539000000.0,2060547400000.0,2256809800000.0,2163260400000.0,2020718000000.0,1201865600000.0
2051.0,1679211100000.0,2390115500000.0,1911313700000.0,1687571100000.0,1712361800000.0,2011903200000.0,2226933000000.0,2116619300000.0,1977588300000.0,1151944200000.0
2052.0,1647584000000.0,2344851900000.0,1869540200000.0,1637302700000.0,1650412000000.0,1970731900000.0,2185553000000.0,2072235100000.0,1936316600000.0,1092920400000.0
2053.0,1596635700000.0,2325534500000.0,1814399400000.0,1583705200000.0,1587859700000.0,1926966300000.0,2155945100000.0,2029784300000.0,1903527500000.0,1041275100000.0
2054.0,1559619400000.0,2290815300000.0,1777912300000.0,1526035400000.0,1533981600000.0,1892432500000.0,2112309200000.0,1990688900000.0,1874338600000.0,980604600000.0
2055.0,1515966300000.0,2230883700000.0,1739158500000.0,1480947700000.0,1490825400000.0,1855122800000.0,2065988700000.0,1980694000000.0,1836878700000.0,935498550000.0
2056.0,1470332500000.0,2182346400000.0,1697036400000.0,1427815000000.0,1453332900000.0,1809150500000.0,2028220200000.0,1935624400000.0,1793251200000.0,886071700000.0
2057.0,1433584400000.0,2119184400000.0,1645821800000.0,1387065800000.0,1401298100000.0,1760002700000.0,1987030500000.0,1880211600000.0,1750733400000.0,846493450000.0
2058.0,1376752800000.0,2089213200000.0,1602270800000.0,1337053800000.0,1344422200000.0,1727067800000.0,1939671100000.0,1830698600000.0,1711517900000.0,802368850000.0
2059.0,1331192800000.0,2044822800000.0,1556037100000.0,1290234900000.0,1309164000000.0,1687800400000.0,1903213200000.0,1781735600000.0,1679414300000.0,761033400000.0
2060.0,1282739800000.0,2010708600000.0,1514480500000.0,1248872500000.0,1259609800000.0,1647988700000.0,1871281800000.0,1728621200000.0,1641213900000.0,722581000000.0
2061.0,1243474700000.0,1968873500000.0,1483849100000.0,1215164300000.0,1207003900000.0,1615665600000.0,1838590600000.0,1669660300000.0,1605493200000.0,689001500000.0
2062.0,1205089700000.0,1945223300000.0,1456553600000.0,1171534100000.0,1159299700000.0,1582552800000.0,1813450900000.0,1600980800000.0,1561852500000.0,656983260000.0
2063.0,1165555400000.0,1918288100000.0,1416377800000.0,1130965900000.0,1113404700000.0,1552187800000.0,1771573900000.0,1560551200000.0,1530658400000.0,620235600000.0
2064.0,1116991700000.0,1899544600000.0,1365209300000.0,1097191400000.0,1080677240000.0,1523150100000.0,1727921100000.0,1509512200000.0,1493895500000.0,590068840000.0
2065.0,1072653340000.0,1857687900000.0,1324505900000.0,1048289540000.0,1041618570000.0,1491957000000.0,1694350700000.0,1459091700000.0,1457802600000.0,559065100000.0
2066.0,1034606740000.0,1822526500000.0,1290732800000.0,1011175260000.0,997744300000.0,1460004600000.0,1645231300000.0,1406432800000.0,1418522500000.0,531583660000.0
2067.0,1002409030000.0,1791307400000.0,1254533200000.0,970569550000.0,952424140000.0,1430255400000.0,1604134800000.0,1353379600000.0,1385936300000.0,504317700000.0
2068.0,967962200000.0,1747451000000.0,1222555500000.0,929711260000.0,919758200000.0,1392397100000.0,1561980300000.0,1310023100000.0,1345819000000.0,478968300000.0
2069.0,933740100000.0,1721255300000.0,1179750200000.0,896979200000.0,884784600000.0,1358203000000.0,1528273300000.0,1272439400000.0,1299460700000.0,453778280000.0
2070.0,894514230000.0,1683175500000.0,1136085000000.0,854784150000.0,851960900000.0,1328844400000.0,1503359000000.0,1233602300000.0,1254711200000.0,432227200000.0
2071.0,865917140000.0,1638372200000.0,1097507860000.0,816532800000.0,812615140000.0,1300336500000.0,1460509000000.0,1182257100000.0,1216826000000.0,410680160000.0
2072.0,833591700000.0,1611864700000.0,1062201100000.0,776973000000.0,785783060000.0,1269992000000.0,1422708700000.0,1141636900000.0,1185426700000.0,387495900000.0
2073.0,808025500000.0,1584152000000.0,1026149500000.0,744615440000.0,758233200000.0,1240551900000.0,1378664700000.0,1111213700000.0,1147090100000.0,365347860000.0
2074.0,775165000000.0,1552417400000.0,994516100000.0,706219100000.0,727736500000.0,1211490200000.0,1345749000000.0,1083847500000.0,1116263700000.0,347138650000.0
2075.0,748997400000.0,1505483200000.0,956933540000.0,670227500000.0,698010500000.0,1185328500000.0,1320059000000.0,1036589100000.0,1092624000000.0,329449140000.0
2076.0,710746960000.0,1467546600000.0,921502150000.0,637767800000.0,671498500000.0,1161455700000.0,1277896800000.0,988728600000.0,1057684700000.0,308434240000.0
2077.0,680297560000.0,1430899900000.0,888660500000.0,602987800000.0,639066960000.0,1133391600000.0,1240254000000.0,957825300000.0,1014799700000.0,292164500000.0
2078.0,650278140000.0,1396500700000.0,860982100000.0,568893400000.0,603603200000.0,1106150200000.0,1209345400000.0,924391300000.0,980625300000.0,276217300000.0
2079.0,621394660000.0,1356620500000.0,827760300000.0,544884160000.0,571947500000.0,1081534300000.0,1182290300000.0,897047100000.0,946638950000.0,257843900000.0
2080.0,602817560000.0,1324269400000.0,797810950000.0,513718100000.0,551785700000.0,1056468570000.0,1147480200000.0,855225700000.0,916454050000.0,242730680000.0
2081.0,580294930000.0,1299122200000.0,770814000000.0,488261220000.0,523173230000.0,1033422440000.0,1116171300000.0,810053530000.0,880626900000.0,223308700000.0
2082.0,550955650000.0,1260714600000.0,751092700000.0,460979700000.0,494912930000.0,1004364100000.0,1087840300000.0,773255860000.0,848620100000.0,209137160000.0
2083.0,526182300000.0,1228344800000.0,723156340000.0,434712400000.0,470231300000.0,977454960000.0,1050241300000.0,740138160000.0,829096100000.0,192854980000.0
2084.0,506103170000.0,1196429300000.0,697677400000.0,411971550000.0,442785300000.0,950285000000.0,1028573800000.0,711175770000.0,801755400000.0,179147830000.0
2085.0,483204700000.0,1149486900000.0,671066550000.0,390962380000.0,417344100000.0,928928960000.0,995812440000.0,694594600000.0,770303500000.0,164330700000.0
2086.0,463443760000.0,1104848900000.0,649223200000.0,361199500000.0,393206330000.0,900432500000.0,966550100000.0,662535200000.0,743270500000.0,151063450000.0
2087.0,441395280000.0,1066851960000.0,626240800000.0,338397920000.0,368632270000.0,872744800000.0,930982260000.0,633330700000.0,717344900000.0,139574590000.0
2088.0,420722300000.0,1033700500000.0,609435100000.0,312068830000.0,348821950000.0,847338700000.0,901420900000.0,604517560000.0,696433100000.0,130387320000.0
2089.0,394664800000.0,1000684900000.0,582644600000.0,285242030000.0,324249400000.0,823125540000.0,879039940000.0,573534770000.0,679612250000.0,121130990000.0
2090.0,374340980000.0,977549100000.0,558800300000.0,268388380000.0,301089200000.0,802341850000.0,850865100000.0,541519000000.0,653562000000.0,111565960000.0
2091.0,350447730000.0,951369200000.0,534499620000.0,250425850000.0,285197700000.0,777670600000.0,828012200000.0,510901100000.0,626774800000.0,101465965000.0
2092.0,329083680000.0,917032670000.0,513678200000.0,231175010000.0,262389890000.0,754180000000.0,803132100000.0,484610200000.0,600613650000.0,95297225000.0
2093.0,315263450000.0,885570600000.0,495648440000.0,209520260000.0,244781250000.0,730631800000.0,787367460000.0,459658700000.0,576776960000.0,88354824000.0
2094.0,296471700000.0,845230800000.0,471527000000.0,190671060000.0,228575330000.0,710051900000.0,761516650000.0,435155760000.0,546470950000.0,82986205000.0
2095.0,277221600000.0,816548150000.0,454379470000.0,170722560000.0,212286280000.0,683539800000.0,738083400000.0,417632030000.0,522402900000.0,77320370000.0
2096.0,259456370000.0,790844500000.0,436402450000.0,158437110000.0,199098610000.0,659565700000.0,716415300000.0,390960400000.0,500607030000.0,72523600000.0
2097.0,242836960000.0,772053340000.0,414902260000.0,145476980000.0,181328600000.0,640114750000.0,698573900000.0,371236570000.0,480777500000.0,67545084000.0
2098.0,227370320000.0,745298700000.0,396774280000.0,135072610000.0,170032920000.0,619190750000.0,678959300000.0,356741550000.0,461402930000.0,62460520000.0
2099.0,215080750000.0,727426900000.0,379280650000.0,124214050000.0,158020300000.0,600492900000.0,656940000000.0,331721930000.0,445712630000.0,57375340000.0
2100.0,204070130000.0,702869730000.0,360374900000.0,114855805000.0,149669660000.0,582315900000.0,640253600000.0,309287260000.0,426312900000.0,52680070000.0
