time,CMCC-CM2-SR5,NORESM2-MM,GFDL-ESM4,MPI-ESM1-2-HR,CESM2-WACCM,EC-EARTH3-VEG,INM-CM5-0,EC-EARTH3,MRI-ESM2-0,CESM2,INM-CM4-8,FGOALS-F3-L,BCC-CSM2-MR,CAMS-CSM1-0
2000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0
2001.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0
2002.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0
2003.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0
2004.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0
2005.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0
2006.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0
2007.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0
2008.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0
2009.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0
2010.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0
2011.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0
2012.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0
2013.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0
2014.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0
2015.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0
2016.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0
2017.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0
2018.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0
2019.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0
2020.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0
2021.0,52164424000.0,51520300000.0,51510596000.0,51548960000.0,51622620000.0,51516924000.0,51558207000.0,51517895000.0,51521794000.0,51519850000.0,51539460000.0,51517166000.0,51516100000.0,51516002000.0
2022.0,51660340000.0,51501760000.0,51499106000.0,51581948000.0,51573244000.0,51475070000.0,51465196000.0,51503673000.0,51478258000.0,51502203000.0,51499598000.0,51519060000.0,51502510000.0,51514114000.0
2023.0,51598524000.0,51530840000.0,51487584000.0,51493614000.0,51486130000.0,51440210000.0,51415224000.0,51453500000.0,51452056000.0,51475130000.0,51458073000.0,51478280000.0,51447665000.0,51476128000.0
2024.0,51536030000.0,51525136000.0,51478434000.0,51471840000.0,51471204000.0,51430306000.0,51395875000.0,51428033000.0,51415230000.0,51443830000.0,51429920000.0,51463870000.0,51400300000.0,51471557000.0
2025.0,51517840000.0,51519234000.0,51436397000.0,51416596000.0,51428350000.0,51380855000.0,51417092000.0,51395813000.0,51390427000.0,51407327000.0,51398504000.0,51409953000.0,51389137000.0,51454180000.0
2026.0,51457974000.0,51460907000.0,51382380000.0,51402360000.0,51427635000.0,51352723000.0,51362066000.0,51357660000.0,51353723000.0,51417305000.0,51386480000.0,51407954000.0,51391398000.0,51413030000.0
2027.0,51438027000.0,51447940000.0,51371520000.0,51427602000.0,51400884000.0,51317367000.0,51338470000.0,51340810000.0,51310250000.0,51366320000.0,51746280000.0,51377476000.0,51343860000.0,51419554000.0
2028.0,51411345000.0,51425050000.0,51328233000.0,51350573000.0,51379794000.0,51273327000.0,51351490000.0,51310014000.0,51285560000.0,51349440000.0,51391877000.0,51376720000.0,51317800000.0,51379610000.0
2029.0,51407675000.0,51398803000.0,51314380000.0,51352445000.0,51352433000.0,51242107000.0,51299300000.0,51283423000.0,51273870000.0,51324770000.0,51388092000.0,51340620000.0,51310633000.0,51355185000.0
2030.0,51376120000.0,51395560000.0,51287640000.0,51297907000.0,51351073000.0,51204090000.0,51276747000.0,51312763000.0,51246244000.0,51306713000.0,51334463000.0,51324620000.0,51281363000.0,51336925000.0
2031.0,51476136000.0,51370693000.0,51262420000.0,51267273000.0,51337920000.0,51163540000.0,51242250000.0,51259847000.0,51222580000.0,51301360000.0,51386765000.0,51283444000.0,51273458000.0,51335230000.0
2032.0,51357950000.0,51347632000.0,51252744000.0,51247680000.0,51361714000.0,51123245000.0,51218660000.0,51245600000.0,51194085000.0,51283325000.0,51374514000.0,51248873000.0,51240174000.0,51305427000.0
2033.0,51322032000.0,51388326000.0,51221414000.0,51224592000.0,51305935000.0,51155770000.0,51224370000.0,51225596000.0,51161690000.0,51276386000.0,51286295000.0,51240340000.0,51369415000.0,51309912000.0
2034.0,51304333000.0,51328905000.0,51216073000.0,51196480000.0,51303055000.0,51082346000.0,51188680000.0,51223495000.0,51121705000.0,51282820000.0,51249300000.0,51235774000.0,51245940000.0,51328074000.0
2035.0,51290178000.0,51305492000.0,51187143000.0,51169140000.0,51269706000.0,51035510000.0,51171762000.0,51168727000.0,51090630000.0,51276500000.0,51207170000.0,51203850000.0,51188050000.0,51282550000.0
2036.0,51281060000.0,51281814000.0,51141562000.0,51052786000.0,51240673000.0,51007500000.0,51143918000.0,51131126000.0,51054070000.0,51228135000.0,51176260000.0,51215122000.0,51132486000.0,51294405000.0
2037.0,51258503000.0,51279910000.0,51109036000.0,51015094000.0,51219276000.0,50937640000.0,51198132000.0,51078586000.0,51016008000.0,51202210000.0,51111416000.0,51150320000.0,51114164000.0,51253993000.0
2038.0,51233415000.0,51258257000.0,51063673000.0,50990227000.0,51192975000.0,50868404000.0,51187995000.0,51044350000.0,50967888000.0,51161432000.0,51085767000.0,51086447000.0,51076940000.0,51218166000.0
2039.0,51210900000.0,51241010000.0,51022870000.0,50964767000.0,51173503000.0,50818593000.0,51066712000.0,51029074000.0,50930307000.0,51116450000.0,51087544000.0,51033215000.0,51040186000.0,51187780000.0
2040.0,51187065000.0,51253883000.0,50977333000.0,50961977000.0,51229045000.0,50768850000.0,50993070000.0,50992610000.0,50867827000.0,51098178000.0,51123483000.0,50968850000.0,50955596000.0,51158647000.0
2041.0,51197596000.0,51236516000.0,50941768000.0,50896160000.0,51125600000.0,50687460000.0,50930835000.0,50943025000.0,50806550000.0,51059970000.0,51042046000.0,50914390000.0,50903056000.0,51141490000.0
2042.0,51095210000.0,51191243000.0,50902704000.0,50856120000.0,51105153000.0,50614370000.0,50914080000.0,50885415000.0,50775390000.0,51012400000.0,51022447000.0,50874230000.0,50852650000.0,51125620000.0
2043.0,51070415000.0,51151213000.0,50883400000.0,50820420000.0,51109028000.0,50512760000.0,50883195000.0,50826445000.0,50698730000.0,50977837000.0,50945520000.0,50847134000.0,50819154000.0,51102413000.0
2044.0,51041784000.0,51145638000.0,50838643000.0,50792325000.0,51043746000.0,50390655000.0,50853982000.0,50771304000.0,50614583000.0,50902580000.0,50861916000.0,50792310000.0,50806542000.0,51053515000.0
2045.0,51006240000.0,51089700000.0,50792067000.0,50779370000.0,51006870000.0,50243895000.0,50807013000.0,50685854000.0,50552852000.0,50872263000.0,50821337000.0,50712140000.0,50751540000.0,51012800000.0
2046.0,50949910000.0,51061924000.0,50729420000.0,50747875000.0,50955624000.0,50134827000.0,50794700000.0,50610620000.0,50429280000.0,50835448000.0,50777297000.0,50651460000.0,50663182000.0,50987667000.0
2047.0,50891952000.0,51069837000.0,50680037000.0,50693345000.0,50920480000.0,49990750000.0,50755523000.0,50488824000.0,50364867000.0,50802980000.0,50744340000.0,50624414000.0,50635612000.0,50967146000.0
2048.0,50855424000.0,51002802000.0,50686763000.0,50651480000.0,50895450000.0,49834697000.0,50790280000.0,50380430000.0,50236520000.0,50754870000.0,50702980000.0,50549256000.0,50606596000.0,50935583000.0
2049.0,50789850000.0,50934518000.0,50649543000.0,50605260000.0,50840637000.0,49683090000.0,50676260000.0,50252358000.0,50126795000.0,50709680000.0,50681860000.0,50509510000.0,50569306000.0,50915897000.0
2050.0,50744533000.0,50905620000.0,50534480000.0,50571270000.0,50798408000.0,49510285000.0,50637808000.0,50090600000.0,50021800000.0,50654890000.0,50672755000.0,50396193000.0,50490790000.0,50898457000.0
2051.0,50649920000.0,50865164000.0,50489864000.0,50498695000.0,50762654000.0,49351300000.0,50606050000.0,49916187000.0,49887110000.0,50590530000.0,50605620000.0,50310152000.0,50420680000.0,50881176000.0
