time,CAMS-CSM1-0,TAIESM1,BCC-CSM2-MR,ACCESS-ESM1-5,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,MRI-ESM2-0,CESM2,INM-CM5-0,CANESM5,CESM2-WACCM,EC-EARTH3-VEG,NORESM2-MM,GFDL-ESM4,MPI-ESM1-2-HR,ACCESS-CM2,CMCC-CM2-SR5,IPSL-CM6A-LR
2026.0,51430162000.0,51346630000.0,51465130000.0,51417272000.0,51478470000.0,51392170000.0,51387613000.0,51336300000.0,51358814000.0,51382518000.0,51234365000.0,51432030000.0,51315930000.0,51434440000.0,51426783000.0,51514147000.0,51424070000.0,51440480000.0,51411067000.0
2027.0,51464495000.0,51325616000.0,51426206000.0,51390690000.0,51426406000.0,51362718000.0,51348340000.0,51299150000.0,51354624000.0,51339575000.0,51151680000.0,51406280000.0,51268194000.0,51400335000.0,51444800000.0,51456480000.0,51417830000.0,51382560000.0,51373728000.0
2028.0,51408940000.0,51297243000.0,51403460000.0,51376136000.0,51366970000.0,51336233000.0,51324326000.0,51263100000.0,51346530000.0,51308340000.0,51033580000.0,51408580000.0,51227886000.0,51360567000.0,51385532000.0,51408925000.0,51382650000.0,51370967000.0,51331273000.0
2029.0,51367990000.0,51262580000.0,51376595000.0,51373404000.0,51360293000.0,51311784000.0,51285856000.0,51233575000.0,51325555000.0,51272940000.0,50914107000.0,51371545000.0,51176380000.0,51342590000.0,51346977000.0,51378033000.0,51374800000.0,51334500000.0,51319865000.0
2030.0,51351142000.0,51232150000.0,51361420000.0,51339270000.0,51401617000.0,51312610000.0,51243377000.0,51208204000.0,51296383000.0,51232590000.0,50767008000.0,51446583000.0,51091630000.0,51355386000.0,51329680000.0,51346360000.0,51342885000.0,51307565000.0,51294390000.0
2031.0,51342320000.0,51209520000.0,51350065000.0,51329040000.0,51332540000.0,51295003000.0,51204702000.0,51164496000.0,51303120000.0,51201630000.0,50593580000.0,51391860000.0,51037820000.0,51335790000.0,51304346000.0,51336266000.0,51344960000.0,51301200000.0,51258690000.0
2032.0,51328328000.0,51173302000.0,51331506000.0,51329536000.0,51332485000.0,51274207000.0,51168050000.0,51130098000.0,51264066000.0,51180446000.0,50404350000.0,51324465000.0,50911700000.0,51357200000.0,51273396000.0,51317944000.0,51318240000.0,51278700000.0,51241370000.0
2033.0,51334767000.0,51144294000.0,51314168000.0,51387120000.0,51305734000.0,51245740000.0,51079620000.0,51068318000.0,51243872000.0,51153700000.0,50227577000.0,51313025000.0,50741785000.0,51304100000.0,51274070000.0,51321800000.0,51312650000.0,51259440000.0,51204768000.0
2034.0,51295855000.0,51100530000.0,51301827000.0,51315660000.0,51284595000.0,51244347000.0,50999490000.0,51012854000.0,51228054000.0,51105820000.0,50055180000.0,51286550000.0,50627125000.0,51284644000.0,51248615000.0,51295390000.0,51275310000.0,51236553000.0,51185710000.0
2035.0,51266253000.0,51051240000.0,51396276000.0,51287170000.0,51256250000.0,51207115000.0,50903200000.0,50970310000.0,51200004000.0,51052237000.0,49816890000.0,51274543000.0,50519765000.0,51818353000.0,51226427000.0,51283510000.0,51234980000.0,51198484000.0,51154890000.0
2036.0,51231400000.0,51017413000.0,51275680000.0,51268125000.0,51238703000.0,51133776000.0,50780520000.0,50899874000.0,51181650000.0,51016030000.0,49591747000.0,51258663000.0,50427140000.0,51268900000.0,51197540000.0,51255767000.0,51206038000.0,51139256000.0,51132200000.0
2037.0,51202470000.0,50992402000.0,51225862000.0,51249940000.0,51193860000.0,51106296000.0,50631150000.0,50785330000.0,51121560000.0,50940334000.0,49390653000.0,51229815000.0,50340848000.0,51212980000.0,51167940000.0,51223780000.0,51172434000.0,51101560000.0,51090540000.0
2038.0,51233910000.0,50918674000.0,51202064000.0,51182090000.0,51194446000.0,51077042000.0,50520945000.0,50693310000.0,51088278000.0,50834665000.0,49102045000.0,51187356000.0,50209788000.0,51183145000.0,51143770000.0,51194937000.0,51094454000.0,51025314000.0,51047200000.0
2039.0,51158850000.0,50861904000.0,51169770000.0,51146890000.0,51128090000.0,51021656000.0,50370120000.0,50601665000.0,51051610000.0,50754690000.0,48761573000.0,51165348000.0,50035910000.0,51158650000.0,51108766000.0,51143614000.0,51043734000.0,50959050000.0,51004810000.0
2040.0,51120247000.0,50767127000.0,51134100000.0,51129300000.0,51092242000.0,51014017000.0,50161844000.0,50473415000.0,51004020000.0,50693120000.0,48473293000.0,51233690000.0,49886860000.0,51157328000.0,51083293000.0,51094370000.0,51016733000.0,50879180000.0,50941570000.0
2041.0,51105165000.0,50695467000.0,51059945000.0,51094417000.0,51063116000.0,50961682000.0,49967694000.0,50357436000.0,50969973000.0,50635880000.0,48112840000.0,51116384000.0,49666690000.0,51113345000.0,51068932000.0,51035270000.0,50978140000.0,50838475000.0,50852570000.0
2042.0,51074404000.0,50643137000.0,51008420000.0,51108750000.0,51035927000.0,50879877000.0,49753604000.0,50226650000.0,50921165000.0,50558530000.0,47730470000.0,51081593000.0,49458080000.0,51079650000.0,51016827000.0,50953610000.0,51000037000.0,50737230000.0,50760225000.0
2043.0,50993263000.0,50563023000.0,50966594000.0,51233270000.0,50964832000.0,50822650000.0,49499560000.0,50061910000.0,50862875000.0,50470010000.0,47363470000.0,51029225000.0,49318855000.0,51039130000.0,50973377000.0,50934800000.0,50905944000.0,50656810000.0,50641040000.0
2044.0,50980966000.0,50419650000.0,50906907000.0,51065197000.0,50926870000.0,50715763000.0,49246118000.0,49858265000.0,50830107000.0,50351563000.0,47020626000.0,50977415000.0,49141113000.0,50992222000.0,50913935000.0,50890748000.0,50839040000.0,50581987000.0,50554536000.0
2045.0,50952303000.0,50341200000.0,50853327000.0,50946560000.0,50818480000.0,50692570000.0,48961580000.0,49705447000.0,50797510000.0,50257633000.0,46722994000.0,50965220000.0,48968593000.0,50938240000.0,50887490000.0,50818150000.0,50811888000.0,50460676000.0,50438697000.0
2046.0,50928020000.0,50241212000.0,50781254000.0,50859240000.0,50778587000.0,50598593000.0,48586540000.0,49495020000.0,50763485000.0,50171550000.0,46493990000.0,50928763000.0,48746107000.0,50909364000.0,50847190000.0,50767884000.0,50759885000.0,50356687000.0,50277265000.0
2047.0,50870596000.0,50053870000.0,50680246000.0,50772853000.0,50708185000.0,50474934000.0,48233853000.0,49332090000.0,50723000000.0,50067464000.0,46109467000.0,50858310000.0,48521798000.0,50902577000.0,50805460000.0,50695240000.0,50713330000.0,50267357000.0,50166500000.0
2048.0,50840050000.0,49860207000.0,50573770000.0,50837856000.0,50658877000.0,50348524000.0,47918620000.0,49191120000.0,50658193000.0,49966950000.0,45790260000.0,50820784000.0,48388680000.0,50852135000.0,50781606000.0,50654966000.0,50638217000.0,50131268000.0,49976790000.0
2049.0,50804507000.0,49698230000.0,50486964000.0,50662617000.0,50606440000.0,50250310000.0,47507538000.0,49011827000.0,50584666000.0,49852932000.0,45552378000.0,50782430000.0,48177480000.0,50824286000.0,50722500000.0,50573906000.0,50524930000.0,50048310000.0,49844190000.0
2050.0,50776396000.0,49565650000.0,50418504000.0,50651783000.0,50557460000.0,50118710000.0,47153760000.0,48804934000.0,50528264000.0,49720607000.0,45233200000.0,50748445000.0,47894987000.0,50802856000.0,50662355000.0,50532830000.0,50421096000.0,49953320000.0,49697280000.0
2051.0,50752690000.0,49377220000.0,50321756000.0,50638960000.0,50504868000.0,50064724000.0,46783010000.0,48634850000.0,50472200000.0,49603700000.0,44927054000.0,50690187000.0,47633412000.0,50724753000.0,50600760000.0,50475960000.0,50313556000.0,49842987000.0,49476240000.0
2052.0,50729705000.0,49234547000.0,50227167000.0,50405736000.0,50407930000.0,50009740000.0,46436090000.0,48365605000.0,50392290000.0,49430577000.0,44670670000.0,50640920000.0,47347310000.0,50688336000.0,50552525000.0,50375782000.0,50283586000.0,49721115000.0,49219090000.0
2053.0,50705314000.0,49052670000.0,50138653000.0,50233094000.0,50317775000.0,49798430000.0,46088778000.0,48152044000.0,50304860000.0,49292880000.0,44356293000.0,50547802000.0,47000146000.0,50649070000.0,50457250000.0,50282254000.0,50148712000.0,49547133000.0,49012236000.0
2054.0,50638240000.0,48877244000.0,50060520000.0,50118484000.0,50214277000.0,49682047000.0,45666628000.0,48023118000.0,50226016000.0,49159370000.0,44007076000.0,50501600000.0,46769545000.0,50600714000.0,50358362000.0,50206630000.0,50034810000.0,49337440000.0,48784986000.0
2055.0,50542645000.0,48621416000.0,49965700000.0,49987860000.0,50171757000.0,49513935000.0,45311865000.0,47879530000.0,50139427000.0,49080033000.0,43691565000.0,50466020000.0,46483220000.0,50538275000.0,50291225000.0,50083200000.0,49895535000.0,49151900000.0,48566410000.0
2056.0,50511850000.0,48419275000.0,49890340000.0,49755800000.0,50101297000.0,49301172000.0,45072310000.0,47654855000.0,50064814000.0,48950305000.0,43389604000.0,50385760000.0,46153890000.0,50496960000.0,50194665000.0,49985077000.0,49757434000.0,49042612000.0,48334946000.0
