time,TAIESM1,MPI-ESM1-2-HR,NORESM2-MM,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,ACCESS-CM2,IPSL-CM6A-LR,EC-EARTH3,ACCESS-ESM1-5,CMCC-CM2-SR5,MRI-ESM2-0,EC-EARTH3-VEG,CANESM5,INM-CM5-0,INM-CM4-8,CESM2,CAMS-CSM1-0,CESM2-WACCM
2000.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0
2001.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0
2002.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0
2003.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0
2004.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0
2005.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0
2006.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0
2007.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0
2008.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0
2009.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0
