time,GFDL-CM3,GISS-E2-R,CCSM4,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,CANESM2,CSIRO-MK3-6-0,CNRM-CM5,IPSL-CM5A-LR
2000.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0
2001.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0
2002.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0
2003.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0
2004.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0
2005.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0
2006.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0
2007.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0
2008.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0
2009.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0
2010.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0
2011.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0
2012.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0
2013.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0
2014.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0
2015.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0
2016.0,1142468200.0,1142468200.0,1142468200.0,1142468200.0,1142468200.0,1142468200.0,1142468200.0,1142468200.0,1142468200.0,1142468200.0
2017.0,1138621700.0,1138621700.0,1138621700.0,1138621700.0,1138621700.0,1138621700.0,1138621700.0,1138621700.0,1138621700.0,1138621700.0
2018.0,1131278000.0,1131278000.0,1131278000.0,1131278000.0,1131278000.0,1131278000.0,1131278000.0,1131278000.0,1131278000.0,1131278000.0
2019.0,1121442200.0,1121442200.0,1121442200.0,1121442200.0,1121442200.0,1121442200.0,1121442200.0,1121442200.0,1121442200.0,1121442200.0
2020.0,1110920200.0,1110920200.0,1110920200.0,1110920200.0,1110920200.0,1110920200.0,1110920200.0,1110920200.0,1110920200.0,1110920200.0
2021.0,1091569700.0,1097306900.0,1093931500.0,1100330100.0,1102610400.0,1093739000.0,1100416800.0,1105991400.0,1100063600.0,1116398000.0
2022.0,1087486100.0,1104502400.0,1082327200.0,1133267200.0,1099380700.0,1084838000.0,1108416300.0,1090820000.0,1092876900.0,1097830100.0
2023.0,1067154600.0,1093488000.0,1069548600.0,1113510000.0,1078760100.0,1072180350.0,1115403900.0,1087554700.0,1077091800.0,1083594100.0
2024.0,1047318200.0,1071214200.0,1063652600.0,1086020100.0,1068072770.0,1063378940.0,1084000300.0,1073828000.0,1075184100.0,1082672400.0
2025.0,1027257100.0,1074999300.0,1052794940.0,1079056900.0,1049345500.0,1041712450.0,1072738940.0,1053011000.0,1065436540.0,1070269900.0
2026.0,1015726000.0,1049952300.0,1053448060.0,1108804400.0,1032367900.0,1023210240.0,1064601300.0,1034402900.0,1046363140.0,1064588100.0
2027.0,987952000.0,1043783800.0,1044237440.0,1062742460.0,1011830460.0,997170600.0,1092391600.0,1028159040.0,1042839740.0,1046141000.0
