time,GISS-E2-R,GFDL-CM3,CCSM4,CANESM2,NORESM1-M,GFDL-ESM2G,MPI-ESM-LR,CSIRO-MK3-6-0,IPSL-CM5A-LR,CNRM-CM5
2029.0,996177660.0,917812300.0,974075840.0,996505500.0,943914050.0,958419000.0,1029525000.0,1014013950.0,947586560.0,957776700.0
2030.0,967890050.0,885148500.0,946249900.0,972186800.0,909379260.0,955526100.0,1011644500.0,999871400.0,933500740.0,950449600.0
2031.0,953900800.0,855478850.0,919049200.0,966676540.0,873386700.0,920444400.0,1022287040.0,989504800.0,919048600.0,937997900.0
2032.0,931170240.0,805707840.0,893018560.0,961075260.0,842970050.0,900752300.0,985066560.0,947878300.0,910930400.0,920195800.0
2033.0,908080700.0,773403100.0,879812860.0,955335230.0,817176300.0,904664600.0,963616500.0,934735170.0,880137100.0,909708000.0
2034.0,876495170.0,744537600.0,859542140.0,957497150.0,798568960.0,885132600.0,968877440.0,900163100.0,854189400.0,882693570.0
2035.0,849491900.0,703360900.0,833953600.0,917437800.0,780318500.0,846019600.0,969283260.0,875662900.0,838789440.0,858425860.0
2036.0,830212860.0,678890900.0,804305400.0,895107300.0,760360600.0,825464800.0,977589800.0,844312600.0,817050560.0,845807600.0
2037.0,800889540.0,648297660.0,788691300.0,878852860.0,740641500.0,821630140.0,911822400.0,823760260.0,787227400.0,832690900.0
2038.0,779668400.0,619884400.0,759616300.0,858840100.0,719651260.0,886986940.0,892369300.0,816976200.0,760378100.0,812621250.0
2039.0,762155700.0,594674400.0,736334850.0,847021760.0,693868700.0,885483140.0,875344060.0,779190850.0,743007360.0,793777150.0
2040.0,741960300.0,566918400.0,705079000.0,828572600.0,669363260.0,837979460.0,851992450.0,759416200.0,711648500.0,773336800.0
2041.0,723802430.0,535075900.0,675262900.0,809595100.0,645690400.0,806498400.0,828863550.0,725134900.0,676281600.0,749568300.0
2042.0,709631900.0,521022100.0,646652800.0,800485440.0,622297300.0,773740350.0,808266560.0,689303400.0,649689150.0,737437200.0
2043.0,677715900.0,490253600.0,615214800.0,778859700.0,591583940.0,755232300.0,791114940.0,639782660.0,618017100.0,721170300.0
2044.0,659213600.0,473562850.0,584391400.0,760045100.0,571814600.0,757800900.0,781852900.0,619414000.0,587953540.0,702303700.0
2045.0,635757440.0,458804770.0,569034900.0,736670460.0,552750900.0,727475200.0,761886660.0,597213100.0,581141570.0,682784100.0
2046.0,621658600.0,432131070.0,543744200.0,712838340.0,535252860.0,708432200.0,742431000.0,594343400.0,563507500.0,673815100.0
2047.0,604142000.0,415556130.0,511501200.0,699812400.0,512081700.0,686742400.0,730256600.0,564066940.0,531912900.0,667396200.0
2048.0,582562370.0,400170000.0,487320960.0,671880700.0,503544060.0,674928800.0,703072830.0,537638300.0,511656030.0,662726400.0
2049.0,565129700.0,381865440.0,471166980.0,648958660.0,486466240.0,658302660.0,663402200.0,517028540.0,495600960.0,674688600.0
2050.0,547540900.0,363059620.0,453529700.0,633117300.0,475621220.0,646513100.0,633534700.0,506931420.0,474488860.0,639693440.0
2051.0,533010340.0,343075040.0,428239580.0,600055000.0,455603970.0,624734100.0,614611500.0,478166850.0,452584480.0,633877570.0
2052.0,524360860.0,332058780.0,417401760.0,579483300.0,436688830.0,608295400.0,602663000.0,469232350.0,447572380.0,618663800.0
2053.0,515951500.0,311562850.0,402488350.0,559541950.0,419484600.0,606442900.0,571834750.0,467289920.0,424534000.0,610042750.0
2054.0,501915550.0,294665630.0,383018750.0,537181700.0,405399400.0,591304640.0,541210200.0,440049280.0,435262300.0,621437500.0
2055.0,494208060.0,276675040.0,373238620.0,518744480.0,394503940.0,573558460.0,528887140.0,426558700.0,416825380.0,590269950.0
2056.0,479003620.0,256443950.0,356831330.0,507418430.0,381552540.0,550421000.0,513457150.0,417676900.0,407471550.0,577957570.0
2057.0,471429100.0,244075090.0,351060860.0,479470660.0,360369000.0,533465800.0,492617180.0,402937120.0,393077020.0,557921900.0
2058.0,459767550.0,225618540.0,335847700.0,451546980.0,350815500.0,513243970.0,472747200.0,386952540.0,369771230.0,540751800.0
2059.0,447589900.0,203820450.0,323300220.0,438685730.0,333270460.0,485458340.0,452074460.0,376304420.0,353982200.0,526150800.0
2060.0,441952400.0,192911540.0,316506500.0,416604600.0,317405300.0,464941820.0,435262050.0,367946750.0,343634700.0,509512770.0
2061.0,434586020.0,186198540.0,301966460.0,408203900.0,303068260.0,447055940.0,420502080.0,365322370.0,330320770.0,493469660.0
2062.0,429535070.0,179551520.0,285216540.0,394620740.0,290868960.0,432582530.0,402290370.0,349498180.0,322464600.0,483720900.0
2063.0,420720670.0,169098060.0,276202700.0,381635740.0,279410660.0,415160670.0,384809280.0,342910200.0,309112860.0,467290180.0
2064.0,410690600.0,160293800.0,266618670.0,377525250.0,267820350.0,392108480.0,405724030.0,335358240.0,295674940.0,458604160.0
2065.0,405804200.0,151146080.0,257010180.0,355759260.0,251381650.0,379421250.0,358190430.0,323818050.0,287527260.0,445782800.0
2066.0,397358820.0,137683300.0,247332500.0,339125630.0,241421010.0,363297000.0,346258180.0,316802600.0,279733760.0,434311330.0
2067.0,386817000.0,130039870.0,235098720.0,321649100.0,232774130.0,346806200.0,323244450.0,307391840.0,264643200.0,418664830.0
2068.0,381414200.0,122073500.0,220048800.0,304010240.0,221655460.0,337993700.0,312123330.0,297456220.0,249031730.0,402869660.0
2069.0,370098880.0,114407720.0,216126080.0,305578800.0,211485460.0,323802780.0,305347330.0,284553440.0,244727650.0,377079840.0
2070.0,363302080.0,103445496.0,203480030.0,265520750.0,201511340.0,308697200.0,289308200.0,269966340.0,223424240.0,361592480.0
2071.0,353801760.0,91800410.0,199277780.0,255057060.0,196085180.0,291262620.0,269185860.0,264433010.0,210007790.0,356056580.0
2072.0,345760670.0,86292170.0,191234860.0,242575760.0,189566800.0,276557400.0,246083180.0,249265040.0,197665740.0,344059700.0
2073.0,352607100.0,78286870.0,181762290.0,235687500.0,187262500.0,261058180.0,240448930.0,238948420.0,182601680.0,335674430.0
2074.0,334141860.0,74538184.0,175959200.0,216465400.0,176817100.0,249530200.0,281089400.0,230189870.0,177153020.0,324589280.0
2075.0,326274200.0,69678100.0,175691410.0,203856940.0,168789810.0,232937820.0,213721660.0,221346030.0,162461200.0,314153660.0
2076.0,322632160.0,66582604.0,170994030.0,198318990.0,162029470.0,213850340.0,191643400.0,212682380.0,155467140.0,299505180.0
2077.0,310385500.0,60543044.0,163090530.0,180188110.0,157111900.0,203790030.0,180810990.0,203300260.0,148203420.0,291195070.0
2078.0,298895140.0,55336664.0,156470800.0,171873010.0,151205170.0,195277200.0,250926820.0,193486420.0,139052770.0,283773300.0
2079.0,291713730.0,52586516.0,154697600.0,166347070.0,147720220.0,192755890.0,178772750.0,181302420.0,130050140.0,267868320.0
2080.0,280785950.0,50040908.0,150234200.0,165708930.0,140341120.0,185803470.0,168952540.0,168841710.0,117682180.0,268411550.0
2081.0,280524500.0,45320244.0,143637780.0,161499540.0,138391040.0,180905950.0,158532770.0,178044220.0,130068380.0,255267760.0
2082.0,264250670.0,43360284.0,147357280.0,153033810.0,135552620.0,174435790.0,152313870.0,157484670.0,113598420.0,248546300.0
2083.0,254159520.0,42969412.0,212384100.0,149593890.0,129481200.0,165681890.0,145651260.0,151189630.0,102138110.0,241290000.0
2084.0,245707650.0,42263696.0,139549310.0,144999100.0,125536690.0,162094000.0,140499950.0,142255870.0,94513016.0,236303800.0
2085.0,242353140.0,38316748.0,144235180.0,137861380.0,119762130.0,155216510.0,139862450.0,137732880.0,91915400.0,224886880.0
2086.0,239213420.0,34630150.0,130184670.0,132839530.0,113530910.0,152591360.0,132869940.0,130060580.0,79807090.0,217703840.0
2087.0,233033060.0,31455844.0,126442140.0,125796664.0,112113730.0,148605020.0,127512220.0,122831120.0,75572220.0,210584580.0
2088.0,223256700.0,30966326.0,131328984.0,121105230.0,111453440.0,144192450.0,123632940.0,116133640.0,71386960.0,207867660.0
2089.0,217054200.0,30099794.0,124232800.0,113585816.0,113539820.0,139180770.0,120301576.0,111410990.0,67439480.0,201026830.0
2090.0,212368240.0,29658294.0,121251630.0,113217480.0,100932560.0,132764550.0,116823020.0,102145160.0,64281600.0,193558060.0
2091.0,207131940.0,28518606.0,116050150.0,106317960.0,98309120.0,127382040.0,110127140.0,90837020.0,61372252.0,189621740.0
2092.0,198765460.0,26817080.0,114518540.0,104551800.0,93664710.0,124430184.0,98766050.0,84080950.0,57042460.0,186146000.0
2093.0,192994130.0,25842290.0,112402060.0,97153940.0,90236184.0,119617784.0,93490490.0,82741390.0,53126812.0,182323520.0
2094.0,187640180.0,25352506.0,107516380.0,91365000.0,84597390.0,115096770.0,88685690.0,77461260.0,51154190.0,172881460.0
2095.0,187513060.0,24099056.0,105570480.0,86896680.0,81013240.0,109938070.0,85636640.0,73773416.0,51163110.0,165896660.0
2096.0,179979090.0,23645404.0,102899736.0,83856584.0,77911384.0,105837060.0,80738270.0,69807930.0,47682804.0,163304910.0
2097.0,173183650.0,20679400.0,101004220.0,76390800.0,76363680.0,101548370.0,74767310.0,64214284.0,46230690.0,157156560.0
2098.0,169346530.0,18379304.0,98020056.0,70262330.0,72990610.0,96841660.0,71238420.0,61411770.0,45042652.0,154270320.0
2099.0,166670260.0,17670610.0,96153660.0,65678120.0,70947250.0,94213490.0,68392360.0,58711390.0,43106960.0,164895060.0
2100.0,159986260.0,16601196.0,89396110.0,66992920.0,69714350.0,88570690.0,62330364.0,56334136.0,41853172.0,147739660.0
