time,CCSM4,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR,CNRM-CM5,CSIRO-MK3-6-0,NORESM1-M,CANESM2,MPI-ESM-LR,GFDL-ESM2G
2029.0,990664300.0,1015379840.0,914895300.0,966763000.0,1016624960.0,1000577000.0,943679000.0,950246340.0,931486850.0,1001381760.0
2030.0,976577860.0,1006114940.0,897032770.0,947544000.0,970130940.0,1043499500.0,934643600.0,955431500.0,905380860.0,977282200.0
2031.0,960667600.0,1012132200.0,871744060.0,929615360.0,949978300.0,993029060.0,918008900.0,920427840.0,870704060.0,960189300.0
2032.0,958170000.0,990654800.0,873817000.0,902287000.0,946827500.0,969096640.0,892588100.0,893260800.0,845821950.0,946829060.0
2033.0,924506430.0,974150300.0,842704000.0,903864000.0,932256600.0,954678850.0,875779400.0,857771500.0,823069600.0,961691840.0
2034.0,898842500.0,961699800.0,818083650.0,875974600.0,915271940.0,938920000.0,841378560.0,893233150.0,808883700.0,932463800.0
2035.0,873725250.0,982946800.0,781211700.0,858664640.0,897859460.0,914836030.0,811337200.0,840349200.0,791636400.0,913344960.0
2036.0,858960260.0,938669250.0,752377660.0,839685900.0,880651200.0,896426500.0,800142460.0,814841150.0,782389570.0,899990800.0
2037.0,841932100.0,937308200.0,726379400.0,820500000.0,873829200.0,877095940.0,776737540.0,792218700.0,817495040.0,877299500.0
2038.0,813325440.0,911816200.0,714718200.0,805274400.0,848044100.0,885194430.0,755738700.0,776809100.0,754820800.0,893234370.0
2039.0,802524160.0,894898900.0,695733760.0,787806800.0,829490700.0,909347900.0,735537700.0,747855360.0,740151900.0,905683140.0
2040.0,793728300.0,888641900.0,664478850.0,790362700.0,814188400.0,860532540.0,715768400.0,735221000.0,795495100.0,888690050.0
2041.0,777017660.0,876760100.0,625318900.0,771818700.0,801898300.0,839780800.0,687945300.0,764592800.0,724770560.0,871505900.0
2042.0,758406140.0,859876500.0,633071170.0,747477900.0,776868160.0,872499500.0,660325700.0,708677800.0,698667400.0,837403140.0
2043.0,750416000.0,844832300.0,591590300.0,728560960.0,759449600.0,824222400.0,644593660.0,683526850.0,675559800.0,818644540.0
2044.0,789116500.0,824113900.0,566739200.0,723071040.0,750129000.0,898109760.0,630712770.0,699256640.0,662597200.0,791077900.0
2045.0,754525100.0,856360260.0,544458100.0,703328200.0,737541250.0,834069060.0,623362600.0,674335000.0,688766660.0,783018100.0
2046.0,721357000.0,834349600.0,523346600.0,697238340.0,725757630.0,793279740.0,603336640.0,650086460.0,717846340.0,772371400.0
2047.0,708379400.0,814154000.0,498120420.0,676719170.0,729285100.0,782139100.0,585630700.0,636212000.0,642563300.0,803159230.0
2048.0,788785700.0,804946200.0,475169280.0,657018700.0,708574850.0,769269000.0,573523260.0,625858750.0,641545660.0,764835600.0
2049.0,710637300.0,789689100.0,457754850.0,643676200.0,696082400.0,793638460.0,562196740.0,625807740.0,670367550.0,757618400.0
2050.0,704041600.0,774641540.0,442015360.0,640589250.0,682156350.0,764905000.0,550075260.0,629089600.0,621991700.0,733989060.0
2051.0,696216200.0,766943100.0,425091500.0,630599800.0,663168900.0,752456500.0,539672700.0,641133440.0,616175800.0,718359100.0
2052.0,678613800.0,760139100.0,416206100.0,682209150.0,658138500.0,724047170.0,531674600.0,606422200.0,609301300.0,711204100.0
2053.0,664393340.0,746654700.0,407268830.0,630050050.0,650104300.0,710382400.0,529913950.0,583338100.0,608231400.0,756586240.0
2054.0,726943040.0,742328060.0,388407200.0,612761700.0,629003000.0,701833500.0,508398370.0,599341700.0,615366900.0,698091500.0
2055.0,677712500.0,770380000.0,383732960.0,603873800.0,608931700.0,692178240.0,500529400.0,567504960.0,601728300.0,696773440.0
2056.0,679013060.0,811639300.0,367967970.0,591688500.0,640046400.0,679537300.0,489204960.0,558024600.0,584521700.0,673773600.0
2057.0,720209150.0,819978750.0,368073180.0,583313900.0,597867970.0,668646500.0,493022300.0,552033150.0,576284600.0,668939300.0
2058.0,717579460.0,874220900.0,355965570.0,701763700.0,588648300.0,656065900.0,481280580.0,547562050.0,568953500.0,672976600.0
2059.0,653539460.0,854393860.0,344123620.0,578117950.0,581333760.0,646890800.0,474790400.0,665336300.0,565181200.0,654993600.0
2060.0,666306900.0,757851200.0,336763870.0,566220500.0,578366900.0,633866900.0,478954020.0,560602200.0,570270660.0,678251500.0
2061.0,712569400.0,740081340.0,328915200.0,558535800.0,568383170.0,620784400.0,463991520.0,550612350.0,617008600.0,632732740.0
2062.0,678704100.0,737960500.0,327197200.0,551772000.0,564165700.0,605044900.0,456209470.0,545502200.0,619954560.0,637064060.0
2063.0,684697660.0,725138400.0,326245470.0,564643600.0,550774140.0,787508600.0,448214400.0,532639840.0,751980200.0,648812400.0
2064.0,647425660.0,719849500.0,315930940.0,543722900.0,544930940.0,620547900.0,455164000.0,613553800.0,641442560.0,618555970.0
2065.0,647901060.0,711805000.0,309466430.0,542716540.0,534153540.0,582578100.0,442870900.0,538987400.0,676353540.0,669843650.0
2066.0,680590850.0,707833700.0,305412300.0,540563300.0,526152740.0,566718700.0,435118560.0,540350460.0,657041540.0,621855550.0
2067.0,651275800.0,703214800.0,293983170.0,572174460.0,520194600.0,560033340.0,496070980.0,643665340.0,696611200.0,595717760.0
2068.0,639673860.0,698874300.0,322984480.0,553401700.0,510807070.0,559981060.0,448739800.0,603940700.0,803491800.0,589402800.0
2069.0,724755400.0,692912300.0,296331780.0,529911740.0,505556900.0,542948900.0,449426500.0,534136030.0,713652160.0,592721150.0
2070.0,692099300.0,684772800.0,317622400.0,539342000.0,513414700.0,535700900.0,428010340.0,526286880.0,660981400.0,682204350.0
2071.0,659757100.0,683420800.0,292319330.0,524680900.0,509719170.0,521536800.0,422068770.0,524664500.0,647265300.0,615581300.0
2072.0,639290500.0,732879800.0,292314500.0,520796300.0,498327740.0,616559600.0,424549500.0,519264670.0,620659200.0,629906500.0
2073.0,649871940.0,692614340.0,285344200.0,621864640.0,497277440.0,515660930.0,415927500.0,520541250.0,618601700.0,625284740.0
2074.0,634887000.0,684055400.0,283458850.0,529699940.0,493858880.0,601890500.0,413647870.0,516741440.0,613365500.0,593753700.0
2075.0,685223740.0,673824000.0,280344200.0,574199500.0,487981300.0,520249760.0,414346980.0,509566750.0,735794940.0,576380100.0
2076.0,650251140.0,680727100.0,275325760.0,516788600.0,484874200.0,677758340.0,412792000.0,506734000.0,605103550.0,571929100.0
2077.0,628115140.0,688304700.0,276586240.0,508661860.0,529358720.0,573317000.0,413757660.0,507193570.0,597710100.0,676274800.0
2078.0,722674240.0,680915840.0,272912670.0,507844540.0,502196130.0,507710940.0,422301200.0,503383680.0,588589700.0,668648900.0
2079.0,648133800.0,672997900.0,268698560.0,506935900.0,522540380.0,499038980.0,406348960.0,504759420.0,589147260.0,708857660.0
2080.0,659826560.0,700675460.0,266933810.0,519504200.0,482390900.0,494456740.0,414525440.0,502343580.0,629841600.0,643526660.0
2081.0,627764800.0,684028000.0,268831870.0,520911940.0,476688160.0,494520400.0,415060580.0,526221200.0,581878600.0,613749600.0
2082.0,624418800.0,676142200.0,263629780.0,502668260.0,478496860.0,487092400.0,406438270.0,505289380.0,576746000.0,733092740.0
2083.0,679768960.0,670996000.0,253777800.0,521795140.0,475130900.0,482245860.0,407035740.0,498005800.0,573734100.0,617640300.0
2084.0,626050100.0,670822600.0,256879710.0,553520600.0,469244350.0,486005150.0,401864800.0,491204670.0,571749000.0,627886300.0
2085.0,656606600.0,660677800.0,251828460.0,594636540.0,469148300.0,483828800.0,397042500.0,487924260.0,565648600.0,619069400.0
2086.0,623354100.0,748252350.0,249975180.0,517865120.0,467258750.0,471410600.0,416006100.0,484070430.0,660766100.0,645845300.0
2087.0,627185200.0,716959600.0,246016180.0,506499940.0,461949760.0,469490370.0,395912480.0,507587680.0,569528260.0,606162800.0
2088.0,696280800.0,658650700.0,243523800.0,571333900.0,457961600.0,470564380.0,391777400.0,494458080.0,563816300.0,600062340.0
2089.0,648082560.0,721713600.0,260722780.0,508727740.0,453260160.0,464179360.0,390795140.0,620185860.0,557629200.0,603745340.0
2090.0,622633300.0,671228900.0,265013140.0,500813440.0,450934400.0,462361100.0,392212500.0,567170600.0,544238850.0,618245100.0
2091.0,619969800.0,730242240.0,240526380.0,541667100.0,450607460.0,459029600.0,548495000.0,527279100.0,542911400.0,686227500.0
2092.0,622233500.0,752762600.0,236222240.0,545057340.0,450384030.0,451028800.0,430852400.0,571678800.0,536515800.0,630095700.0
2093.0,682711550.0,709271500.0,235196080.0,537400640.0,445094600.0,450297000.0,418685300.0,490506460.0,540740300.0,603486700.0
2094.0,622897340.0,669013300.0,229553000.0,518617060.0,443263680.0,472143940.0,513176400.0,493208700.0,663602100.0,592569860.0
2095.0,624355300.0,682545500.0,229041490.0,511143600.0,439192130.0,490056220.0,415590800.0,486988300.0,541668000.0,631566700.0
2096.0,621779900.0,707248900.0,227061800.0,503300500.0,435515840.0,449317280.0,412989020.0,495163040.0,532318980.0,614870600.0
2097.0,617893250.0,690106940.0,338074140.0,503129300.0,431385630.0,443545540.0,401390530.0,489034400.0,535501500.0,600792000.0
2098.0,689031900.0,697618370.0,243360850.0,516396480.0,430828100.0,441718430.0,395892960.0,480857660.0,524794660.0,660382000.0
2099.0,647260800.0,704330900.0,232738450.0,510159870.0,426338430.0,460493570.0,422332480.0,475578700.0,525622370.0,612843650.0
2100.0,621990500.0,727725060.0,231745890.0,511813540.0,438398370.0,442726750.0,414914560.0,469987740.0,515948600.0,898490940.0
