time,MRI-ESM2-0,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0
2001.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0
2002.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0
2003.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0
2004.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0
2005.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0
2006.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0
2007.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0
2008.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0
2009.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0
2010.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0
2011.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0
2012.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0
2013.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0
2014.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0
2015.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0
2016.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0
2017.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0
2018.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0
2019.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0
2020.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0
2021.0,1919096200.0,1914156000.0,1964864900.0,1932653200.0,2122571900.0
2022.0,1879035400.0,1919884300.0,1887034600.0,2007681300.0,2021675400.0
2023.0,1855655400.0,1880762400.0,1881065900.0,1912790400.0,1935295900.0
2024.0,1812918400.0,1845355400.0,1818850800.0,1870512100.0,1903675400.0
2025.0,1771514200.0,1792168400.0,1798573300.0,1857804200.0,1845831000.0
2026.0,1721898600.0,1749649800.0,1772852100.0,1829574900.0,1922246700.0
2027.0,1678994200.0,1674644500.0,1735421200.0,1775426000.0,1807473000.0
2028.0,1624591500.0,1654093200.0,1705582700.0,1753302100.0,1809502700.0
2029.0,1573898200.0,1591914800.0,1685867800.0,1706822900.0,1755086000.0
2030.0,1541888600.0,1512787300.0,1629865500.0,1686589600.0,1741885200.0
2031.0,1428978600.0,1436800900.0,1563979300.0,1786958600.0,1701738800.0
2032.0,1369083800.0,1375487400.0,1674502700.0,1648778900.0,1691369100.0
2033.0,1290793100.0,1303625300.0,1504403600.0,1664427400.0,1656685200.0
2034.0,1253113600.0,1251816300.0,1428410400.0,1634759700.0,1611815800.0
2035.0,1200520000.0,1195972400.0,1382220200.0,1574731400.0,1642017900.0
2036.0,1135857800.0,1108701700.0,1310349600.0,1559890700.0,1559180800.0
2037.0,1051885250.0,1051052300.0,1248290800.0,1516970100.0,1654435000.0
2038.0,991897000.0,989977860.0,1218687200.0,1479264900.0,1511418900.0
2039.0,922755200.0,947985300.0,1153925900.0,1451110100.0,1468933100.0
2040.0,875928060.0,877090050.0,1110512100.0,1453363100.0,1496233900.0
2041.0,841240500.0,806269440.0,1065712960.0,1400312800.0,1413032100.0
2042.0,794238500.0,747645400.0,1013412500.0,1378401900.0,1364397600.0
2043.0,758528100.0,680155400.0,993433000.0,1405523800.0,1349050400.0
2044.0,743106200.0,617449860.0,914909950.0,1337804300.0,1323077100.0
2045.0,690597440.0,559275000.0,853409700.0,1306020100.0,1285697700.0
2046.0,666873300.0,511186780.0,777987600.0,1280185600.0,1276558800.0
2047.0,618830600.0,473267600.0,726876800.0,1237936300.0,1252493200.0
2048.0,598805440.0,434221800.0,686578240.0,1215433200.0,1222716800.0
2049.0,571332000.0,415627170.0,644599200.0,1184329200.0,1186747800.0
2050.0,537322240.0,366082900.0,612715200.0,1161348200.0,1166099600.0
2051.0,510041400.0,318172640.0,580321500.0,1136848300.0,1138899600.0
2052.0,488156640.0,272961340.0,548425660.0,1101437600.0,1099528000.0
2053.0,477220350.0,257677870.0,510587780.0,1093911300.0,1039718140.0
2054.0,457757500.0,208390930.0,477522900.0,1056106050.0,991757060.0
2055.0,428353600.0,179526880.0,444959940.0,1022987600.0,950110460.0
2056.0,408113500.0,157544260.0,416005200.0,989422100.0,952233800.0
2057.0,388953920.0,141218030.0,380630700.0,961079400.0,912179700.0
2058.0,394988640.0,127592900.0,353557860.0,923683400.0,877894660.0
2059.0,364219070.0,116891896.0,328523840.0,892239100.0,847137200.0
2060.0,355960830.0,100024190.0,291994600.0,853429500.0,834763650.0
2061.0,346844580.0,85677660.0,268230640.0,852419300.0,814308030.0
2062.0,334516130.0,71418760.0,247510580.0,819594100.0,795601700.0
2063.0,321988960.0,65893130.0,222831310.0,767338750.0,750521900.0
2064.0,310560060.0,52450756.0,200897000.0,746941950.0,718949250.0
2065.0,297926430.0,48651056.0,186795680.0,718175000.0,686548700.0
2066.0,284397920.0,43266610.0,170414740.0,674986560.0,644141200.0
2067.0,276193900.0,38874340.0,159805650.0,648088450.0,603517060.0
2068.0,262209700.0,36846852.0,152150940.0,604495800.0,581442940.0
2069.0,255389800.0,33896680.0,132231140.0,576524200.0,569542700.0
2070.0,249591660.0,31767566.0,116468870.0,541096770.0,546379000.0
2071.0,241174770.0,31178868.0,110579300.0,523355400.0,515055900.0
2072.0,231861860.0,27796954.0,101586560.0,500811070.0,493529340.0
2073.0,228063710.0,25667210.0,83928790.0,478911800.0,465579800.0
2074.0,212429360.0,23002296.0,73534570.0,445435650.0,445214980.0
2075.0,205429500.0,20887192.0,66937332.0,420082780.0,413112320.0
2076.0,195934900.0,19601662.0,65549704.0,400083360.0,390130980.0
2077.0,192452200.0,16010773.0,62368070.0,379569150.0,375421100.0
2078.0,186176530.0,15789109.0,58067444.0,361565000.0,356651800.0
2079.0,181772830.0,14466440.0,55137036.0,337126200.0,348601300.0
2080.0,186996480.0,11778297.0,49426680.0,323990500.0,332048030.0
2081.0,173913800.0,11717186.0,44723764.0,307404930.0,341637340.0
2082.0,159368020.0,11347880.0,38848284.0,290075170.0,315246980.0
2083.0,150050190.0,10211337.0,37502988.0,282526940.0,302364900.0
2084.0,138050610.0,9267730.0,34540376.0,272547840.0,289670880.0
2085.0,132342640.0,8882007.0,31656750.0,253874480.0,262929600.0
2086.0,122646790.0,8739361.0,29686370.0,244534530.0,248270060.0
2087.0,117105210.0,7571445.0,29155206.0,231094720.0,235426300.0
2088.0,111368510.0,7171266.0,27244984.0,221059020.0,218380100.0
2089.0,109268900.0,6200484.5,23871326.0,212014300.0,200672220.0
2090.0,105467944.0,5585676.0,22746632.0,194714530.0,185853760.0
2091.0,93022500.0,4905797.0,19792478.0,185937340.0,178536400.0
2092.0,91117970.0,4614998.0,18829398.0,179970940.0,164529890.0
2093.0,87832110.0,4092648.5,16109564.0,188931180.0,148340670.0
2094.0,86948420.0,4029114.5,14504600.0,175046740.0,138656290.0
2095.0,78339960.0,3968478.5,13374572.0,164905200.0,124352650.0
2096.0,72949496.0,3955799.2,11306975.0,157684130.0,111917630.0
2097.0,71974680.0,3848553.8,10940864.0,144679060.0,96344570.0
2098.0,65197560.0,3508605.8,10329372.0,142114350.0,93525430.0
2099.0,64176656.0,3496893.2,10132660.0,133661016.0,88552700.0
2100.0,59881510.0,3162236.2,9361781.0,129595760.0,76497520.0
