time,MRI-ESM2-0,CANESM5,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR
2000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0
2001.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0
2002.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0
2003.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0
2004.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0
2005.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0
2006.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0
2007.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0
2008.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0
2009.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0
2010.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0
2011.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0
2012.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0
2013.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0
2014.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0
2015.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0
2016.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0
2017.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0
2018.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0
2019.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0
2020.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0
2021.0,33925845000.0,33915218000.0,33921268000.0,33892481000.0,33939460000.0
2022.0,33913313000.0,33881645000.0,33973465000.0,33846931000.0,33954228000.0
2023.0,33889004000.0,33829392000.0,33896065000.0,33792213000.0,34035177000.0
2024.0,33836700000.0,33769351000.0,33909492000.0,33737482000.0,33988151000.0
2025.0,33809062000.0,33667662000.0,33885990000.0,33666933000.0,34029656000.0
2026.0,33777078000.0,33528222000.0,33929191000.0,33585717000.0,34191192000.0
2027.0,33742895000.0,33338845000.0,33979277000.0,33479563000.0,33927492000.0
2028.0,33681938000.0,33175840000.0,33866744000.0,33283912000.0,33898250000.0
2029.0,33634370000.0,32948267000.0,33852955000.0,33073439000.0,33884410000.0
2030.0,33572426000.0,32749482000.0,33812820000.0,32844460000.0,33840353000.0
2031.0,33523853000.0,32436978000.0,33778596000.0,32625523000.0,33807743000.0
2032.0,33469450000.0,32209338000.0,33765288000.0,32302086000.0,33785480000.0
2033.0,33384108000.0,31931068000.0,33775596000.0,31982664000.0,33768063000.0
2034.0,33314947000.0,31590259000.0,33726288000.0,31619963000.0,33799948000.0
2035.0,33178096000.0,31193854000.0,33707956000.0,31303815000.0,33705425000.0
2036.0,33054575000.0,30822700000.0,33690100000.0,30962320000.0,33680632000.0
2037.0,32938740000.0,30287059000.0,33651143000.0,30527950000.0,33655091000.0
