time,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL,IPSL-CM6A-LR
2045.0,32569747000.0,33117470000.0,25746616000.0,32577094000.0
2046.0,32528950000.0,33062828000.0,25400416000.0,32427831000.0
2047.0,32402227000.0,33030547000.0,24934621000.0,32334905000.0
2048.0,32197646000.0,32981156000.0,24476041000.0,32194064000.0
2049.0,32110590000.0,32960307000.0,24044000000.0,32079766000.0
2050.0,31946713000.0,32876153000.0,23568452000.0,31844890000.0
2051.0,31833480000.0,32850643000.0,23011502000.0,31785886000.0
2052.0,31739843000.0,32763986000.0,22742671000.0,31644262000.0
2053.0,31656210000.0,32720986000.0,22168134000.0,31530174000.0
2054.0,31528160000.0,32638646000.0,21485914000.0,31367672000.0
2055.0,31341677000.0,32577595000.0,20944888000.0,31171815000.0
2056.0,31168043000.0,32493357000.0,20429201000.0,31092110000.0
2057.0,31051538000.0,32565924000.0,19828350000.0,31098604000.0
2058.0,30855447000.0,32475716000.0,19196020000.0,30806909000.0
2059.0,30695540000.0,32361744000.0,18707194000.0,30766980000.0
2060.0,30439184000.0,32427313000.0,18081240000.0,30635020000.0
2061.0,30247240000.0,32298877000.0,17387868000.0,30586853000.0
2062.0,30020868000.0,32230556000.0,16742392000.0,30531375000.0
2063.0,29779036000.0,32143837000.0,16120869000.0,30643145000.0
2064.0,29507725000.0,32142887000.0,15497872000.0,30370916000.0
2065.0,29312205000.0,32081095000.0,14902551000.0,30093875000.0
2066.0,29032067000.0,32004647000.0,14510644000.0,29945584000.0
2067.0,29270410000.0,31970181000.0,13820633000.0,29718310000.0
2068.0,28697588000.0,31892370000.0,13147094000.0,29581617000.0
2069.0,28538022000.0,31767054000.0,12733507000.0,29546445000.0
2070.0,28279362000.0,31797113000.0,12337389000.0,29511143000.0
2071.0,28045435000.0,31660184000.0,11897555000.0,29342425000.0
2072.0,27862921000.0,31584970000.0,11321158000.0,29192444000.0
2073.0,27631344000.0,31502774000.0,10973623000.0,29111670000.0
2074.0,27448710000.0,31456647000.0,10685472000.0,28924360000.0
2075.0,27173261000.0,31389905000.0,10302037000.0,28779735000.0
2076.0,26913843000.0,31347230000.0,9943240000.0,28570235000.0
2077.0,26709360000.0,31244315000.0,9356359000.0,28376832000.0
2078.0,26408550000.0,31159015000.0,9006386000.0,28213560000.0
2079.0,26081505000.0,31483420000.0,8641553000.0,28085610000.0
2080.0,25855943000.0,31112008000.0,8108406000.0,27941110000.0
2081.0,25688214000.0,31057678000.0,7666689000.0,27812264000.0
2082.0,25523614000.0,30965557000.0,7286873600.0,27594160000.0
2083.0,25267995000.0,30908050000.0,6973090000.0,27440919000.0
2084.0,25136718000.0,30830924000.0,6572286000.0,27531303000.0
2085.0,26216342000.0,30812338000.0,6225554400.0,27272559000.0
2086.0,24799820000.0,30701030000.0,5812360000.0,27137452000.0
2087.0,24722889000.0,30660820000.0,5522255000.0,26907711000.0
2088.0,24556591000.0,30937518000.0,5260198000.0,27343675000.0
2089.0,24952780000.0,30517563000.0,4939968000.0,26836670000.0
2090.0,24297914000.0,30590124000.0,4664550400.0,26591180000.0
2091.0,24357181000.0,30424033000.0,4434171000.0,26486985000.0
2092.0,24265163000.0,30341104000.0,4111654400.0,26272594000.0
2093.0,23965233000.0,30275041000.0,3819028200.0,26130862000.0
2094.0,23782783000.0,30231763000.0,3563123200.0,26254742000.0
2095.0,23532216000.0,30159060000.0,3301735000.0,25906438000.0
2096.0,23673176000.0,30096626000.0,3084886000.0,25735647000.0
2097.0,23397556000.0,30033256000.0,2934692000.0,26043535000.0
2098.0,23018496000.0,30011486000.0,2755469000.0,25809551000.0
2099.0,22862535000.0,29891308000.0,2567822000.0,25373518000.0
2100.0,22645991000.0,29822060000.0,2370087400.0,25197756000.0
