time,CCSM4,IPSL-CM5A-LR,CSIRO-MK3-6-0,MPI-ESM-LR,NORESM1-M,CANESM2,CNRM-CM5,GISS-E2-R,GFDL-CM3,GFDL-ESM2G
2000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0
2001.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0
2002.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0
2003.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0
2004.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0
2005.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0
2006.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0
2007.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0
2008.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0
2009.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0
2010.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0
2011.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0
2012.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0
2013.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0
2014.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0
2015.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0
2016.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0
2017.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0
2018.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0
2019.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0
2020.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0
2021.0,134537400000.0,134398080000.0,134628480000.0,134535274000.0,134716310000.0,134985420000.0,135426040000.0,134673730000.0,134500590000.0,135768570000.0
2022.0,134447260000.0,134472690000.0,134547570000.0,134668700000.0,134428530000.0,134546660000.0,135248500000.0,134501320000.0,134637790000.0,135333134000.0
2023.0,134371450000.0,134808580000.0,134268790000.0,134440270000.0,134177640000.0,134612580000.0,134727475000.0,134462280000.0,134779765000.0,135151970000.0
2024.0,134097480000.0,134710870000.0,133906640000.0,135044660000.0,134239510000.0,134204220000.0,134851530000.0,134246250000.0,138862760000.0,134803505000.0
2025.0,134543606000.0,134589440000.0,133802940000.0,134394140000.0,133911320000.0,134115310000.0,134541720000.0,134408490000.0,138857140000.0,134590430000.0
2026.0,133791820000.0,134209720000.0,134005030000.0,134181410000.0,133871970000.0,134042950000.0,134446450000.0,134535455000.0,138084600000.0,134175150000.0
2027.0,133878290000.0,134397180000.0,133446430000.0,133958170000.0,133741440000.0,134476600000.0,134214530000.0,133992300000.0,137920090000.0,134097160000.0
2028.0,133637750000.0,134330010000.0,133675140000.0,134831620000.0,133735610000.0,133741890000.0,134303920000.0,133924980000.0,135554320000.0,134145210000.0
2029.0,133608900000.0,134320410000.0,133731160000.0,134154470000.0,133569900000.0,133744180000.0,133725830000.0,133723900000.0,135639080000.0,133979980000.0
2030.0,133536520000.0,134105350000.0,133476680000.0,133956200000.0,133406310000.0,134543430000.0,133389400000.0,133591880000.0,134780480000.0,134296640000.0
2031.0,133092490000.0,133659460000.0,133563940000.0,133784895000.0,133448730000.0,133632524000.0,133102690000.0,133770500000.0,134489410000.0,134102410000.0
2032.0,133138390000.0,134094810000.0,133320660000.0,133277024000.0,133414216000.0,133354890000.0,133236875000.0,133468080000.0,134096540000.0,134466860000.0
2033.0,133002360000.0,134185790000.0,133002100000.0,133453920000.0,133291880000.0,133272370000.0,133012040000.0,133218345000.0,135120370000.0,133672410000.0
2034.0,132884700000.0,133305655000.0,132959960000.0,133213910000.0,133185470000.0,133031354000.0,132923240000.0,133535834000.0,134638780000.0,133493040000.0
2035.0,132822970000.0,133323890000.0,132535165000.0,133081820000.0,133478340000.0,133280420000.0,133203070000.0,133047370000.0,134306090000.0,133264400000.0
2036.0,132522290000.0,133312700000.0,132511700000.0,133090810000.0,133243330000.0,132956730000.0,132809155000.0,133029130000.0,134236820000.0,133206974000.0
2037.0,132540650000.0,133046090000.0,132619895000.0,133026530000.0,133113725000.0,132912730000.0,132615440000.0,133478360000.0,134135240000.0,133094375000.0
2038.0,132379580000.0,132997490000.0,132085700000.0,132765300000.0,132985860000.0,132802460000.0,132382160000.0,133519940000.0,134258794000.0,133179810000.0
2039.0,132138980000.0,132913100000.0,131902430000.0,132926170000.0,132674480000.0,132788080000.0,132842594000.0,133079420000.0,134428690000.0,133031460000.0
2040.0,132093160000.0,133340370000.0,131781770000.0,132678210000.0,132764630000.0,132548910000.0,132317920000.0,133046125000.0,133788160000.0,133095420000.0
2041.0,131749340000.0,133857240000.0,131630060000.0,132538810000.0,132571500000.0,132395550000.0,132005690000.0,132690270000.0,133925765000.0,133070954000.0
2042.0,131630880000.0,133355995000.0,131395780000.0,132443130000.0,133262610000.0,132208680000.0,131652300000.0,132662420000.0,133781316000.0,132776165000.0
2043.0,131456240000.0,132883780000.0,131355290000.0,132257180000.0,132324100000.0,132103740000.0,131353420000.0,132767120000.0,133815050000.0,132688945000.0
