time,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0
2000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0
2001.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0
2002.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0
2003.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0
2004.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0
2005.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0
2006.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0
2007.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0
2008.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0
2009.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0
2010.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0
2011.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0
2012.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0
2013.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0
2014.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0
2015.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0
2016.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0
2017.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0
2018.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0
2019.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0
2020.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0
2021.0,85026030000.0,86104285000.0,85371590000.0,85077680000.0,85726470000.0
2022.0,85225460000.0,87881875000.0,84945400000.0,84822730000.0,85249080000.0
2023.0,84901700000.0,86474570000.0,84642760000.0,84490560000.0,84919500000.0
2024.0,84833650000.0,86287340000.0,84304740000.0,84413720000.0,84584960000.0
2025.0,84487300000.0,85302670000.0,83699110000.0,84083030000.0,84172554000.0
2026.0,83801070000.0,84938790000.0,83404290000.0,83625240000.0,83733990000.0
2027.0,83051680000.0,84571490000.0,82670260000.0,83306310000.0,83187190000.0
2028.0,82556080000.0,84282350000.0,82109540000.0,82937130000.0,82558740000.0
2029.0,82579310000.0,84389010000.0,81611014000.0,82645120000.0,82107400000.0
2030.0,81662770000.0,84165190000.0,81071130000.0,82073550000.0,81675720000.0
2031.0,81737690000.0,83566170000.0,80425840000.0,81814670000.0,81058820000.0
2032.0,85937890000.0,83156960000.0,79333490000.0,81366780000.0,80368860000.0
2033.0,81590660000.0,82781830000.0,78415470000.0,80825380000.0,80340040000.0
2034.0,80800420000.0,82276670000.0,77969056000.0,80685520000.0,79465070000.0
2035.0,80850936000.0,82725820000.0,77440475000.0,80906764000.0,78955930000.0
2036.0,79789680000.0,82046970000.0,76174655000.0,79806390000.0,78497220000.0
2037.0,79139080000.0,81562480000.0,75289670000.0,79385215000.0,77718580000.0
2038.0,78485430000.0,81221580000.0,74546750000.0,78641000000.0,77153260000.0
2039.0,77607290000.0,81002930000.0,73532110000.0,78251740000.0,76980070000.0
2040.0,77055100000.0,80671220000.0,72759845000.0,77621240000.0,76214520000.0
2041.0,76204660000.0,80179010000.0,71892720000.0,77316645000.0,75394840000.0
2042.0,75561770000.0,80192540000.0,70857380000.0,76794230000.0,74521990000.0
2043.0,76076300000.0,79449730000.0,69958920000.0,76239760000.0,73935470000.0
2044.0,74615955000.0,79136710000.0,68994420000.0,75776930000.0,75212630000.0
2045.0,74004600000.0,78932950000.0,67699750000.0,75593510000.0,73378054000.0
2046.0,73302860000.0,78603080000.0,66742026000.0,74622755000.0,73108750000.0
2047.0,72138646000.0,77993480000.0,65741960000.0,74426460000.0,72154640000.0
2048.0,71755410000.0,77713924000.0,64740356000.0,73810820000.0,71497744000.0
2049.0,70643515000.0,77437370000.0,63686050000.0,73547014000.0,71665660000.0
2050.0,69433290000.0,76811940000.0,62682250000.0,74357650000.0,70611700000.0
2051.0,68530690000.0,76384320000.0,61537270000.0,73241350000.0,69856120000.0
2052.0,67748635000.0,75961385000.0,60647563000.0,72689074000.0,68922290000.0
2053.0,66740507000.0,75519580000.0,59492750000.0,72080930000.0,68163654000.0
2054.0,66177438000.0,75497030000.0,58545420000.0,71213710000.0,67548172000.0
2055.0,65379700000.0,74646640000.0,57522577000.0,70823360000.0,66940543000.0
2056.0,64094675000.0,73941460000.0,56844382000.0,70325980000.0,66834928000.0
2057.0,63488920000.0,73481404000.0,55926104000.0,70086975000.0,65955766000.0
2058.0,62738895000.0,72682030000.0,54934704000.0,69575530000.0,65115468000.0
2059.0,62009110000.0,71881600000.0,53584056000.0,68963705000.0,64353448000.0
2060.0,61616386000.0,71276950000.0,52618340000.0,69179410000.0,64414680000.0
2061.0,60280650000.0,70747630000.0,51704430000.0,68285817000.0,63644262000.0
