time,CSIRO-MK3-6-0,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R,CCSM4,GFDL-ESM2G,CESM1-CAM5,NORESM1-M
2000.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0
2001.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0
2002.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0
2003.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0
2004.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0
2005.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0
2006.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0
2007.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0
2008.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0
2009.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0
2010.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0
2011.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0
2012.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0
2013.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0
2014.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0
2015.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0
2016.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0
2017.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0
2018.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0
2019.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0
2020.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0
2021.0,1094743800.0,1096080800.0,1091020400.0,1086393900.0,1111468400.0,1114041300.0,1090507800.0,1093823200.0
2022.0,1175875300.0,1087036400.0,1079236200.0,1089612000.0,1116620000.0,1111291500.0,1074775300.0,1100348700.0
2023.0,1119022600.0,1079232900.0,1084638200.0,1071392700.0,1099410400.0,1094854000.0,1062335800.0,1097041400.0
2024.0,1095807400.0,1059558100.0,1062573440.0,1082996000.0,1080903600.0,1086310500.0,1058250560.0,1079792300.0
2025.0,1088321000.0,1066540200.0,1056395840.0,1064454700.0,1069778800.0,1141673600.0,1049328000.0,1067685300.0
2026.0,1176714800.0,1058289600.0,1050650430.0,1049835840.0,1057156160.0,1101766700.0,1033115650.0,1056003840.0
2027.0,1103174900.0,1050367800.0,1037940540.0,1035169540.0,1046932030.0,1083273900.0,1066618500.0,1044370100.0
2028.0,1070275600.0,1044799800.0,1017156600.0,1029694500.0,1039849200.0,1075679600.0,1032473900.0,1029198340.0
2029.0,1054980030.0,1028034700.0,1003184640.0,1015460540.0,1028325100.0,1110095900.0,1013867200.0,1024471600.0
2030.0,1040825000.0,1022533700.0,996305600.0,1001660900.0,1016828540.0,1074620200.0,1006484740.0,1027930750.0
