time,CSIRO-MK3-6-0,CCSM4,MPI-ESM-LR
2133.0,8193386.5,21984966.0,12502130.0
2134.0,8033520.0,21198232.0,9390804.0
2135.0,7752256.5,20834096.0,8011067.0
2136.0,7221221.0,22585538.0,6853394.5
2137.0,6470734.5,21981064.0,6475287.5
2138.0,6216102.5,20250816.0,6153272.5
2139.0,5712987.5,19510034.0,5561396.5
2140.0,5473595.5,19502020.0,5269430.0
2141.0,5207091.0,18994122.0,5222209.0
2142.0,4934136.5,18933748.0,5346254.5
2143.0,4305987.0,18701386.0,4885321.5
2144.0,3872056.5,17320092.0,4716082.0
2145.0,3607462.0,15346023.0,4302111.0
2146.0,3392628.5,15025248.0,4252023.5
2147.0,3171183.0,14723882.0,3973997.5
2148.0,2475131.0,13981437.0,3721589.8
2149.0,2266297.5,12758664.0,3839908.0
2150.0,1873004.1,12708739.0,3504438.0
2151.0,1454286.8,11693971.0,3157451.0
2152.0,1199949.8,11639253.0,2865916.0
2153.0,1007252.4,11344016.0,2914889.5
2154.0,669284.0,10640550.0,2973320.8
2155.0,596522.6,10425700.0,2706054.5
2156.0,531490.4,9643021.0,2704476.0
2157.0,673529.5,9405924.0,2139109.2
2158.0,471249.66,9059252.0,2294373.8
2159.0,470811.22,8856887.0,1843783.1
2160.0,336690.2,8276444.5,1769297.5
2161.0,292033.28,8361069.0,1441633.5
2162.0,231202.69,8075060.0,1288994.0
2163.0,229530.44,7423481.0,1141021.2
2164.0,227105.66,7841398.5,986053.94
2165.0,213807.44,7300058.5,757030.56
2166.0,212579.25,6940081.5,750073.75
2167.0,210244.06,6510051.5,744228.06
2168.0,167894.7,6273172.0,538084.06
2169.0,113061.4,6294508.5,705418.94
2170.0,111051.125,6036212.0,470122.1
2171.0,62777.836,6820935.0,339478.44
2172.0,61938.25,5941349.5,301470.8
2173.0,61167.59,5779744.0,499401.03
2174.0,59958.156,6340845.0,294599.03
2175.0,59272.54,5644210.0,226366.31
2176.0,58362.72,5639608.5,215205.34
2177.0,34523.92,5617835.0,212035.34
2178.0,34523.92,5148326.0,208682.34
2179.0,34523.92,5211525.5,116085.3
2180.0,34523.92,5148232.0,114984.06
2181.0,34523.92,4921316.0,113575.5
2182.0,25044.385,5032452.0,112546.15
2183.0,25044.385,4738967.5,111766.805
2184.0,0.0,4633911.0,110487.914
2185.0,0.0,4446656.0,99782.97
2186.0,0.0,4334399.0,62742.03
2187.0,0.0,4123072.0,62123.547
2188.0,0.0,3963479.5,61467.15
2189.0,0.0,3974823.0,60802.277
2190.0,0.0,3833050.0,60428.215
2191.0,0.0,3787072.0,60155.215
2192.0,0.0,3480782.5,59204.75
2193.0,0.0,3185581.0,108178.31
2194.0,0.0,3136671.2,58859.22
2195.0,0.0,2918105.8,58178.582
2196.0,0.0,2757485.0,34523.92
2197.0,0.0,2866593.0,34523.92
2198.0,0.0,2839247.5,34523.92
2199.0,0.0,2646648.0,34523.92
2200.0,0.0,2594053.8,34523.92
2201.0,0.0,2402132.8,34523.92
2202.0,0.0,2182193.0,34523.92
2203.0,0.0,2076261.0,34523.92
2204.0,0.0,1871513.9,34523.92
2205.0,0.0,2011705.9,25044.385
2206.0,0.0,2791022.0,25044.385
2207.0,0.0,1887446.0,25044.385
2208.0,0.0,1411858.8,0.0
2209.0,0.0,1408083.8,0.0
2210.0,0.0,1403815.2,0.0
2211.0,0.0,1517465.9,0.0
2212.0,0.0,1094996.2,0.0
2213.0,0.0,1073378.6,0.0
2214.0,0.0,984037.1,0.0
2215.0,0.0,905146.9,0.0
2216.0,0.0,896495.8,25271.498
2217.0,0.0,971623.5,0.0
2218.0,0.0,947296.5,0.0
2219.0,0.0,862690.06,0.0
2220.0,0.0,857613.25,0.0
2221.0,0.0,809468.9,0.0
2222.0,0.0,673779.9,0.0
2223.0,0.0,591283.6,0.0
2224.0,0.0,569092.56,0.0
2225.0,0.0,527593.25,0.0
2226.0,0.0,623783.2,0.0
2227.0,0.0,704064.3,0.0
2228.0,0.0,337781.06,0.0
2229.0,0.0,319806.28,0.0
2230.0,0.0,319533.25,0.0
2231.0,0.0,318231.2,0.0
2232.0,0.0,312890.38,0.0
2233.0,0.0,1249129.8,0.0
2234.0,0.0,301897.16,0.0
2235.0,0.0,299055.1,0.0
2236.0,0.0,1415978.9,0.0
2237.0,0.0,297105.0,0.0
2238.0,0.0,296636.38,0.0
2239.0,0.0,292585.7,0.0
2240.0,0.0,370043.4,0.0
2241.0,0.0,291523.2,0.0
2242.0,0.0,290675.44,0.0
2243.0,0.0,288067.06,0.0
2244.0,0.0,241871.34,0.0
2245.0,0.0,215419.17,0.0
2246.0,0.0,163808.98,0.0
2247.0,0.0,163443.39,0.0
2248.0,0.0,161154.88,0.0
2249.0,0.0,241340.9,0.0
2250.0,0.0,559964.4,0.0
2251.0,0.0,159874.78,0.0
2252.0,0.0,146429.33,0.0
2253.0,0.0,1505259.8,0.0
2254.0,0.0,336805.56,0.0
2255.0,0.0,146375.14,0.0
2256.0,0.0,293626.44,0.0
2257.0,0.0,145345.67,0.0
2258.0,0.0,105140.266,0.0
2259.0,0.0,104326.8,0.0
2260.0,0.0,1454442.5,0.0
2261.0,0.0,129351.66,0.0
2262.0,0.0,103457.734,0.0
2263.0,0.0,103438.83,0.0
2264.0,0.0,128089.234,0.0
2265.0,0.0,102551.3,0.0
2266.0,0.0,101707.87,0.0
2267.0,0.0,119750.73,0.0
2268.0,0.0,101283.875,0.0
2269.0,0.0,100739.7,0.0
2270.0,0.0,99711.055,0.0
2271.0,0.0,62635.867,0.0
2272.0,0.0,62480.773,0.0
2273.0,0.0,62415.953,0.0
2274.0,0.0,98827.32,0.0
2275.0,0.0,87623.336,0.0
2276.0,0.0,62058.062,0.0
2277.0,0.0,61962.406,0.0
2278.0,0.0,61901.098,0.0
2279.0,0.0,202153.16,0.0
2280.0,0.0,87039.766,0.0
2281.0,0.0,214985.31,0.0
2282.0,0.0,86977.53,0.0
2283.0,0.0,98120.45,0.0
2284.0,0.0,61431.59,0.0
2285.0,0.0,61108.496,0.0
2286.0,0.0,61038.223,0.0
2287.0,0.0,258465.38,0.0
2288.0,0.0,61070.125,0.0
2289.0,0.0,60977.234,0.0
2290.0,0.0,60813.19,0.0
2291.0,0.0,60720.26,0.0
2292.0,0.0,60287.42,0.0
2293.0,0.0,59942.496,0.0
2294.0,0.0,1042645.8,0.0
2295.0,0.0,96479.484,0.0
2296.0,0.0,96383.9,0.0
2297.0,0.0,213348.72,0.0
2298.0,0.0,1707405.6,0.0
2299.0,0.0,289436.3,0.0
2300.0,0.0,234939.86,0.0
