time,CNRM-CM6-1,EC-EARTH3,CESM2-WACCM,IPSL-CM6A-LR,TAIESM1,GFDL-ESM4,CANESM5,MIROC6,UKESM1-0-LL,CNRM-ESM2-1,MPI-ESM1-2-HR,KACE-1-0-G,MRI-ESM2-0
2064.0,299667850000.0,126049600000.0,124975750000.0,124875375000.0,67833848000.0,287135270000.0,83510550000.0,239058730000.0,31372890000.0,304030350000.0,292812600000.0,27054131000.0,189849630000.0
2065.0,274727290000.0,115697510000.0,115388780000.0,114052620000.0,61295264000.0,272846770000.0,76485075000.0,222467820000.0,26972152000.0,286078000000.0,280973840000.0,24794307000.0,182473950000.0
2066.0,264969000000.0,108688940000.0,108497310000.0,105651400000.0,56099463000.0,263437390000.0,69337320000.0,210534040000.0,21740575000.0,271788950000.0,272748480000.0,21353662000.0,174382580000.0
2067.0,251804530000.0,96177560000.0,100631350000.0,98179465000.0,48759665000.0,258164150000.0,61524730000.0,206228880000.0,18847281000.0,262849130000.0,266127430000.0,18713217000.0,168672500000.0
2068.0,239984720000.0,88004810000.0,91314560000.0,90512150000.0,42648076000.0,249385290000.0,53317350000.0,197234300000.0,15458100000.0,251483010000.0,245615940000.0,16577723000.0,163734420000.0
2069.0,232272670000.0,80981120000.0,85549300000.0,84510440000.0,36333810000.0,240627710000.0,46323745000.0,191785290000.0,12355165000.0,240747300000.0,239601240000.0,14944970000.0,157352890000.0
2070.0,227536080000.0,71228660000.0,76422440000.0,78807650000.0,30285906000.0,232803660000.0,41346870000.0,177467200000.0,9528174000.0,233566320000.0,233517250000.0,12164063000.0,149446000000.0
2071.0,223739690000.0,64648884000.0,68951330000.0,75020940000.0,25549464000.0,225400050000.0,37397420000.0,167677150000.0,7419947500.0,220959770000.0,227090090000.0,10579644000.0,142149650000.0
2072.0,212898380000.0,59695470000.0,61543064000.0,67360272000.0,21713134000.0,221835590000.0,33361700000.0,166492060000.0,5872554500.0,213450400000.0,222348200000.0,8805445000.0,132671635000.0
2073.0,207673920000.0,58000240000.0,54574002000.0,60274170000.0,18502998000.0,210067300000.0,30179320000.0,160191680000.0,4645963300.0,203169550000.0,212368060000.0,7894330000.0,125741646000.0
