time,CNRM-ESM2-1,UKESM1-0-LL,MRI-ESM2-0,IITM-ESM,KACE-1-0-G,MPI-ESM1-2-HR,MIROC6,CANESM5,GFDL-ESM4,EC-EARTH3,CNRM-CM6-1,TAIESM1,IPSL-CM6A-LR,CESM2-WACCM
2000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0
2001.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0
2002.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0
2003.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0
2004.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0
2005.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0
2006.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0
2007.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0
2008.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0
2009.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0
2010.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0
2011.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0
2012.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0
2013.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0
2014.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0
2015.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0
2016.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0
2017.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0
2018.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0
2019.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0
2020.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0
2021.0,844608240000.0,826085000000.0,826066140000.0,821478950000.0,789437150000.0,834750900000.0,821839270000.0,828749100000.0,816573100000.0,832097000000.0,833698700000.0,820519240000.0,826822100000.0,843132000000.0
2022.0,831979800000.0,780647900000.0,804469600000.0,807866500000.0,771030840000.0,808248150000.0,811340000000.0,792746100000.0,802723300000.0,789856060000.0,841156460000.0,793843660000.0,812188700000.0,811232850000.0
2023.0,811260840000.0,737148900000.0,798059860000.0,808652900000.0,708567100000.0,805925550000.0,804776400000.0,756154000000.0,796267100000.0,783625600000.0,832184060000.0,776406960000.0,794907400000.0,782474300000.0
2024.0,794079500000.0,720595700000.0,783267300000.0,807995000000.0,671499750000.0,787872300000.0,792271060000.0,727182400000.0,794404000000.0,767981600000.0,806602740000.0,760206200000.0,775795000000.0,755762200000.0
2025.0,787288000000.0,702929200000.0,762251800000.0,807271600000.0,646486200000.0,778288200000.0,759397300000.0,693190660000.0,797490000000.0,758058650000.0,786487800000.0,724745500000.0,747626700000.0,713896100000.0
2026.0,770698900000.0,674208800000.0,750325470000.0,812805700000.0,618226700000.0,765542200000.0,718653750000.0,673770440000.0,776367500000.0,731111300000.0,773998400000.0,703171260000.0,729528660000.0,680328700000.0
2027.0,757901300000.0,646453900000.0,734510650000.0,785602600000.0,582000440000.0,749427600000.0,708629500000.0,649468800000.0,755373700000.0,709247900000.0,755104000000.0,665248400000.0,727047500000.0,663523160000.0
2028.0,733842050000.0,602225900000.0,712670250000.0,765012000000.0,535418300000.0,740219700000.0,713329540000.0,624031800000.0,747129540000.0,689427900000.0,734078200000.0,654773100000.0,721277700000.0,619849250000.0
2029.0,717513300000.0,561996700000.0,697308150000.0,758986960000.0,500377780000.0,714981900000.0,703292400000.0,615210900000.0,726399060000.0,666884300000.0,714577540000.0,617131000000.0,694265400000.0,591132030000.0
2030.0,712842100000.0,538483500000.0,668805500000.0,732509700000.0,485726100000.0,691839960000.0,690131960000.0,591552400000.0,709734500000.0,652379500000.0,712631700000.0,597319550000.0,684737950000.0,561551250000.0
2031.0,701732800000.0,516783930000.0,652433160000.0,745242950000.0,449386770000.0,690649600000.0,647485850000.0,567605400000.0,689188040000.0,642630160000.0,706801400000.0,573088700000.0,681657600000.0,545606800000.0
2032.0,692572260000.0,502698500000.0,626856800000.0,749562560000.0,409992200000.0,696384750000.0,637775050000.0,547211740000.0,671958240000.0,621243860000.0,701008700000.0,541071300000.0,655500200000.0,538865730000.0
2033.0,675344400000.0,473919160000.0,605860600000.0,738963750000.0,382402070000.0,679118200000.0,632784700000.0,522724800000.0,649499840000.0,601166400000.0,673927300000.0,514841700000.0,621431200000.0,509363450000.0
2034.0,673360450000.0,451886350000.0,584918960000.0,724863160000.0,366810860000.0,667653900000.0,625437970000.0,505867040000.0,633552040000.0,585014840000.0,647032500000.0,485222450000.0,592573560000.0,483285570000.0
2035.0,655754000000.0,430899130000.0,544132920000.0,731283650000.0,340752140000.0,666379400000.0,612437460000.0,487245450000.0,617786640000.0,569761900000.0,611558360000.0,463139670000.0,566399340000.0,462247530000.0
2036.0,638311700000.0,405856000000.0,538958900000.0,727809500000.0,318094180000.0,639368760000.0,599594200000.0,473080000000.0,600476800000.0,563054050000.0,585976300000.0,445566980000.0,534559850000.0,441333250000.0
2037.0,629103070000.0,374087840000.0,516493600000.0,720306800000.0,298581460000.0,622747840000.0,582768000000.0,464262100000.0,583001200000.0,536892930000.0,573154300000.0,418148120000.0,512571050000.0,417176500000.0
2038.0,610344440000.0,351798000000.0,492580100000.0,713181040000.0,275187920000.0,623697700000.0,557148500000.0,440164500000.0,570403300000.0,504743820000.0,559932200000.0,389292800000.0,484422160000.0,395854020000.0
2039.0,599166300000.0,335055060000.0,483689400000.0,709177600000.0,264071170000.0,609668300000.0,557429160000.0,420753930000.0,561973900000.0,481489450000.0,551038400000.0,363413600000.0,460290620000.0,374445440000.0
2040.0,590618300000.0,324308430000.0,468754000000.0,695920750000.0,251130540000.0,590346650000.0,545907970000.0,406302330000.0,543216300000.0,455499060000.0,526731600000.0,340239120000.0,432643280000.0,353235270000.0
2041.0,575631850000.0,310765780000.0,450973270000.0,676075300000.0,234204970000.0,576759660000.0,532458370000.0,382384300000.0,538072200000.0,436941700000.0,508890800000.0,328540520000.0,421163240000.0,332401300000.0
2042.0,564585600000.0,297583670000.0,435320550000.0,655868360000.0,223113040000.0,564921300000.0,528339240000.0,367012150000.0,520149240000.0,425464040000.0,498896240000.0,306364200000.0,400633900000.0,315626320000.0
2043.0,549183030000.0,275662640000.0,428278600000.0,641213660000.0,214200680000.0,566604900000.0,513659200000.0,354701800000.0,504732000000.0,419944240000.0,503180230000.0,284773250000.0,384617740000.0,303821030000.0
2044.0,535015950000.0,263470270000.0,407958980000.0,624690500000.0,203268520000.0,549096850000.0,495657940000.0,344362940000.0,493563000000.0,402453800000.0,481715260000.0,264215970000.0,373066040000.0,291193030000.0
2045.0,521351950000.0,245411840000.0,392316030000.0,620084300000.0,198593950000.0,535799330000.0,478049140000.0,328245870000.0,477760320000.0,387027500000.0,465077630000.0,239788380000.0,364262460000.0,275404500000.0
2046.0,517967840000.0,230403150000.0,375427600000.0,613262600000.0,182109630000.0,522045600000.0,457691960000.0,318440100000.0,458721530000.0,374179270000.0,440676060000.0,229546430000.0,349373070000.0,266477340000.0
2047.0,506608780000.0,217331840000.0,369582770000.0,629804700000.0,173678430000.0,511446020000.0,445802200000.0,304024220000.0,455717200000.0,358159350000.0,429813960000.0,214702830000.0,338170700000.0,256602390000.0
2048.0,497427800000.0,203739330000.0,355723440000.0,612962600000.0,163926360000.0,501155140000.0,431270130000.0,292242950000.0,453375980000.0,336234940000.0,431644500000.0,197928500000.0,321768850000.0,242608400000.0
2049.0,481546340000.0,193744650000.0,345951080000.0,604205350000.0,152122400000.0,500886470000.0,418940680000.0,285920600000.0,440805900000.0,331254040000.0,419301800000.0,180775680000.0,314097500000.0,233242920000.0
2050.0,465468700000.0,186392350000.0,339378540000.0,598725600000.0,144059450000.0,491816700000.0,409265730000.0,277985070000.0,430788400000.0,318519500000.0,417267350000.0,168571220000.0,305573630000.0,224885520000.0
2051.0,453214470000.0,177131440000.0,321414430000.0,577156150000.0,132548340000.0,486857340000.0,391193700000.0,270659450000.0,425890120000.0,303353630000.0,416061850000.0,157696160000.0,288044580000.0,210944460000.0
2052.0,441112700000.0,164832690000.0,310818600000.0,576996700000.0,122814366000.0,487111850000.0,384957450000.0,264668280000.0,420358780000.0,294273350000.0,395842500000.0,143517240000.0,278575940000.0,199728300000.0
2053.0,422779030000.0,158165000000.0,303987160000.0,555030300000.0,114789150000.0,474635340000.0,376082200000.0,253219320000.0,415790170000.0,281426530000.0,389817660000.0,132772320000.0,270182250000.0,185717600000.0
2054.0,408055150000.0,146245800000.0,296869070000.0,568117560000.0,107811545000.0,454758070000.0,380412260000.0,243336040000.0,409997700000.0,272573510000.0,377823130000.0,120402215000.0,264323870000.0,177113940000.0
2055.0,406142220000.0,132811210000.0,283189900000.0,566462800000.0,101134610000.0,447946360000.0,370304580000.0,232602730000.0,402834980000.0,260732350000.0,366000050000.0,107927010000.0,253752050000.0,167627460000.0
2056.0,398050230000.0,117816860000.0,274619470000.0,556676550000.0,96759560000.0,439560300000.0,365106270000.0,226760970000.0,394434250000.0,255278200000.0,362653680000.0,99547000000.0,245605520000.0,162160150000.0
2057.0,390330100000.0,108092900000.0,268925900000.0,540130770000.0,90153480000.0,443071700000.0,351801100000.0,214417970000.0,384331940000.0,251438300000.0,349477240000.0,92442720000.0,233507550000.0,151357150000.0
2058.0,387310680000.0,103562396000.0,268306840000.0,525876850000.0,83297124000.0,436522100000.0,337134320000.0,201520050000.0,375164530000.0,240951720000.0,343988730000.0,83237040000.0,229458170000.0,143179220000.0
2059.0,377109500000.0,97083680000.0,259298410000.0,504048420000.0,74455790000.0,433711320000.0,331665100000.0,190890700000.0,362479000000.0,231816630000.0,330188650000.0,75600260000.0,217937700000.0,135169700000.0
2060.0,369173400000.0,88310100000.0,251039190000.0,494276400000.0,67660034000.0,418484620000.0,324416860000.0,179993130000.0,356584420000.0,221652350000.0,328420500000.0,68233306000.0,204493300000.0,127607410000.0
2061.0,361879200000.0,77851484000.0,244146160000.0,483839020000.0,61790482000.0,417354300000.0,312488430000.0,170214800000.0,347382050000.0,216644500000.0,316652200000.0,62336147000.0,205412430000.0,120428000000.0
2062.0,365098300000.0,72101060000.0,237995500000.0,472560470000.0,56510366000.0,417944700000.0,288965230000.0,165276190000.0,332094000000.0,213879950000.0,313876900000.0,55849140000.0,196397000000.0,114569200000.0
2063.0,368679320000.0,66938253000.0,234000250000.0,468469150000.0,50628370000.0,405584740000.0,275422150000.0,159586600000.0,323326300000.0,203108840000.0,298261840000.0,50695380000.0,183579250000.0,111697960000.0
2064.0,378730770000.0,61364030000.0,229320360000.0,458589670000.0,48142856000.0,405535300000.0,269661320000.0,152521000000.0,318833330000.0,201712530000.0,296528100000.0,46470558000.0,173295320000.0,105837260000.0
2065.0,375447130000.0,58443230000.0,220488930000.0,466455270000.0,46333514000.0,401674200000.0,268478660000.0,144760100000.0,312283900000.0,190185290000.0,288035340000.0,41362563000.0,168630730000.0,98056960000.0
2066.0,373595000000.0,54320853000.0,211340620000.0,456586760000.0,43580660000.0,389643830000.0,266706500000.0,140117020000.0,310810050000.0,186769560000.0,278967500000.0,36685763000.0,162707080000.0,92761510000.0
2067.0,357302370000.0,51101140000.0,206327820000.0,442512100000.0,39183760000.0,377477100000.0,259483450000.0,134890510000.0,302445070000.0,177171800000.0,272385340000.0,33234684000.0,158548030000.0,88767060000.0
2068.0,360475620000.0,43947667000.0,206146270000.0,434275120000.0,35402850000.0,370711360000.0,250191840000.0,129546700000.0,301520550000.0,169338000000.0,264067120000.0,30979742000.0,153945370000.0,82111840000.0
2069.0,351977600000.0,40331470000.0,199408980000.0,435240370000.0,33775202000.0,358972100000.0,245350430000.0,125395360000.0,295406340000.0,164337600000.0,261859840000.0,27240876000.0,146472600000.0,76557950000.0
2070.0,335174960000.0,37879890000.0,194668020000.0,440903140000.0,29995860000.0,353785400000.0,237140620000.0,121088500000.0,288404180000.0,159289480000.0,264623820000.0,25459657000.0,136429216000.0,72833060000.0
2071.0,329724070000.0,33547570000.0,192645120000.0,447851230000.0,29688205000.0,341272230000.0,230615630000.0,115451260000.0,279784520000.0,151716530000.0,255333220000.0,22696692000.0,131007470000.0,70856830000.0
2072.0,335683160000.0,30575421000.0,188766340000.0,434305170000.0,29493821000.0,342952840000.0,225998850000.0,109456170000.0,274418830000.0,143248100000.0,253083160000.0,20540654000.0,124730840000.0,67293954000.0
2073.0,331070670000.0,28707344000.0,182063070000.0,425934600000.0,27217983000.0,341912900000.0,213201520000.0,102274880000.0,268359060000.0,139756110000.0,246591360000.0,19169790000.0,119767040000.0,65304200000.0
2074.0,322341600000.0,27683817000.0,183160060000.0,416856740000.0,24758122000.0,336170580000.0,207012890000.0,99317880000.0,264301430000.0,129929600000.0,254821190000.0,18132374000.0,112836390000.0,63276356000.0
2075.0,311157800000.0,24956398000.0,178659200000.0,414582240000.0,23896246000.0,334577200000.0,199815770000.0,94957990000.0,256884180000.0,119657760000.0,244875360000.0,16571539000.0,107544240000.0,60235530000.0
2076.0,308605520000.0,22645803000.0,173648840000.0,417514980000.0,21903196000.0,328163850000.0,197157770000.0,93918150000.0,253811690000.0,111143730000.0,236523490000.0,15775428000.0,104043490000.0,59230210000.0
2077.0,299941430000.0,21240869000.0,169368030000.0,411418920000.0,22010888000.0,320893400000.0,191701430000.0,90048400000.0,251390180000.0,106326470000.0,235918050000.0,16028948000.0,98053460000.0,57460960000.0
2078.0,295194760000.0,19764437000.0,165858340000.0,402632900000.0,21678045000.0,304986200000.0,180373340000.0,86662726000.0,246400100000.0,107016010000.0,229323570000.0,14725594000.0,92067180000.0,54883033000.0
2079.0,292608380000.0,18849716000.0,160319980000.0,398779100000.0,20840729000.0,299676760000.0,174644410000.0,82436520000.0,243461420000.0,103470180000.0,227020110000.0,13728417000.0,90143460000.0,53239720000.0
2080.0,288654360000.0,17493512000.0,152426100000.0,392539400000.0,19450540000.0,296160560000.0,170744090000.0,78821190000.0,242594680000.0,102299930000.0,218697070000.0,12215331000.0,85816120000.0,50319786000.0
2081.0,280800920000.0,16655661000.0,152087120000.0,395394650000.0,18357547000.0,291531160000.0,164707450000.0,75234845000.0,238346940000.0,99547930000.0,220191230000.0,11495316000.0,82767230000.0,48684410000.0
2082.0,269007210000.0,15117660000.0,148640120000.0,392389200000.0,17422082000.0,283255700000.0,159580420000.0,71808565000.0,235836620000.0,96733856000.0,210757700000.0,10936997000.0,77243450000.0,48611394000.0
2083.0,264672330000.0,13771187000.0,148169180000.0,388877220000.0,16964988000.0,286012280000.0,155577290000.0,71119820000.0,222535500000.0,90130870000.0,206120620000.0,10573307000.0,75300815000.0,48140018000.0
2084.0,261084180000.0,13274726000.0,145214110000.0,383557570000.0,16253246000.0,275630980000.0,151386050000.0,68139327000.0,222176480000.0,85805700000.0,205131480000.0,10330812000.0,72428536000.0,45093114000.0
2085.0,253479730000.0,12606570000.0,141938480000.0,389536550000.0,15635994000.0,267836980000.0,149390310000.0,65586282000.0,222913740000.0,84331720000.0,198671580000.0,9565441000.0,69991170000.0,43528930000.0
2086.0,250641830000.0,12220116000.0,137901360000.0,386148560000.0,15066624000.0,262546780000.0,143954770000.0,61010117000.0,223949550000.0,82150070000.0,193180200000.0,10370154000.0,69553160000.0,40646120000.0
2087.0,244271140000.0,11447356000.0,133141275000.0,387778700000.0,13996136000.0,252383900000.0,135990230000.0,58622210000.0,217556980000.0,82637800000.0,191068000000.0,9900887000.0,69507900000.0,39015990000.0
2088.0,236450900000.0,11064392000.0,129601730000.0,398235570000.0,13076567000.0,250483570000.0,143922710000.0,58817320000.0,212495930000.0,80925950000.0,184579670000.0,9118204000.0,67342290000.0,38850060000.0
2089.0,229811240000.0,10902820000.0,125319690000.0,394403280000.0,12764205000.0,247659770000.0,140670480000.0,57862394000.0,206530600000.0,78850110000.0,184228990000.0,9009184000.0,65914210000.0,37735195000.0
2090.0,224202180000.0,10232058000.0,121873056000.0,386252730000.0,13147424000.0,246289710000.0,136628350000.0,57718075000.0,204837520000.0,80037130000.0,179109100000.0,8640476000.0,64263496000.0,35538715000.0
2091.0,213825000000.0,9975128000.0,117233410000.0,379465330000.0,13326521000.0,236792560000.0,132754964000.0,54905770000.0,199783500000.0,76607906000.0,173724830000.0,8523727000.0,61285630000.0,35234177000.0
2092.0,205314460000.0,10134662000.0,115002606000.0,373007160000.0,12572081000.0,236601250000.0,131517580000.0,54163177000.0,200330330000.0,75108000000.0,167794250000.0,8394468400.0,58800767000.0,33520298000.0
2093.0,200145440000.0,9594803000.0,111848020000.0,351084500000.0,12491474000.0,234401730000.0,128264634000.0,54856660000.0,200039650000.0,76335645000.0,169107690000.0,8107354000.0,59553935000.0,32191730000.0
2094.0,202668540000.0,9369144000.0,111719810000.0,350357320000.0,12357596000.0,241148690000.0,127148990000.0,52485890000.0,200372830000.0,75155186000.0,163553430000.0,7904769500.0,58324582000.0,31624170000.0
2095.0,201433760000.0,8916791000.0,109312434000.0,342786470000.0,12269759000.0,236825590000.0,127816884000.0,51163746000.0,195358750000.0,72728860000.0,157714070000.0,7788303400.0,57605810000.0,30824858000.0
2096.0,198856000000.0,8723299000.0,104354220000.0,336180740000.0,11866748000.0,236405770000.0,129673620000.0,49977370000.0,193177220000.0,71947450000.0,155590340000.0,7630422500.0,56785342000.0,29898512000.0
2097.0,188965000000.0,8775244000.0,103294270000.0,333921500000.0,11433701000.0,235867260000.0,127653120000.0,47996092000.0,193511800000.0,69001220000.0,153407110000.0,7564357000.0,57684464000.0,29439162000.0
2098.0,184892920000.0,8591625000.0,102088100000.0,328014500000.0,10838094000.0,233679450000.0,124881396000.0,46490923000.0,187653870000.0,67404320000.0,154773600000.0,7544924700.0,57396847000.0,29079263000.0
2099.0,184335970000.0,8494529000.0,100878190000.0,321987670000.0,10700020000.0,231739060000.0,118696710000.0,46285115000.0,187086210000.0,66087860000.0,153955290000.0,7590268400.0,54663880000.0,27648672000.0
2100.0,181607330000.0,8357368300.0,99592980000.0,322583000000.0,10524388000.0,228108440000.0,115409570000.0,44717277000.0,184086820000.0,66107610000.0,154286230000.0,7546199000.0,52556083000.0,26918836000.0
