time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL
2040.0,431875750000.0,347981000000.0,396611320000.0,551763000000.0,337232300000.0
2041.0,409231200000.0,330355180000.0,383598230000.0,526109280000.0,306500200000.0
2042.0,385961530000.0,309998260000.0,351504370000.0,524889100000.0,284579860000.0
2043.0,373931380000.0,288500300000.0,331790780000.0,513136330000.0,270444950000.0
2044.0,361528100000.0,274685480000.0,309165820000.0,513226400000.0,246875490000.0
2045.0,340466400000.0,259923430000.0,289367800000.0,481387280000.0,239687500000.0
2046.0,326435080000.0,242018000000.0,277914220000.0,478413720000.0,225865020000.0
2047.0,311502470000.0,229374180000.0,261885950000.0,468960580000.0,211288300000.0
2048.0,293647220000.0,218416190000.0,253412750000.0,451670250000.0,191094000000.0
2049.0,277309060000.0,206472560000.0,247095950000.0,433105630000.0,181190540000.0
2050.0,264467000000.0,195621040000.0,231395840000.0,413300620000.0,155147300000.0
2051.0,246295120000.0,184158000000.0,217657800000.0,396526420000.0,143054590000.0
2052.0,238120830000.0,170566250000.0,209258220000.0,386051800000.0,125963140000.0
2053.0,224682500000.0,163113760000.0,198596230000.0,381229900000.0,112935280000.0
2054.0,212868970000.0,155210000000.0,182342400000.0,359897660000.0,98996000000.0
2055.0,200303600000.0,147530100000.0,172170050000.0,352086600000.0,86467576000.0
2056.0,189087480000.0,137567620000.0,165605240000.0,340357350000.0,77708665000.0
2057.0,185257230000.0,126901895000.0,152054820000.0,337013960000.0,68574855000.0
2058.0,176652370000.0,119099490000.0,141474630000.0,336772900000.0,60839805000.0
2059.0,168717320000.0,110067750000.0,134682520000.0,327952400000.0,53896250000.0
2060.0,160896140000.0,98711224000.0,129917980000.0,308176680000.0,45888733000.0
2061.0,154579220000.0,90998590000.0,120389570000.0,302965620000.0,37729436000.0
2062.0,148432140000.0,84877570000.0,112217330000.0,292593240000.0,32055726000.0
2063.0,142509020000.0,76591555000.0,104881710000.0,284635730000.0,27343739000.0
2064.0,135785170000.0,68259054000.0,97051740000.0,277058800000.0,24131551000.0
2065.0,133079560000.0,63105958000.0,90751640000.0,276010370000.0,19734362000.0
2066.0,128064590000.0,56228135000.0,86209880000.0,259077210000.0,17013520000.0
2067.0,122591810000.0,50520780000.0,80731780000.0,259953130000.0,14777031000.0
2068.0,120094335000.0,46681047000.0,75156046000.0,243319050000.0,13124045000.0
2069.0,114846450000.0,42743420000.0,69709780000.0,233708950000.0,11365228000.0
2070.0,111775030000.0,38910763000.0,66348640000.0,224229380000.0,9078618000.0
2071.0,108596000000.0,34936690000.0,62919844000.0,218889300000.0,7404179000.0
2072.0,104952970000.0,30863372000.0,58075697000.0,213266890000.0,6334243300.0
2073.0,98957350000.0,28712520000.0,54361526000.0,201536110000.0,5666466300.0
2074.0,97015570000.0,25057937000.0,50017313000.0,193203810000.0,4802351000.0
2075.0,93922500000.0,23070663000.0,46090318000.0,188518680000.0,4268689400.0
2076.0,93290970000.0,20740665000.0,45303090000.0,176901460000.0,4048780500.0
2077.0,89712935000.0,19526648000.0,41982870000.0,169570010000.0,3722972000.0
2078.0,87674770000.0,17711989000.0,39390250000.0,160630690000.0,3464109800.0
2079.0,83374694000.0,17036239000.0,36871850000.0,156639790000.0,3344673800.0
