time,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G,CCSM4
2000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0
2001.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0
2002.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0
2003.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0
2004.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0
2005.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0
2006.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0
2007.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0
2008.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0
2009.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0
2010.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0
2011.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0
2012.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0
2013.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0,51630133000.0
2014.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0,51604390000.0
2015.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0,51627910000.0
2016.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0,51620880000.0
2017.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0,51572470000.0
2018.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0,51569280000.0
2019.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0,51553366000.0
2020.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0,51535900000.0
2021.0,51513820000.0,51520870000.0,51521196000.0,51514896000.0,51523535000.0,51500007000.0,51545090000.0,51510596000.0
2022.0,51481113000.0,51496450000.0,51517240000.0,51509850000.0,51513455000.0,51508904000.0,51521516000.0,51470057000.0
2023.0,51443823000.0,51453424000.0,51485434000.0,51454755000.0,51474104000.0,51458030000.0,51504670000.0,51445830000.0
2024.0,51457690000.0,51419816000.0,51430703000.0,51416494000.0,51607126000.0,51499926000.0,51499733000.0,51407466000.0
2025.0,51401298000.0,51402564000.0,51413254000.0,51429433000.0,51553018000.0,51442530000.0,51452953000.0,51378983000.0
