time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4,GISS-E2-R,CANESM2,GFDL-CM3,CNRM-CM5,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G
2000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0,294520130000.0
2001.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0,295523000000.0
2002.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0,294038800000.0
2003.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0,288999570000.0
2004.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0,286509630000.0
2005.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0,284878370000.0
2006.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0,284771060000.0
2007.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0,280920700000.0
2008.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0,281615600000.0
2009.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0,280683300000.0
2010.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0,276750470000.0
2011.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0,274535190000.0
2012.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0,273861620000.0
2013.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0,274323000000.0
2014.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0,271608430000.0
2015.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0,267881640000.0
2016.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0,269461500000.0
2017.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0,266265660000.0
2018.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0,265924400000.0
2019.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0,261099270000.0
2020.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0,259034120000.0
2021.0,255890800000.0,257053560000.0,256880350000.0,255906580000.0,257035650000.0,255476200000.0,256128930000.0,256817330000.0,258294800000.0,255884820000.0
2022.0,255831590000.0,254760810000.0,256724860000.0,254111370000.0,255689180000.0,250589820000.0,252622100000.0,253244500000.0,253432940000.0,251395470000.0
2023.0,254428890000.0,252891730000.0,253329670000.0,251361170000.0,255282430000.0,243407140000.0,251749940000.0,248650530000.0,246758380000.0,247638380000.0
2024.0,252179480000.0,248213640000.0,247536090000.0,248100490000.0,253525670000.0,239812050000.0,252192930000.0,249245530000.0,244123090000.0,244400050000.0
2025.0,251456960000.0,246599430000.0,246059170000.0,241902240000.0,248450940000.0,234731370000.0,250061950000.0,249977160000.0,238096150000.0,242230940000.0
2026.0,250511700000.0,241325410000.0,243846370000.0,238781040000.0,245160380000.0,229425200000.0,248076240000.0,249192370000.0,235049900000.0,240003510000.0
2027.0,249392140000.0,236399920000.0,239802090000.0,236504860000.0,242296490000.0,224934100000.0,247605360000.0,246021500000.0,230219710000.0,234137350000.0
2028.0,248977210000.0,230471990000.0,239447310000.0,232236290000.0,236210700000.0,220539860000.0,245184050000.0,244405980000.0,226798550000.0,230829980000.0
2029.0,250283110000.0,229772620000.0,237069430000.0,226214920000.0,232694380000.0,215132880000.0,242365920000.0,243904660000.0,223906100000.0,227324360000.0
2030.0,250171920000.0,226285360000.0,236721160000.0,225307130000.0,230647900000.0,208981410000.0,237969400000.0,242768410000.0,218490200000.0,223893130000.0
2031.0,246941780000.0,225692400000.0,235979500000.0,220123730000.0,224277680000.0,204896810000.0,235234020000.0,242073320000.0,212101900000.0,217741160000.0
2032.0,245460390000.0,222703240000.0,234199400000.0,217670520000.0,221396270000.0,200790540000.0,232502870000.0,237336500000.0,205683160000.0,215455000000.0
2033.0,244414510000.0,218962080000.0,232248620000.0,212184760000.0,214858000000.0,198700200000.0,229750010000.0,236874840000.0,201017670000.0,212612460000.0
2034.0,243133420000.0,213151810000.0,228562260000.0,209043930000.0,210622410000.0,194689680000.0,227240080000.0,235964320000.0,194783630000.0,209285640000.0
2035.0,241653330000.0,208699740000.0,224123550000.0,206899760000.0,209406700000.0,190571200000.0,223031300000.0,232539980000.0,189126690000.0,207793830000.0
2036.0,237124490000.0,204847170000.0,219629550000.0,201757200000.0,205944010000.0,188956880000.0,219881080000.0,229253640000.0,184344700000.0,204893670000.0
2037.0,236211290000.0,208025520000.0,215856150000.0,196548310000.0,200166820000.0,185815380000.0,216147790000.0,229137330000.0,178238360000.0,203533620000.0
2038.0,234481780000.0,204574850000.0,214067360000.0,192073040000.0,195526820000.0,182108360000.0,214111960000.0,226623590000.0,174029590000.0,200098040000.0
2039.0,233534140000.0,203777500000.0,211720420000.0,188158260000.0,190436970000.0,177201760000.0,210276600000.0,220927500000.0,169407050000.0,197532020000.0
2040.0,227632560000.0,198643420000.0,209626960000.0,182941520000.0,187616310000.0,171865880000.0,208570090000.0,217815760000.0,163475200000.0,194418400000.0
2041.0,224659460000.0,197176620000.0,206910300000.0,178647380000.0,184037770000.0,168678440000.0,206639120000.0,215305860000.0,161842770000.0,190394550000.0
2042.0,224224540000.0,191862770000.0,203690850000.0,173228700000.0,178790830000.0,163504900000.0,204058260000.0,214650960000.0,158266670000.0,186394180000.0
2043.0,223764710000.0,186814070000.0,202614050000.0,166423250000.0,176153460000.0,159211850000.0,201825480000.0,211361580000.0,153727600000.0,185179730000.0
2044.0,219447600000.0,182406330000.0,201304000000.0,162510540000.0,173648350000.0,154167820000.0,198346310000.0,206751330000.0,149609320000.0,182086070000.0
2045.0,214006400000.0,181998160000.0,200551780000.0,157506600000.0,170442980000.0,150036190000.0,194481050000.0,202643320000.0,144157200000.0,182432760000.0
2046.0,208604410000.0,177529360000.0,196547660000.0,151461360000.0,165124050000.0,145616130000.0,191558830000.0,203007640000.0,137485750000.0,181601260000.0
2047.0,205693960000.0,174595200000.0,192249270000.0,146055200000.0,160397300000.0,141733400000.0,188394640000.0,201417310000.0,132707250000.0,180225300000.0
