time,CNRM-CM6-1,CNRM-ESM2-1,GFDL-ESM4,UKESM1-0-LL,EC-EARTH3,MPI-ESM1-2-HR,IPSL-CM6A-LR,CANESM5,CESM2-WACCM,MRI-ESM2-0,MIROC6,TAIESM1,KACE-1-0-G
2000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0
2001.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0
2002.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0
2003.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0
2004.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0
2005.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0
2006.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0
2007.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0
2008.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0
2009.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0
2010.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0
2011.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0
2012.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0
