time,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,GFDL-ESM4
2000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0
2001.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0
2002.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0
2003.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0
2004.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0
2005.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0
2006.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0
2007.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0
2008.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0
2009.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0
2010.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0
2011.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0
2012.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0
2013.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0
2014.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0
2015.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0
2016.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0
2017.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0
2018.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0
2019.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0
2020.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0
2021.0,14673226000000.0,14659405000000.0,14621458000000.0,14668955000000.0
2022.0,14631220000000.0,14636505000000.0,14452462000000.0,14610698000000.0
2023.0,14479629000000.0,14598749000000.0,14294855000000.0,14491153000000.0
2024.0,14366152000000.0,14550582000000.0,14169390000000.0,14395570000000.0
2025.0,14257977000000.0,14472712000000.0,14030270000000.0,14336548000000.0
2026.0,14237055000000.0,14366350000000.0,13897372000000.0,14271178000000.0
2027.0,14141393000000.0,14280510000000.0,13747308000000.0,14258486000000.0
2028.0,14053537000000.0,14171260000000.0,13598197000000.0,14158754000000.0
2029.0,13983450000000.0,14210471000000.0,13515203000000.0,14078505000000.0
2030.0,13916981000000.0,14202210000000.0,13368741000000.0,13963205000000.0
2031.0,13822965000000.0,14181229000000.0,13176813000000.0,13886030000000.0
2032.0,13744018000000.0,14125797000000.0,13058222000000.0,13822466000000.0
2033.0,13621060000000.0,14053858000000.0,12889688000000.0,13761914000000.0
2034.0,13551239000000.0,13999843000000.0,12759979000000.0,13633638000000.0
2035.0,13485707000000.0,13923051000000.0,12598826000000.0,13523917000000.0
2036.0,13382786000000.0,13817620000000.0,12485916000000.0,13435931000000.0
2037.0,13327463000000.0,13738226000000.0,12361268000000.0,13388346000000.0
2038.0,13206047000000.0,13706417000000.0,12244258000000.0,13300979000000.0
2039.0,13094186000000.0,13642258000000.0,12082306000000.0,13269820000000.0
2040.0,12949432000000.0,13548753000000.0,11955933000000.0,13173371000000.0
2041.0,12821858000000.0,13516764000000.0,11814970000000.0,13103748000000.0
2042.0,12746673000000.0,13443489000000.0,11669417000000.0,13028501000000.0
2043.0,12577651000000.0,13362319000000.0,11513506000000.0,12951035000000.0
2044.0,12489931000000.0,13226579000000.0,11375779000000.0,12884276000000.0
2045.0,12361585000000.0,13149930000000.0,11192465000000.0,12836610000000.0
2046.0,12324340000000.0,13078624000000.0,10991239000000.0,12728675000000.0
2047.0,12271882000000.0,13000324000000.0,10879005000000.0,12664142000000.0
2048.0,12181523000000.0,12953673000000.0,10741952000000.0,12603364000000.0
2049.0,12136098000000.0,12880906000000.0,10560873000000.0,12521754000000.0
2050.0,12036186000000.0,12762662000000.0,10480324000000.0,12479229000000.0
2051.0,11981310000000.0,12673288000000.0,10345325000000.0,12442974000000.0
2052.0,11900415000000.0,12627437000000.0,10207151000000.0,12398119000000.0
