time,CNRM-ESM2-1,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,UKESM1-0-LL
2000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0
2001.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0
2002.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0
2003.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0
2004.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0
2005.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0
2006.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0
2007.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0
2008.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0
2009.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0
2010.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0
2011.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0
2012.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0
2013.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0
2014.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0
2015.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0
2016.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0
2017.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0
2018.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0
2019.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0
2020.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0
2021.0,14723511000000.0,14651135000000.0,14636477000000.0,14659156000000.0,14679891000000.0
2022.0,14705613000000.0,14595997000000.0,14562243000000.0,14557737000000.0,14563506000000.0
2023.0,14591962000000.0,14444863000000.0,14465007000000.0,14453347000000.0,14456614000000.0
2024.0,14483949000000.0,14329356000000.0,14420215000000.0,14245963000000.0,14320174000000.0
2025.0,14371149000000.0,14240932000000.0,14388981000000.0,14046635000000.0,14165132000000.0
2026.0,14319278000000.0,14170078000000.0,14282749000000.0,13937900000000.0,14034410000000.0
2027.0,14196252000000.0,14101378000000.0,14216771000000.0,13838195000000.0,13928012000000.0
2028.0,14078221000000.0,14056242000000.0,14142800000000.0,13672321000000.0,13793590000000.0
2029.0,13947570000000.0,14008505000000.0,14031042000000.0,13530796000000.0,13686727000000.0
2030.0,13931391000000.0,13921716000000.0,13956552000000.0,13450041000000.0,13550846000000.0
2031.0,13835496000000.0,13832548000000.0,13898240000000.0,13329599000000.0,13396836000000.0
2032.0,13736037000000.0,13721759000000.0,13783798000000.0,13139420000000.0,13237406000000.0
2033.0,13633159000000.0,13656458000000.0,13687810000000.0,12986767000000.0,13073807000000.0
2034.0,13516398000000.0,13522548000000.0,13613147000000.0,12826392000000.0,12905156000000.0
2035.0,13421223000000.0,13448878000000.0,13587823000000.0,12703136000000.0,12650705000000.0
2036.0,13341431000000.0,13427818000000.0,13553194000000.0,12534343000000.0,12517471000000.0
2037.0,13197642000000.0,13357748000000.0,13486560000000.0,12405230000000.0,12305941000000.0
2038.0,13149376000000.0,13234113000000.0,13427994000000.0,12289829000000.0,12126909000000.0
2039.0,13047320000000.0,13146661000000.0,13297515000000.0,12186040000000.0,11974016000000.0
