time,ACCESS-ESM1-5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM,CANESM5,INM-CM4-8,EC-EARTH3,EC-EARTH3-VEG,INM-CM5-0,ACCESS-CM2,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,GFDL-ESM4,MPI-ESM1-2-HR,CESM2,CAMS-CSM1-0
2013.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0
2014.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0
2015.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0
2016.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0
2017.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0
2018.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0
2019.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0
2020.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0
2021.0,48089715000.0,47969730000.0,48426280000.0,47911227000.0,47893897000.0,47875887000.0,47859080000.0,47947194000.0,47919006000.0,47950475000.0,48082340000.0,48549405000.0,48050135000.0,48156537000.0,48043074000.0,47917520000.0,48445202000.0
2022.0,47843082000.0,47729885000.0,48171980000.0,47937204000.0,47914310000.0,47666168000.0,47649903000.0,47794630000.0,47778255000.0,47754514000.0,47706870000.0,48182137000.0,47871156000.0,47841657000.0,47857594000.0,47763670000.0,47882707000.0
2023.0,47646580000.0,47492375000.0,48039334000.0,47599290000.0,47317500000.0,47623770000.0,47393694000.0,47730740000.0,47480610000.0,47605770000.0,47525410000.0,47735435000.0,47846105000.0,47563248000.0,47674794000.0,47525618000.0,47712550000.0
2024.0,47440896000.0,47211397000.0,47771066000.0,47297675000.0,47094424000.0,47284494000.0,47125275000.0,47467270000.0,47284703000.0,47346487000.0,47327973000.0,47418053000.0,47484305000.0,47381635000.0,47401492000.0,47235006000.0,47782384000.0
2025.0,47188316000.0,47021640000.0,47548654000.0,47212483000.0,46697554000.0,47194878000.0,46900970000.0,47333940000.0,47090890000.0,47180860000.0,47163298000.0,47146310000.0,47356527000.0,47167967000.0,47471464000.0,47046690000.0,47379538000.0
2026.0,46859936000.0,46822940000.0,47941845000.0,46915920000.0,46365516000.0,46905000000.0,46643585000.0,47228813000.0,46803960000.0,46839267000.0,46901360000.0,47098440000.0,47349277000.0,46960090000.0,47083237000.0,46910990000.0,47231005000.0
2027.0,46579147000.0,46479364000.0,47783660000.0,46656532000.0,46078833000.0,46677127000.0,46364934000.0,47172325000.0,46607553000.0,46579646000.0,46776607000.0,46854607000.0,47163044000.0,46710706000.0,46882640000.0,46661140000.0,46934655000.0
2028.0,46275240000.0,46344280000.0,47559315000.0,46430822000.0,45750075000.0,46441190000.0,46007796000.0,46853288000.0,46315663000.0,46184186000.0,46690083000.0,46547632000.0,46932845000.0,46482210000.0,46650400000.0,46399656000.0,46877258000.0
2029.0,46206800000.0,45879490000.0,47429042000.0,46167917000.0,45219705000.0,46236240000.0,45825188000.0,46603547000.0,45994803000.0,45871223000.0,46428430000.0,46264010000.0,46763168000.0,46262845000.0,46464225000.0,46052080000.0,48105660000.0
2030.0,45778800000.0,45655937000.0,47264547000.0,46000270000.0,44807475000.0,46146925000.0,45254310000.0,46294286000.0,45654820000.0,45547872000.0,46271540000.0,45908270000.0,46572600000.0,45980533000.0,46241223000.0,45755183000.0,48407536000.0
2031.0,45431700000.0,45276983000.0,46846600000.0,45749360000.0,44326620000.0,45996500000.0,44804276000.0,46123655000.0,45362160000.0,45207417000.0,46017090000.0,45621020000.0,46352364000.0,45923197000.0,45947118000.0,45357570000.0,47026856000.0
2032.0,45004046000.0,44874342000.0,46529184000.0,45273895000.0,44065546000.0,45677736000.0,44362543000.0,45762208000.0,44948627000.0,44780863000.0,45650424000.0,45892403000.0,46158830000.0,45598347000.0,45734860000.0,45214523000.0,46589760000.0
2033.0,44632100000.0,44541063000.0,46270100000.0,45368123000.0,43337445000.0,45882724000.0,43953770000.0,45439820000.0,44532072000.0,44323566000.0,45370896000.0,45618160000.0,45936950000.0,45244250000.0,45583580000.0,44800086000.0,46324610000.0
2034.0,44246780000.0,44222853000.0,45972312000.0,44694454000.0,42725675000.0,45345960000.0,43577287000.0,45142820000.0,44426220000.0,43849916000.0,45401990000.0,44954722000.0,45713105000.0,45071315000.0,45586678000.0,44494885000.0,46144620000.0
2035.0,43867734000.0,43792323000.0,45549494000.0,44397480000.0,42100978000.0,45091664000.0,43001913000.0,44929530000.0,44173038000.0,43385676000.0,44877870000.0,44555180000.0,45427806000.0,44665766000.0,45381120000.0,44063875000.0,45872226000.0
2036.0,43429020000.0,43339174000.0,44934152000.0,43958387000.0,41561070000.0,44799570000.0,42412270000.0,44604817000.0,43706780000.0,42885394000.0,44463292000.0,44265718000.0,45320140000.0,44386095000.0,46562110000.0,43657160000.0,45918590000.0
2037.0,42973962000.0,42931380000.0,44691833000.0,43774095000.0,41568973000.0,44617564000.0,41879750000.0,44392950000.0,43258340000.0,42289690000.0,44190503000.0,44012300000.0,45457236000.0,44161917000.0,45242274000.0,43125340000.0,45912793000.0
2038.0,42500338000.0,42442203000.0,44270830000.0,43380576000.0,40607064000.0,44295510000.0,41406845000.0,44143590000.0,42882486000.0,41834360000.0,43870663000.0,44108014000.0,44924994000.0,44077320000.0,44797470000.0,43009650000.0,45451104000.0
2039.0,42231812000.0,42073870000.0,44020163000.0,42914490000.0,40103360000.0,43976143000.0,40737915000.0,43724200000.0,42353046000.0,41399902000.0,43707757000.0,43558240000.0,44669645000.0,43653497000.0,44361880000.0,42190820000.0,45121970000.0
2040.0,41675710000.0,41455075000.0,43382313000.0,42471120000.0,39248458000.0,43751800000.0,40070492000.0,43295916000.0,41959220000.0,40779825000.0,43345340000.0,43008193000.0,44262846000.0,43262500000.0,44322650000.0,41525748000.0,45418947000.0
2041.0,41079020000.0,40953320000.0,43027087000.0,42207030000.0,38525970000.0,43402980000.0,39404466000.0,43056243000.0,41589223000.0,40234430000.0,43023210000.0,43102142000.0,43919737000.0,43491185000.0,43998150000.0,41057026000.0,44920525000.0
2042.0,40650113000.0,40530088000.0,42881667000.0,41719325000.0,37871948000.0,43213263000.0,38745936000.0,43557250000.0,41081033000.0,39738536000.0,42600470000.0,42526847000.0,43741454000.0,43112415000.0,43718386000.0,40502610000.0,44653840000.0
2043.0,40094380000.0,40046105000.0,42426760000.0,41146970000.0,37189493000.0,42762965000.0,38053330000.0,42661530000.0,40696720000.0,39243580000.0,42243080000.0,42131520000.0,43435344000.0,42874655000.0,43411722000.0,39939660000.0,44799130000.0
2044.0,39493386000.0,39585264000.0,42204840000.0,41531572000.0,36617100000.0,42535387000.0,37574574000.0,42295603000.0,40080368000.0,38640247000.0,41819490000.0,41723355000.0,43147980000.0,42469100000.0,43019993000.0,39418050000.0,44158886000.0
2045.0,38933045000.0,39150180000.0,41624965000.0,40426648000.0,35759160000.0,42108367000.0,36978627000.0,42021260000.0,39623934000.0,38017590000.0,41709980000.0,41216147000.0,43177464000.0,42102723000.0,42619820000.0,38924845000.0,44700160000.0
2046.0,38516760000.0,38629913000.0,41178108000.0,39900320000.0,35022864000.0,41821155000.0,36322460000.0,41813496000.0,39258310000.0,37532668000.0,41382710000.0,40750166000.0,42765767000.0,41793390000.0,42444763000.0,38608474000.0,43752604000.0
2047.0,37979087000.0,38141407000.0,40738130000.0,39513850000.0,34334052000.0,41411973000.0,35707720000.0,41444143000.0,38891850000.0,36802900000.0,40839397000.0,40323570000.0,42361164000.0,41527280000.0,43828003000.0,38007505000.0,43622343000.0
2048.0,37549855000.0,37696106000.0,40351744000.0,39123590000.0,33611002000.0,41096454000.0,35094840000.0,41188364000.0,38498116000.0,36330120000.0,40547713000.0,40129384000.0,41957237000.0,41230360000.0,42180424000.0,37237180000.0,43709235000.0
2049.0,36836233000.0,37167350000.0,39864380000.0,38695715000.0,33001169000.0,40554537000.0,34524488000.0,41159786000.0,38219640000.0,35875504000.0,40174342000.0,39629620000.0,41516122000.0,41008550000.0,41602230000.0,36813365000.0,43665090000.0
2050.0,36316692000.0,36626403000.0,39377220000.0,38362984000.0,32355099000.0,40139050000.0,34054396000.0,40612680000.0,37674332000.0,35174410000.0,39629400000.0,39197370000.0,41302454000.0,40886346000.0,41489630000.0,36296790000.0,45097374000.0
2051.0,35816976000.0,36150694000.0,38811380000.0,38033834000.0,31667167000.0,40480702000.0,33606552000.0,40647827000.0,37459354000.0,34505576000.0,39239516000.0,38792010000.0,40780657000.0,40364480000.0,41098280000.0,35914420000.0,43084165000.0
2052.0,35214700000.0,35679314000.0,38651785000.0,37619802000.0,31206707000.0,39694193000.0,33324663000.0,39961522000.0,36920033000.0,34197537000.0,38961603000.0,38397305000.0,40336978000.0,40126726000.0,40772076000.0,35502047000.0,42642540000.0
2053.0,34537628000.0,35241690000.0,38260060000.0,37138210000.0,30577873000.0,39270370000.0,32697800000.0,39897390000.0,36242940000.0,33584357000.0,38664905000.0,37968220000.0,39928857000.0,39881535000.0,42081980000.0,34902570000.0,42497550000.0
2054.0,34035597000.0,34802754000.0,37756780000.0,36813152000.0,29931260000.0,39208817000.0,32078414000.0,39335460000.0,35812385000.0,33079530000.0,38375360000.0,37525324000.0,39577400000.0,39414120000.0,41217320000.0,34380830000.0,42738876000.0
2055.0,33601360000.0,34331333000.0,37280223000.0,36523770000.0,29420950000.0,38678438000.0,31588960000.0,39006520000.0,35465814000.0,32443410000.0,37981500000.0,37273477000.0,39299727000.0,39099930000.0,40212967000.0,33738752000.0,42401903000.0
2056.0,32992150000.0,34010706000.0,36780884000.0,36063160000.0,28837493000.0,38347060000.0,31194962000.0,39976440000.0,35019110000.0,31838753000.0,37506396000.0,36774842000.0,39394095000.0,39106790000.0,40174854000.0,33196663000.0,41871286000.0
2057.0,32632190000.0,33401817000.0,36245640000.0,35535938000.0,28384403000.0,38156698000.0,30667882000.0,39491633000.0,34736270000.0,31325913000.0,37201818000.0,36378464000.0,38732080000.0,38669840000.0,39679394000.0,32542915000.0,41908634000.0
2058.0,32119458000.0,32923345000.0,35653040000.0,35351343000.0,27817556000.0,37800010000.0,30329528000.0,38800794000.0,34363404000.0,30712545000.0,36824474000.0,36325376000.0,38269090000.0,38263570000.0,39347167000.0,32155080000.0,41447860000.0
2059.0,31733516000.0,32490117000.0,35215310000.0,34797950000.0,27252580000.0,37287150000.0,29796450000.0,38369850000.0,33924210000.0,30149591000.0,36419020000.0,35752202000.0,37785563000.0,37900694000.0,38875034000.0,31626500000.0,41184470000.0
2060.0,31267336000.0,32045169000.0,34623900000.0,34308123000.0,26632892000.0,37079134000.0,29344252000.0,38006430000.0,33647825000.0,29845987000.0,36403732000.0,35406094000.0,37427466000.0,37886510000.0,38777900000.0,31158667000.0,41137955000.0
2061.0,30758574000.0,31642438000.0,33926515000.0,34235621000.0,26293457000.0,36786033000.0,29189915000.0,38695970000.0,33210434000.0,29296943000.0,35554767000.0,35014620000.0,37049836000.0,37384892000.0,38491520000.0,30668274000.0,40703290000.0
