time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM
2000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0
2001.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0
2002.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0
2003.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0
2004.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0
2005.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0
2006.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0
2007.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0
2008.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0
2009.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0
2010.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0
2011.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0
2012.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0
2013.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0
2014.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0
2015.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0
2016.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0
2017.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0
2018.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0
2019.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0
2020.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0
2021.0,28314050000.0,28324490000.0,28300315000.0,28326447000.0,28264989000.0,28287287000.0
2022.0,28189843000.0,28210096000.0,28196235000.0,28175708000.0,28210983000.0,28424456000.0
2023.0,28057903000.0,28070050000.0,28078170000.0,28263694000.0,28033835000.0,28088508000.0
2024.0,28041509000.0,27992084000.0,28015300000.0,28025774000.0,27918550000.0,27892808000.0
2025.0,27900662000.0,27835154000.0,27813837000.0,27912696000.0,27791845000.0,27980330000.0
2026.0,27811373000.0,27689312000.0,27881185000.0,27654609000.0,27539427000.0,27699575000.0
2027.0,27686523000.0,27550160000.0,27659444000.0,27573445000.0,27336796000.0,27722170000.0
2028.0,27486212000.0,27430770000.0,27578583000.0,27354874000.0,27098845000.0,27438373000.0
2029.0,27377365000.0,27272415000.0,27381674000.0,27236882000.0,27087626000.0,27255267000.0
2030.0,27287271000.0,27179680000.0,27226558000.0,27092912000.0,26808093000.0,27098841000.0
2031.0,27087930000.0,26999036000.0,27101030000.0,26915826000.0,26556572000.0,26970431000.0
2032.0,26912717000.0,26860923000.0,27271084000.0,26708222000.0,26393027000.0,26796780000.0
2033.0,26603244000.0,26658435000.0,27144358000.0,26434226000.0,26301264000.0,26622405000.0
