time,FGOALS-F3-L,NORESM2-MM,CESM2,ACCESS-CM2,EC-EARTH3,CANESM5,ACCESS-ESM1-5,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,INM-CM5-0,EC-EARTH3-VEG,CESM2-WACCM,GFDL-ESM4
2000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0
2001.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0
2002.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0
2003.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0
2004.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0
2005.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0
2006.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0
2007.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0
2008.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0
2009.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0
2010.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0
2011.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0
2012.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0
2013.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0
2014.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0
2015.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0
2016.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0
2017.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0
2018.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0
2019.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0
