time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4
2000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0
2001.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0
2002.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0
2003.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0
2004.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0
2005.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0
2006.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0
2007.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0
2008.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0
2009.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0
2010.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0
2011.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0
2012.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0
2013.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0
2014.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0
2015.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0
2016.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0
2017.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0
2018.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0
2019.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0
2020.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0
2021.0,28244890000.0,28373332000.0,28398283000.0,28531442000.0,28303622000.0
2022.0,28134490000.0,28214473000.0,28246192000.0,28671685000.0,28370006000.0
2023.0,27977503000.0,28336970000.0,28075508000.0,28387068000.0,28207970000.0
2024.0,27801890000.0,28029565000.0,28008434000.0,28325270000.0,28018192000.0
2025.0,27759522000.0,27944923000.0,27911293000.0,28219482000.0,28155486000.0
2026.0,27460088000.0,27654777000.0,27658154000.0,27965635000.0,28046170000.0
2027.0,27238664000.0,27566635000.0,27512920000.0,27834026000.0,27757793000.0
2028.0,27277193000.0,27340542000.0,27376937000.0,27739853000.0,27592575000.0
2029.0,26859246000.0,27222145000.0,27282317000.0,27618590000.0,27409690000.0
2030.0,26509090000.0,27071937000.0,27118199000.0,27433435000.0,27319437000.0
2031.0,26330655000.0,26875163000.0,26885575000.0,27345040000.0,27171811000.0
2032.0,26113153000.0,26653166000.0,26761765000.0,27187296000.0,27122772000.0
2033.0,26034575000.0,26350504000.0,26506068000.0,27004717000.0,26919416000.0
2034.0,25609249000.0,26020280000.0,26361590000.0,26825680000.0,27184850000.0
2035.0,25236662000.0,25830850000.0,25997490000.0,26680020000.0,26826050000.0
2036.0,24970650000.0,25604379000.0,25856950000.0,27166575000.0,26551431000.0
2037.0,24680397000.0,25455546000.0,25924082000.0,26426325000.0,26389213000.0
2038.0,24394470000.0,25151980000.0,25545863000.0,26420648000.0,26140064000.0
2039.0,24315689000.0,24916955000.0,25637175000.0,26235111000.0,25919592000.0
2040.0,24303819000.0,24624433000.0,25998268000.0,26127815000.0,25823832000.0
2041.0,23820026000.0,24422715000.0,25322211000.0,26095640000.0,25706043000.0
2042.0,23767190000.0,24247548000.0,25099119000.0,25850280000.0,25675962000.0
2043.0,23423283000.0,23964064000.0,24905890000.0,25864581000.0,25401470000.0
2044.0,23264473000.0,23796079000.0,24835210000.0,25754712000.0,25302680000.0
2045.0,22970755000.0,23898012000.0,24692120000.0,25637495000.0,25096045000.0
2046.0,22721716000.0,23509955000.0,24479040000.0,26140088000.0,25013537000.0
2047.0,22344702000.0,23263290000.0,24313639000.0,26035872000.0,24829135000.0
2048.0,22239113000.0,23204820000.0,24088875000.0,25478334000.0,24685570000.0
2049.0,21983099000.0,22880223000.0,24465983000.0,25280233000.0,24543945000.0
2050.0,21833224000.0,22617426000.0,23835142000.0,25315095000.0,24592368000.0
2051.0,21602769000.0,22735143000.0,24014570000.0,25169064000.0,24306532000.0
2052.0,21406368000.0,22389223000.0,23577280000.0,24910590000.0,24180953000.0
2053.0,21261025000.0,22290774000.0,23434015000.0,24952890000.0,23974275000.0
2054.0,21000120000.0,22369888000.0,23294884000.0,24731802000.0,23947708000.0
2055.0,20791382000.0,22453957000.0,23262130000.0,24736893000.0,23786686000.0
2056.0,20618705000.0,22166380000.0,23206742000.0,24962791000.0,23840094000.0
2057.0,20516012000.0,21938614000.0,22938532000.0,24766108000.0,23810994000.0
2058.0,20200630000.0,21810332000.0,22790621000.0,24664971000.0,23505222000.0
2059.0,20149430000.0,21613038000.0,22702240000.0,24564163000.0,23527287000.0
2060.0,21232720000.0,21780967000.0,22884028000.0,24827247000.0,23363990000.0
2061.0,20299028000.0,21487647000.0,22640857000.0,24605930000.0,23265680000.0
2062.0,19767296000.0,21341608000.0,23424686000.0,24405727000.0,23102976000.0
2063.0,19850633000.0,21224990000.0,23591465000.0,24197753000.0,23092031000.0
2064.0,19493511000.0,21120870000.0,22650479000.0,24074068000.0,22892032000.0
2065.0,19587189000.0,21027047000.0,22435283000.0,24089258000.0,22779970000.0
2066.0,19417561000.0,20943591000.0,22672517000.0,23999914000.0,22706926000.0
2067.0,19321900000.0,22148028000.0,22309956000.0,24176847000.0,23231703000.0
2068.0,19153811000.0,21550944000.0,22173270000.0,24269988000.0,22723576000.0
2069.0,18998004000.0,20998298000.0,21980020000.0,23857445000.0,22657825000.0
2070.0,18846388000.0,21376152000.0,21949905000.0,23898278000.0,22412046000.0
2071.0,18690593000.0,20769133000.0,22574400000.0,23788580000.0,23063675000.0
2072.0,19080182000.0,20653908000.0,22019360000.0,23574587000.0,22352337000.0
2073.0,18434320000.0,20477733000.0,21671412000.0,23632700000.0,22316265000.0
2074.0,18374890000.0,20411425000.0,21885725000.0,23472824000.0,22319204000.0
2075.0,18232463000.0,20399968000.0,21566734000.0,23387310000.0,22310226000.0
2076.0,18075722000.0,20282739000.0,21405438000.0,23322997000.0,22207867000.0
2077.0,18052917000.0,20208138000.0,21361830000.0,23403740000.0,22194907000.0
2078.0,17849405000.0,20362463000.0,21198344000.0,23344175000.0,22174900000.0
2079.0,18777397000.0,20026438000.0,21285564000.0,23063777000.0,21860913000.0
2080.0,19000218000.0,20209123000.0,21008734000.0,22978040000.0,21783794000.0
2081.0,18726330000.0,20051843000.0,21369702000.0,22874750000.0,21778303000.0
2082.0,18359605000.0,19820954000.0,21177326000.0,22786318000.0,21640790000.0
2083.0,17743565000.0,19759618000.0,21454381000.0,22681793000.0,22110917000.0
2084.0,18482010000.0,19616842000.0,21090670000.0,22675495000.0,21545620000.0
2085.0,18399027000.0,19514978000.0,20798108000.0,22620199000.0,22241124000.0
2086.0,17607790000.0,19539206000.0,20694987000.0,22386352000.0,21411547000.0
2087.0,17376125000.0,19664284000.0,20608930000.0,22480005000.0,21268850000.0
2088.0,17195325000.0,19448900000.0,20426891000.0,22552988000.0,21220147000.0
2089.0,17133013000.0,19236310000.0,20360358000.0,22413165000.0,21745170000.0
2090.0,17047235000.0,19153100000.0,20564808000.0,22250848000.0,21072187000.0
2091.0,16945955000.0,19069350000.0,20164424000.0,22755328000.0,21138344000.0
2092.0,16849831000.0,19014530000.0,20191840000.0,22232498000.0,21040340000.0
2093.0,16952250000.0,18922842000.0,19973065000.0,22028160000.0,21803616000.0
2094.0,16737613000.0,18855815000.0,20191826000.0,22052753000.0,20995537000.0
2095.0,16849803000.0,19063247000.0,20586290000.0,22131014000.0,22325440000.0
2096.0,16661035000.0,19549143000.0,19986248000.0,22400248000.0,21114335000.0
2097.0,16496075000.0,18783930000.0,19811373000.0,21827100000.0,21033322000.0
2098.0,16507062000.0,18861834000.0,19820442000.0,21595722000.0,20652857000.0
2099.0,16564060000.0,18676713000.0,20553474000.0,21533256000.0,20611600000.0
2100.0,16719493000.0,18578980000.0,19777047000.0,21565458000.0,21311150000.0
