time,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,CESM1-CAM5,CCSM4
2000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0
2001.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0
2002.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0
2003.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0
2004.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0
2005.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0
2006.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0
2007.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0
2008.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0
2009.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0
2010.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0
2011.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0
2012.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0
2013.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0
2014.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0
2015.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0
2016.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0
2017.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0
2018.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0
2019.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0
2020.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0
2021.0,134776190000.0,134652854000.0,134441510000.0,134594290000.0,134804530000.0,135387726000.0,134506310000.0,135002040000.0,134400524000.0,134370560000.0,134712640000.0
2022.0,134587060000.0,134579570000.0,134600380000.0,134388020000.0,135351690000.0,134875590000.0,134975380000.0,134508780000.0,134437224000.0,134318380000.0,134725894000.0
2023.0,134648190000.0,134367900000.0,134760700000.0,134569460000.0,134554804000.0,134413230000.0,134689415000.0,134285980000.0,134622750000.0,134200090000.0,134413310000.0
2024.0,134474010000.0,134806160000.0,134678300000.0,134340820000.0,134514190000.0,134406685000.0,135260380000.0,134455640000.0,134215200000.0,134178320000.0,134618800000.0
2025.0,134097580000.0,134669590000.0,134372614000.0,134566800000.0,133648010000.0,134172140000.0,134297500000.0,133884084000.0,134280585000.0,134139710000.0,134388850000.0
2026.0,134005424000.0,134568740000.0,134233930000.0,135960830000.0,133490830000.0,134230060000.0,134699490000.0,133706470000.0,134363210000.0,134052454000.0,134061960000.0
2027.0,134014110000.0,134065440000.0,134138460000.0,138120870000.0,133467040000.0,134167140000.0,134320685000.0,133704385000.0,134733820000.0,133568954000.0,134571065000.0
2028.0,134133200000.0,133863780000.0,134564810000.0,138258780000.0,133524955000.0,134549910000.0,134071340000.0,133624185000.0,135217620000.0,133372450000.0,133629000000.0
2029.0,134072120000.0,133779325000.0,133768680000.0,136641630000.0,133494890000.0,135544275000.0,133719780000.0,133390836000.0,134527730000.0,133603390000.0,133560975000.0
2030.0,134035186000.0,133796954000.0,133703090000.0,135456050000.0,133539600000.0,134483575000.0,133733040000.0,133378480000.0,133885720000.0,133436270000.0,133764260000.0
2031.0,133831660000.0,134084000000.0,133626634000.0,134850430000.0,133588570000.0,134556460000.0,133815790000.0,133094924000.0,133671000000.0,133383590000.0,133510636000.0
2032.0,133760730000.0,134161180000.0,133699125000.0,134860644000.0,133977820000.0,134365720000.0,133437530000.0,132893970000.0,133520966000.0,132869850000.0,133213490000.0
2033.0,133832490000.0,133732010000.0,133514410000.0,134611690000.0,134229850000.0,134771180000.0,133319795000.0,132903485000.0,133138000000.0,132921550000.0,133116990000.0
2034.0,133684986000.0,133416624000.0,133349320000.0,134326985000.0,133343300000.0,134652690000.0,133283570000.0,132842910000.0,133249540000.0,132735760000.0,132963615000.0
2035.0,134172960000.0,133442060000.0,133254595000.0,134566240000.0,133489975000.0,133961900000.0,133001560000.0,133022460000.0,133069010000.0,132341460000.0,133051466000.0
2036.0,133574800000.0,133465420000.0,133083324000.0,134129110000.0,133035260000.0,134630320000.0,133235610000.0,132593700000.0,132973920000.0,132686684000.0,132875660000.0
2037.0,133342600000.0,133376280000.0,133440050000.0,134988040000.0,133371610000.0,134201990000.0,133220155000.0,132869120000.0,132812070000.0,132652300000.0,132794380000.0
2038.0,133860710000.0,133064570000.0,133253915000.0,135089280000.0,132937530000.0,133830074000.0,132964040000.0,132879140000.0,132563304000.0,132628190000.0,132503990000.0
2039.0,134025806000.0,133249270000.0,132995580000.0,135031180000.0,132650040000.0,133755190000.0,133529650000.0,132201660000.0,132986356000.0,132035530000.0,132448300000.0
2040.0,134546964000.0,133583660000.0,133085905000.0,135308706000.0,132475590000.0,133497640000.0,132748780000.0,132167730000.0,132310170000.0,131823485000.0,132589306000.0
2041.0,134351045000.0,133167990000.0,133721890000.0,137207780000.0,132761100000.0,133462680000.0,132976960000.0,131904905000.0,132532870000.0,131539290000.0,132250500000.0
2042.0,134293530000.0,133048440000.0,133161840000.0,136133796000.0,132428500000.0,133701870000.0,132683850000.0,131809300000.0,132081120000.0,131105870000.0,132217700000.0
2043.0,133665170000.0,132922070000.0,132888175000.0,135417545000.0,133083290000.0,133240930000.0,132300750000.0,131780570000.0,131747830000.0,130881130000.0,132135910000.0
2044.0,133686310000.0,132878450000.0,132542590000.0,134651030000.0,132514570000.0,133077720000.0,132222706000.0,131883160000.0,131770515000.0,130761785000.0,132002730000.0
2045.0,133518480000.0,132978570000.0,132250620000.0,134580390000.0,132399760000.0,133048650000.0,131998900000.0,131508310000.0,131679085000.0,130633860000.0,132429600000.0
2046.0,133663420000.0,133253700000.0,132263200000.0,136312095000.0,132414430000.0,133558380000.0,131800875000.0,131478300000.0,131707170000.0,130503000000.0,131892970000.0
2047.0,133231830000.0,132698325000.0,132152720000.0,139758300000.0,131968530000.0,133609860000.0,131841270000.0,131277630000.0,131784000000.0,130232230000.0,131751460000.0
