time,GFDL-CM3,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,IPSL-CM5A-LR,CANESM2
2000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0
2001.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0
2002.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0
2003.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0
2004.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0
2005.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0
2006.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0
2007.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0
2008.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0
2009.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0
2010.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0
2011.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0
2012.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0
2013.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0
2014.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0
2015.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0
2016.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0
2017.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0
2018.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0
2019.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0
2020.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0
2021.0,134503730000.0,134716790000.0,134511290000.0,135727610000.0,134580500000.0,134642080000.0,135350980000.0,134652805000.0,134387590000.0,134931020000.0
2022.0,134616630000.0,134440210000.0,134642885000.0,135275360000.0,134534900000.0,134679134000.0,135117290000.0,134568075000.0,134470780000.0,134584210000.0
2023.0,134798020000.0,134237810000.0,134520740000.0,135182500000.0,134456120000.0,134380940000.0,134796575000.0,134468500000.0,134778110000.0,134677960000.0
2024.0,138792500000.0,134204604000.0,135061225000.0,134799070000.0,134138240000.0,133930500000.0,134833210000.0,134177080000.0,134605290000.0,134221275000.0
2025.0,138704000000.0,134018960000.0,134398980000.0,134566380000.0,134600060000.0,133749465000.0,134651600000.0,134408140000.0,134671385000.0,134139940000.0
2026.0,137941800000.0,133990334000.0,134252495000.0,134249950000.0,133738730000.0,133936140000.0,134573515000.0,134519350000.0,134145786000.0,133973120000.0
