time,GFDL-CM3,NORESM1-M,GFDL-ESM2G,CCSM4,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0
2001.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0
2002.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0
2003.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0
2004.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0
2005.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0
2006.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0
2007.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0
2008.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0
2009.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0
2010.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0
2011.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0
2012.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0
2013.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0
2014.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0
2015.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0
2016.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0
2017.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0
2018.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0
2019.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0
2020.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0
2021.0,135644365000.0,134705290000.0,134917820000.0,134906740000.0,134814605000.0,134635910000.0,134467370000.0
2022.0,134663365000.0,134637370000.0,134551460000.0,134980346000.0,134535450000.0,134548080000.0,134487840000.0
2023.0,134765280000.0,134397860000.0,134447660000.0,134333374000.0,134428460000.0,134558950000.0,134568270000.0
2024.0,134709680000.0,134455750000.0,134285870000.0,134316170000.0,134240485000.0,134373564000.0,134576690000.0
2025.0,134725575000.0,135019590000.0,134574240000.0,134147790000.0,134071110000.0,134140215000.0,134168035000.0
2026.0,135439335000.0,134673785000.0,134746340000.0,134339720000.0,134037500000.0,134151060000.0,133738710000.0
2027.0,136050810000.0,134456705000.0,135097400000.0,133761950000.0,134006235000.0,134078456000.0,134508860000.0
2028.0,137989160000.0,134412280000.0,135262950000.0,133767660000.0,134501780000.0,133675580000.0,134073704000.0
2029.0,137045910000.0,134113894000.0,134688760000.0,133779250000.0,134516030000.0,133596750000.0,134547990000.0
2030.0,135834034000.0,133796635000.0,133985890000.0,133670790000.0,134103260000.0,133832150000.0,133865390000.0
2031.0,136172910000.0,133823350000.0,134025700000.0,133571020000.0,134467390000.0,133445180000.0,133955540000.0
2032.0,136208310000.0,133658140000.0,133713854000.0,133605550000.0,133761620000.0,133353775000.0,133696340000.0
2033.0,137082760000.0,133608390000.0,133598560000.0,133131300000.0,133470210000.0,133387630000.0,133416850000.0
2034.0,137443460000.0,133439500000.0,133689740000.0,132965780000.0,133230030000.0,133290460000.0,133312560000.0
2035.0,135942780000.0,133369000000.0,133849160000.0,132875670000.0,133525815000.0,133023195000.0,133222710000.0
2036.0,135386400000.0,133355140000.0,133584240000.0,132943850000.0,133479965000.0,133004300000.0,133075616000.0
2037.0,136046050000.0,132951490000.0,133431600000.0,132906220000.0,133185085000.0,133107530000.0,132649110000.0
2038.0,138173550000.0,133109320000.0,133938950000.0,132706830000.0,133054200000.0,133012500000.0,132905410000.0
2039.0,137113210000.0,132809320000.0,133697790000.0,132516540000.0,133055030000.0,133180680000.0,133386660000.0
2040.0,136052340000.0,132969685000.0,133575370000.0,132700880000.0,133992325000.0,132990420000.0,133274305000.0
2041.0,135543910000.0,132788050000.0,133156380000.0,132536660000.0,132917700000.0,132887050000.0,133739550000.0
2042.0,134959006000.0,132485170000.0,132984850000.0,132567286000.0,132593580000.0,132565990000.0,133081285000.0
2043.0,134777180000.0,132451934000.0,133044600000.0,132195836000.0,132917560000.0,132221510000.0,132550600000.0
2044.0,135120940000.0,132669580000.0,133595860000.0,131991030000.0,132613720000.0,132120530000.0,132475910000.0
2045.0,134608680000.0,132195975000.0,132997940000.0,132002275000.0,132808010000.0,132331000000.0,132328645000.0
2046.0,135151280000.0,132200710000.0,132939874000.0,131783670000.0,132706705000.0,131983065000.0,132197860000.0
2047.0,134698844000.0,132079830000.0,132826480000.0,131700560000.0,132433215000.0,131987325000.0,132412735000.0
2048.0,134551950000.0,132218315000.0,132966015000.0,131370590000.0,132200400000.0,131669600000.0,132958900000.0
2049.0,134334840000.0,132078535000.0,132726610000.0,131192160000.0,132121920000.0,131517060000.0,132252220000.0
2050.0,134397980000.0,131866000000.0,132648500000.0,131081904000.0,132035840000.0,131371680000.0,131922410000.0
2051.0,134298770000.0,131771450000.0,133528950000.0,130912560000.0,131810810000.0,131186080000.0,132187914000.0
2052.0,134422086000.0,131577635000.0,133395690000.0,130703890000.0,131823190000.0,130868410000.0,131741550000.0
2053.0,134369710000.0,131341590000.0,132659710000.0,130625670000.0,131393070000.0,130765600000.0,131568200000.0
2054.0,134065690000.0,131572285000.0,133325770000.0,130375500000.0,131576000000.0,130585440000.0,131200430000.0
2055.0,134121140000.0,130844410000.0,133105370000.0,130164830000.0,131216010000.0,130302970000.0,131372720000.0
2056.0,133832516000.0,131279086000.0,132936250000.0,129992980000.0,131456520000.0,130137700000.0,131068830000.0
2057.0,133978510000.0,130923405000.0,132490486000.0,129886500000.0,131324160000.0,130155790000.0,130729255000.0
2058.0,134201385000.0,130631246000.0,132410880000.0,129826380000.0,131155560000.0,129831756000.0,130439270000.0
2059.0,134545785000.0,130515845000.0,132312105000.0,129560980000.0,130858254000.0,129681080000.0,130250670000.0
2060.0,134115930000.0,130506960000.0,132409460000.0,129427620000.0,130838266000.0,129519930000.0,129905980000.0
2061.0,134026140000.0,130339670000.0,132464180000.0,129069220000.0,130880270000.0,129274770000.0,130088080000.0
2062.0,137243870000.0,130047830000.0,132154910000.0,129121860000.0,130519196000.0,129964650000.0,129956770000.0
2063.0,135356720000.0,130013710000.0,131946380000.0,128631480000.0,130412840000.0,128768030000.0,130142830000.0
2064.0,135492624000.0,130174720000.0,132082910000.0,128571105000.0,131535580000.0,128362316000.0,129637460000.0
2065.0,135335360000.0,129789080000.0,131864600000.0,128479650000.0,130802670000.0,127976820000.0,130146940000.0
2066.0,135974050000.0,129483870000.0,131643850000.0,128351674000.0,130582970000.0,128205970000.0,129281830000.0
2067.0,135075890000.0,129305444000.0,131774720000.0,127879240000.0,130011130000.0,127715934000.0,129096610000.0
2068.0,135013490000.0,129559840000.0,131655680000.0,127604390000.0,129975510000.0,127028314000.0,129367650000.0
2069.0,134215025000.0,129868400000.0,131363770000.0,127151735000.0,129767890000.0,126739120000.0,128922220000.0
2070.0,133875786000.0,129163910000.0,131311460000.0,126968630000.0,130146520000.0,126356450000.0,128574850000.0
2071.0,133839190000.0,129342800000.0,131511110000.0,127065170000.0,129445280000.0,126081120000.0,128391180000.0
2072.0,133761750000.0,128691040000.0,131138930000.0,126534140000.0,129239245000.0,125660370000.0,128165300000.0
2073.0,133730650000.0,128600190000.0,130961940000.0,126390845000.0,129006480000.0,125311950000.0,128123535000.0
2074.0,133496040000.0,128013020000.0,130795750000.0,125963070000.0,129441030000.0,124970000000.0,128059060000.0
2075.0,133531850000.0,127528790000.0,130655340000.0,125644980000.0,128976800000.0,124608094000.0,128031290000.0
2076.0,134059750000.0,127272800000.0,130496620000.0,125346370000.0,128557410000.0,124280500000.0,127365180000.0
2077.0,133662780000.0,127154820000.0,130366180000.0,125086350000.0,128374090000.0,124068225000.0,127261500000.0
2078.0,133714870000.0,127125815000.0,130272240000.0,124892140000.0,128038730000.0,123472585000.0,127092990000.0
2079.0,133352400000.0,126972850000.0,130151980000.0,124508370000.0,127837630000.0,123052090000.0,127064310000.0
2080.0,133412870000.0,126938760000.0,130124710000.0,124318340000.0,127789375000.0,122912300000.0,126521200000.0
2081.0,133538415000.0,126710580000.0,130190836000.0,123958410000.0,127791440000.0,121975680000.0,126487740000.0
2082.0,133332115000.0,126429030000.0,129797505000.0,123802970000.0,127449730000.0,121586426000.0,126340660000.0
2083.0,133534380000.0,126404320000.0,129607500000.0,123059250000.0,127272450000.0,120796270000.0,125866240000.0
2084.0,133798350000.0,126094066000.0,129296515000.0,122558730000.0,127105335000.0,120408100000.0,125693860000.0
2085.0,133129806000.0,125806160000.0,129661470000.0,122583300000.0,126981520000.0,119872545000.0,125404320000.0
2086.0,134105735000.0,125705390000.0,129420070000.0,122161640000.0,126695960000.0,119243590000.0,125481550000.0
2087.0,133685160000.0,125509750000.0,129150140000.0,121869730000.0,126442594000.0,118628760000.0,125151445000.0
2088.0,133457760000.0,125119610000.0,128655150000.0,121438870000.0,126546600000.0,118079620000.0,124763570000.0
2089.0,132924520000.0,124841630000.0,128729150000.0,120963230000.0,126025740000.0,117514860000.0,124895200000.0
2090.0,133001510000.0,124448970000.0,128636890000.0,120531110000.0,125960150000.0,116836300000.0,124056720000.0
2091.0,132722190000.0,124294790000.0,128610886000.0,119794310000.0,125711270000.0,116003200000.0,123926050000.0
2092.0,132539390000.0,123966750000.0,128377905000.0,119338746000.0,125936940000.0,115308440000.0,123494070000.0
2093.0,132487490000.0,123684766000.0,128319480000.0,118712140000.0,125390310000.0,114616060000.0,123412110000.0
2094.0,132340930000.0,123400750000.0,127954756000.0,118135490000.0,125242940000.0,113874625000.0,123110880000.0
2095.0,132381800000.0,123091880000.0,127870165000.0,117697430000.0,125072065000.0,113171220000.0,122531230000.0
2096.0,132302150000.0,122850345000.0,127937630000.0,117101350000.0,124771760000.0,112658520000.0,122624530000.0
2097.0,132345300000.0,122527230000.0,127576690000.0,116606050000.0,124318270000.0,112057150000.0,122335270000.0
2098.0,132219180000.0,122163270000.0,127469120000.0,116003000000.0,124067000000.0,111634510000.0,121865840000.0
2099.0,132361680000.0,121711165000.0,127346500000.0,115510710000.0,123641220000.0,110924830000.0,121479315000.0
2100.0,131947250000.0,121786860000.0,127481050000.0,115050310000.0,123619460000.0,110175430000.0,121250824000.0
