time,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,MRI-ESM2-0,CANESM5
2045.0,82458600000.0,82457690000.0,81706070000.0,82187910000.0,81468130000.0,79678600000.0
2046.0,81750974000.0,82139730000.0,81210800000.0,81674560000.0,80941890000.0,78910680000.0
2047.0,81256645000.0,81629550000.0,81241140000.0,81295385000.0,80412790000.0,78047170000.0
2048.0,80910350000.0,81347980000.0,80474460000.0,80972890000.0,79757240000.0,77421650000.0
2049.0,80208314000.0,80992800000.0,79977540000.0,80409076000.0,79234500000.0,76667140000.0
2050.0,79710690000.0,80616520000.0,79457080000.0,79827240000.0,78604345000.0,76003885000.0
2051.0,79467770000.0,80214565000.0,79193650000.0,79524000000.0,78116610000.0,75194300000.0
2052.0,78957090000.0,79661090000.0,78578410000.0,78785520000.0,77560390000.0,74319790000.0
2053.0,78176985000.0,79222370000.0,78067880000.0,78276846000.0,76962790000.0,73567450000.0
2054.0,77519176000.0,78784610000.0,77635270000.0,77660320000.0,76304990000.0,72810004000.0
2055.0,76728850000.0,78099100000.0,77195290000.0,76940214000.0,75563650000.0,71937610000.0
2056.0,75974600000.0,77532070000.0,76665450000.0,76712420000.0,75051200000.0,71109910000.0
2057.0,75226070000.0,76943250000.0,76070210000.0,76001700000.0,74492160000.0,70211630000.0
2058.0,74576036000.0,76420910000.0,75525760000.0,75513540000.0,73812886000.0,69434270000.0
2059.0,74320355000.0,76003200000.0,75102290000.0,74862985000.0,73231884000.0,68663456000.0
2060.0,73428640000.0,75395890000.0,74573680000.0,74049470000.0,72629300000.0,67722105000.0
2061.0,72674340000.0,74599965000.0,73948780000.0,73314110000.0,71816260000.0,66774778000.0
2062.0,73162875000.0,74025665000.0,73318280000.0,72747835000.0,71089630000.0,65683090000.0
2063.0,71583830000.0,73356000000.0,72697260000.0,71923925000.0,70489330000.0,64744055000.0
2064.0,70704005000.0,72808690000.0,72104750000.0,71236920000.0,69658840000.0,63719522000.0
2065.0,69987110000.0,72200495000.0,71472830000.0,70518320000.0,69389250000.0,62729190000.0
2066.0,69314400000.0,71717120000.0,71227270000.0,69770535000.0,68842520000.0,61654920000.0
2067.0,68719194000.0,71049440000.0,70444294000.0,69072180000.0,68045877000.0,60881363000.0
2068.0,67840897000.0,70554760000.0,69893095000.0,68583645000.0,67346780000.0,59989820000.0
2069.0,67273760000.0,70000470000.0,69082050000.0,67521626000.0,66692678000.0,58930890000.0
2070.0,66549150000.0,69341040000.0,68532620000.0,66588410000.0,66104914000.0,57970414000.0
2071.0,66484190000.0,68605080000.0,67942027000.0,65862935000.0,65257240000.0,56852830000.0
2072.0,65146606000.0,67962610000.0,67138736000.0,65199165000.0,64384537000.0,55634380000.0
2073.0,65331397000.0,67230160000.0,66340774000.0,64204116000.0,63749520000.0,54728405000.0
2074.0,63744573000.0,66434355000.0,65646950000.0,63207080000.0,62879322000.0,53674066000.0
2075.0,63026192000.0,65671610000.0,64811220000.0,62249996000.0,62072780000.0,52629180000.0
2076.0,62171580000.0,65013002000.0,64048476000.0,61283783000.0,61302850000.0,51415237000.0
2077.0,61251630000.0,64385060000.0,63748452000.0,60414775000.0,60397260000.0,50231550000.0
2078.0,60574380000.0,63677858000.0,62584090000.0,59137266000.0,59784884000.0,49216970000.0
2079.0,59784868000.0,62993830000.0,61635162000.0,57980700000.0,58746167000.0,47852245000.0
2080.0,59100885000.0,62137663000.0,60744536000.0,56798240000.0,57832444000.0,46849900000.0
2081.0,58038854000.0,61445734000.0,59908362000.0,55908753000.0,56975420000.0,45762822000.0
2082.0,57165025000.0,60729840000.0,58945503000.0,54663844000.0,56101642000.0,44587380000.0
2083.0,56247235000.0,59723440000.0,58076086000.0,53515014000.0,55468230000.0,43742503000.0
2084.0,55516504000.0,58917190000.0,57171440000.0,52306612000.0,54665384000.0,42575930000.0
2085.0,55043540000.0,58077938000.0,56599630000.0,51233740000.0,53742686000.0,41528550000.0
2086.0,54234472000.0,57485414000.0,55719430000.0,49962275000.0,52756537000.0,40429957000.0
2087.0,53149962000.0,56704350000.0,54797525000.0,48897266000.0,51657780000.0,39270600000.0
2088.0,52351898000.0,55509610000.0,53874960000.0,47679427000.0,50629960000.0,38169068000.0
2089.0,51532850000.0,54478200000.0,53383430000.0,46672450000.0,49379557000.0,37197038000.0
2090.0,50313667000.0,53714400000.0,52459950000.0,45665526000.0,48277200000.0,36267127000.0
2091.0,49192882000.0,52809576000.0,51490990000.0,44558934000.0,47230310000.0,35205825000.0
2092.0,48032887000.0,51823337000.0,50612154000.0,43211790000.0,46160433000.0,34369696000.0
2093.0,46921884000.0,50912190000.0,49624347000.0,41978413000.0,45163766000.0,33302258000.0
2094.0,46401737000.0,49877390000.0,48811890000.0,40739885000.0,44650947000.0,32472890000.0
2095.0,45745920000.0,49012978000.0,47827423000.0,39540367000.0,43654623000.0,31566998000.0
2096.0,44815400000.0,48254652000.0,46773584000.0,38341400000.0,42542703000.0,30402482000.0
2097.0,43884070000.0,47307035000.0,45956256000.0,37298565000.0,41592136000.0,29281303000.0
2098.0,42970820000.0,46189890000.0,46591060000.0,36249928000.0,40466784000.0,28303170000.0
