time,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2026.0,83391510000.0,83374670000.0,82877020000.0,83561420000.0,83990750000.0,83636780000.0
2027.0,83004965000.0,82954130000.0,82139010000.0,83271524000.0,83615540000.0,83318590000.0
2028.0,82586780000.0,82395234000.0,81353245000.0,82715120000.0,83331850000.0,83078570000.0
2029.0,82087650000.0,81644880000.0,80799720000.0,82133385000.0,82831830000.0,82572984000.0
2030.0,81254990000.0,80919870000.0,80393550000.0,81396380000.0,82365060000.0,82355520000.0
2031.0,80497480000.0,80434330000.0,79728360000.0,80390030000.0,81864920000.0,81522480000.0
2032.0,79897440000.0,79885170000.0,79220620000.0,79829400000.0,81119720000.0,80888510000.0
2033.0,79131860000.0,79392640000.0,78662580000.0,79490890000.0,80588090000.0,80294950000.0
2034.0,78367680000.0,78567916000.0,77835630000.0,79029640000.0,79901340000.0,79977060000.0
2035.0,77714540000.0,77847060000.0,76910035000.0,78830500000.0,79321360000.0,79944560000.0
2036.0,77305050000.0,76923404000.0,76334120000.0,78122300000.0,78692150000.0,79232180000.0
2037.0,76390360000.0,76066620000.0,75532894000.0,77294340000.0,77847160000.0,78766140000.0
2038.0,75915940000.0,75260110000.0,74524360000.0,76412300000.0,77525615000.0,77756570000.0
2039.0,74741030000.0,75197250000.0,73966360000.0,75863580000.0,76843295000.0,76997570000.0
2040.0,73803964000.0,74465270000.0,74253074000.0,74941460000.0,75939095000.0,76156290000.0
2041.0,72853450000.0,73457310000.0,73010390000.0,74321660000.0,75039230000.0,75614280000.0
2042.0,72076900000.0,72720900000.0,71966750000.0,73693650000.0,74419270000.0,74647330000.0
2043.0,71489030000.0,71733540000.0,71053780000.0,73371640000.0,73450600000.0,74033816000.0
2044.0,70852985000.0,70945870000.0,70422100000.0,72565900000.0,72415820000.0,73313804000.0
2045.0,70290930000.0,70015680000.0,69694470000.0,71656040000.0,71387870000.0,72610546000.0
2046.0,69795700000.0,69083620000.0,68819280000.0,70631830000.0,70468485000.0,72082890000.0
2047.0,68654895000.0,68229894000.0,68492900000.0,69484995000.0,69582260000.0,71396410000.0
2048.0,68097348000.0,67583350000.0,67228516000.0,68795410000.0,68455567000.0,70644310000.0
2049.0,67394830000.0,66906923000.0,66101560000.0,67698622000.0,67524047000.0,69910610000.0
2050.0,66804048000.0,65988480000.0,65198383000.0,66688730000.0,66585866000.0,69257480000.0
2051.0,66688487000.0,65115590000.0,64610443000.0,66315140000.0,65663332000.0,68510740000.0
2052.0,65612026000.0,64447308000.0,64035357000.0,64856166000.0,64667250000.0,68465254000.0
2053.0,64675275000.0,63634715000.0,63376663000.0,63946580000.0,63788356000.0,67653935000.0
2054.0,63782035000.0,62704370000.0,62153867000.0,62768840000.0,62914830000.0,66945060000.0
2055.0,62814417000.0,61868528000.0,61074862000.0,61739377000.0,62074958000.0,66251665000.0
2056.0,61944807000.0,60822884000.0,60228747000.0,60963970000.0,61178340000.0,65684353000.0
2057.0,60884060000.0,59742450000.0,59250643000.0,59894075000.0,60006216000.0,65087230000.0
2058.0,59932550000.0,58968236000.0,58503287000.0,59004180000.0,58949698000.0,64285475000.0
2059.0,58894850000.0,58031014000.0,57749620000.0,57869038000.0,58135945000.0,63578563000.0
2060.0,57895440000.0,57210220000.0,56764047000.0,56610550000.0,57228840000.0,62685585000.0
2061.0,56877460000.0,56390373000.0,55729426000.0,55629950000.0,56218477000.0,62039770000.0
2062.0,56279770000.0,55518060000.0,54797816000.0,54310908000.0,55204364000.0,61448475000.0
2063.0,55332356000.0,54540690000.0,53957906000.0,53405557000.0,54344245000.0,60717720000.0
2064.0,54609474000.0,53639176000.0,53009215000.0,52274668000.0,53510414000.0,59830470000.0
2065.0,53697987000.0,52790596000.0,51897750000.0,51150086000.0,52523553000.0,59409020000.0
2066.0,52631830000.0,52069740000.0,50675954000.0,49727295000.0,51810054000.0,58689933000.0
2067.0,51912946000.0,51151856000.0,49366258000.0,48296260000.0,50712080000.0,58194190000.0
2068.0,51075120000.0,50157216000.0,48132830000.0,47116136000.0,49917542000.0,57596002000.0
2069.0,49997537000.0,49157976000.0,47200535000.0,46259080000.0,49196190000.0,57207693000.0
2070.0,48672526000.0,48292323000.0,46538166000.0,45161947000.0,48319400000.0,56754815000.0
2071.0,47671900000.0,47441916000.0,45277377000.0,44082045000.0,47378272000.0,56071160000.0
2072.0,46483407000.0,46597984000.0,44094680000.0,42929500000.0,46435807000.0,55391160000.0
2073.0,45546045000.0,45732397000.0,42779930000.0,42131546000.0,45546193000.0,54761010000.0
2074.0,44595910000.0,44828484000.0,41718470000.0,41348354000.0,44544844000.0,54223745000.0
2075.0,43834896000.0,43906208000.0,40289796000.0,40425533000.0,43692870000.0,53630947000.0
2076.0,43273056000.0,43252470000.0,38977626000.0,39599567000.0,42966080000.0,52960230000.0
2077.0,42263876000.0,42402610000.0,37467693000.0,38757980000.0,42105553000.0,52286590000.0
2078.0,41395716000.0,41577476000.0,36222788000.0,38060360000.0,41475790000.0,51495380000.0
2079.0,40638927000.0,40423100000.0,35096610000.0,37598090000.0,40803713000.0,50782830000.0
2080.0,40042455000.0,39522144000.0,33787746000.0,36689846000.0,40074190000.0,50118975000.0
2081.0,38848942000.0,38571954000.0,32669125000.0,35781714000.0,39254920000.0,49354870000.0
2082.0,37673886000.0,37825110000.0,31683992000.0,34665420000.0,38502457000.0,48670980000.0
2083.0,36803908000.0,37175665000.0,30761206000.0,34025222000.0,37801900000.0,48096096000.0
2084.0,35929465000.0,36389360000.0,29816732000.0,33349868000.0,37103380000.0,47331762000.0
2085.0,35120440000.0,35352207000.0,28749152000.0,32450402000.0,36499450000.0,46738862000.0
