time,CCSM4,CESM1-CAM5,GFDL-ESM2G,GISS-E2-R,NORESM1-M,GFDL-CM3,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0
2001.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0
2002.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0
2003.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0
2004.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0
2005.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0
2006.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0
2007.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0
2008.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0
2009.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0
2010.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0
2011.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0
2012.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0
2013.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0
2014.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0
2015.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0
2016.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0
2017.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0
2018.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0
2019.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0
2020.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0
2021.0,706101500000.0,713915560000.0,709211650000.0,714560050000.0,719285100000.0,693779760000.0,706034200000.0,715513860000.0
2022.0,696938400000.0,699092400000.0,699599550000.0,703567200000.0,713117000000.0,667550200000.0,704476200000.0,701742200000.0
2023.0,690109100000.0,697725800000.0,690181440000.0,696090700000.0,707119600000.0,646876800000.0,698684900000.0,687079400000.0
2024.0,678586000000.0,681773040000.0,675890400000.0,690836700000.0,688879760000.0,630350150000.0,688036500000.0,668918700000.0
2025.0,669705240000.0,677674100000.0,655844000000.0,677022700000.0,677105500000.0,611608040000.0,675394300000.0,649928640000.0
2026.0,660038300000.0,672272550000.0,644221960000.0,659322700000.0,664949360000.0,588336400000.0,663129500000.0,635189000000.0
2027.0,652872600000.0,664816300000.0,640149200000.0,647100300000.0,648266840000.0,568986040000.0,658204070000.0,616122000000.0
2028.0,650387300000.0,649313900000.0,630343860000.0,647100500000.0,643031560000.0,543952930000.0,660172900000.0,601357550000.0
2029.0,639249500000.0,624847100000.0,624900200000.0,647808750000.0,636856400000.0,527286900000.0,656696500000.0,576602700000.0
2030.0,631657660000.0,619196600000.0,621955600000.0,640496500000.0,630656200000.0,510343770000.0,655465900000.0,552302540000.0
2031.0,626002200000.0,603794500000.0,604453670000.0,634856200000.0,614460100000.0,490405000000.0,641053500000.0,541930360000.0
2032.0,618875450000.0,593202900000.0,597239140000.0,615854440000.0,619255200000.0,472622600000.0,638683700000.0,531429650000.0
2033.0,604757900000.0,597614000000.0,585132000000.0,604262000000.0,611812200000.0,461246040000.0,632987250000.0,520757500000.0
2034.0,595173200000.0,586788800000.0,580575170000.0,600339100000.0,604824670000.0,442372360000.0,631937100000.0,498707730000.0
2035.0,576792170000.0,571263750000.0,571914800000.0,594529900000.0,595831200000.0,419878730000.0,631870500000.0,480044150000.0
2036.0,570537600000.0,552328700000.0,561609240000.0,577087730000.0,597016700000.0,401063180000.0,636071700000.0,462841740000.0
2037.0,556992600000.0,536162240000.0,553566140000.0,577129900000.0,592673500000.0,390730060000.0,627033640000.0,446168730000.0
2038.0,548823470000.0,530052200000.0,541982850000.0,567502900000.0,571232550000.0,377850000000.0,623733400000.0,425923500000.0
2039.0,527228300000.0,514519140000.0,530530470000.0,557942960000.0,560450500000.0,365873600000.0,614312050000.0,416108000000.0
2040.0,519219640000.0,510066070000.0,525746400000.0,556839100000.0,553114340000.0,356181500000.0,607501200000.0,396288000000.0
2041.0,511090500000.0,505529860000.0,513872600000.0,549148900000.0,549183720000.0,341390750000.0,606156950000.0,383942520000.0
2042.0,502352670000.0,499376620000.0,506428620000.0,546907900000.0,544386000000.0,331901370000.0,599409560000.0,376049800000.0
2043.0,493894760000.0,492356700000.0,497411230000.0,538664000000.0,531279200000.0,315729440000.0,592843600000.0,368651200000.0
2044.0,486460420000.0,481890730000.0,486084300000.0,540543780000.0,531495160000.0,304966530000.0,592853860000.0,360511440000.0
2045.0,474082400000.0,464892260000.0,473738540000.0,538425700000.0,523406770000.0,291458320000.0,584220400000.0,339937460000.0
2046.0,461746770000.0,457964620000.0,466788780000.0,529376150000.0,520794200000.0,277381740000.0,592939400000.0,323430150000.0
2047.0,457218160000.0,446697570000.0,463464760000.0,516628700000.0,514551800000.0,268638440000.0,585195650000.0,320400750000.0
2048.0,447425500000.0,446291670000.0,453855440000.0,504914050000.0,503179350000.0,260371460000.0,572626600000.0,309306500000.0
2049.0,437697680000.0,441939800000.0,445804200000.0,500483560000.0,490172680000.0,246359020000.0,566717000000.0,293233400000.0
2050.0,426983800000.0,434325900000.0,435265270000.0,492282800000.0,487373670000.0,236661010000.0,573369800000.0,282036440000.0
2051.0,416669370000.0,426066350000.0,422820680000.0,484192940000.0,468269560000.0,229881660000.0,564414500000.0,273512460000.0
2052.0,411248100000.0,417102140000.0,408851870000.0,479700880000.0,463202680000.0,223793840000.0,572714840000.0,272077230000.0
2053.0,407435540000.0,407831200000.0,397165170000.0,471391340000.0,454041370000.0,214855520000.0,555319950000.0,272921460000.0
2054.0,391942140000.0,399525120000.0,400880500000.0,464140270000.0,444929970000.0,210332040000.0,552761200000.0,272866790000.0
2055.0,384133920000.0,388475450000.0,405007930000.0,455297470000.0,432084650000.0,203079940000.0,538814120000.0,263802830000.0
2056.0,375606870000.0,385618840000.0,396592970000.0,451798240000.0,419987550000.0,194157310000.0,529848830000.0,269849620000.0
2057.0,367598730000.0,382609420000.0,389590600000.0,449721070000.0,411239840000.0,187429770000.0,523396320000.0,273882460000.0
2058.0,357626770000.0,379195700000.0,383062770000.0,452148720000.0,399401750000.0,182580040000.0,513433600000.0,265911470000.0
2059.0,352072000000.0,374107370000.0,373860730000.0,451305400000.0,390883540000.0,178792370000.0,496388370000.0,258468600000.0
2060.0,348916320000.0,367930080000.0,370317400000.0,444378900000.0,380699840000.0,170033410000.0,483455340000.0,262242900000.0
2061.0,347491100000.0,364505170000.0,363001940000.0,439964500000.0,373062660000.0,161808380000.0,467118820000.0,255736790000.0
2062.0,344986580000.0,356303040000.0,359526760000.0,436550070000.0,359078040000.0,156625260000.0,455118620000.0,251619050000.0
2063.0,341796100000.0,347478130000.0,351763960000.0,426967760000.0,354130720000.0,153321260000.0,444791060000.0,247470300000.0
2064.0,335181700000.0,336065530000.0,344051300000.0,424190500000.0,349418000000.0,148855010000.0,439059640000.0,238394800000.0
2065.0,327575080000.0,325191370000.0,352138950000.0,419777280000.0,346642320000.0,142900700000.0,427721800000.0,232860240000.0
2066.0,323981770000.0,316180500000.0,346400650000.0,415639180000.0,338243160000.0,138267430000.0,418474700000.0,227443770000.0
2067.0,318180620000.0,304416820000.0,342576230000.0,407715100000.0,328948320000.0,132426916000.0,404033700000.0,215390650000.0
2068.0,310356670000.0,292365340000.0,337287800000.0,398326170000.0,324680840000.0,129755290000.0,392032680000.0,212644500000.0
2069.0,301048000000.0,284001040000.0,327937500000.0,387033000000.0,317971800000.0,124325650000.0,380658900000.0,205229130000.0
2070.0,297163160000.0,279206070000.0,325250060000.0,375725820000.0,308847100000.0,120144700000.0,370774770000.0,201837970000.0
2071.0,288384020000.0,269574880000.0,320526880000.0,367790330000.0,298869820000.0,115140150000.0,356638920000.0,196513970000.0
2072.0,283844020000.0,260498500000.0,308084740000.0,363128460000.0,293752370000.0,111025890000.0,339291280000.0,200889600000.0
2073.0,281484660000.0,253744790000.0,300391900000.0,356080580000.0,281348800000.0,106936800000.0,338194430000.0,196882680000.0
2074.0,277347570000.0,248085990000.0,294923530000.0,353375130000.0,270474790000.0,103371250000.0,325962040000.0,186469140000.0
2075.0,266888940000.0,239258930000.0,288997800000.0,338601000000.0,260351560000.0,100114100000.0,310996500000.0,181896310000.0
2076.0,256385060000.0,229255170000.0,279900650000.0,328405420000.0,256463750000.0,96968650000.0,304991040000.0,181082800000.0
2077.0,247034990000.0,221098360000.0,276473580000.0,319946620000.0,248631720000.0,93425435000.0,308456360000.0,176067600000.0
2078.0,239859550000.0,211842920000.0,275754100000.0,311714220000.0,243020700000.0,91187610000.0,303284500000.0,169172060000.0
2079.0,234385490000.0,206894890000.0,268393040000.0,310056520000.0,238957560000.0,87661806000.0,295042900000.0,161619740000.0
2080.0,231018770000.0,198454250000.0,262459400000.0,305866870000.0,229682270000.0,85311250000.0,284178400000.0,155394210000.0
2081.0,225742780000.0,189940480000.0,257039930000.0,298920740000.0,229551590000.0,82380370000.0,291335770000.0,151829020000.0
2082.0,215771660000.0,185847000000.0,254238850000.0,288176770000.0,224994130000.0,81425360000.0,281591700000.0,148060450000.0
2083.0,211929380000.0,181250640000.0,248192370000.0,283841040000.0,219572010000.0,77897990000.0,273634180000.0,144523870000.0
2084.0,209647830000.0,178613110000.0,247925210000.0,275461900000.0,219000500000.0,76164750000.0,276926170000.0,140033030000.0
2085.0,204056670000.0,175427620000.0,241125950000.0,263234010000.0,211820700000.0,72945656000.0,265662460000.0,134270050000.0
2086.0,196821810000.0,170993170000.0,239571000000.0,255930000000.0,213992300000.0,70775130000.0,258266300000.0,132962280000.0
2087.0,190602400000.0,165863370000.0,238107930000.0,251042760000.0,217952140000.0,69296810000.0,257756560000.0,132594860000.0
2088.0,188325530000.0,160317400000.0,234762290000.0,249013420000.0,210938070000.0,66800886000.0,247449420000.0,127886720000.0
2089.0,186233110000.0,156889710000.0,232161700000.0,243484870000.0,211127500000.0,64693793000.0,235330680000.0,123779590000.0
2090.0,183954620000.0,152591100000.0,225676690000.0,242065300000.0,206758920000.0,63348867000.0,231338840000.0,122765574000.0
2091.0,180195980000.0,148075350000.0,222344450000.0,233385120000.0,200873920000.0,61048975000.0,225903600000.0,115570200000.0
2092.0,176826060000.0,142543240000.0,215774760000.0,224699530000.0,201246110000.0,59872862000.0,216797220000.0,109719890000.0
2093.0,175100800000.0,138425840000.0,211117590000.0,221615920000.0,192903170000.0,58367214000.0,206041870000.0,107660870000.0
2094.0,172797020000.0,132590090000.0,210581910000.0,219170680000.0,185719280000.0,58355495000.0,196963270000.0,104384860000.0
2095.0,168446480000.0,129020930000.0,205797260000.0,214024390000.0,182282940000.0,57225720000.0,191733190000.0,105110880000.0
2096.0,167111300000.0,125916815000.0,200861880000.0,207710680000.0,181065150000.0,57052353000.0,192504790000.0,103698014000.0
2097.0,164739660000.0,121820540000.0,197310800000.0,201101520000.0,177155830000.0,55557624000.0,188247650000.0,98181410000.0
2098.0,162398290000.0,119701000000.0,198067000000.0,198494770000.0,172907150000.0,54796423000.0,181815560000.0,94717880000.0
2099.0,160821540000.0,117427210000.0,195625840000.0,195991540000.0,170573330000.0,54442054000.0,178729900000.0,94934850000.0
2100.0,159351140000.0,115897910000.0,191738990000.0,192014250000.0,168309800000.0,55000940000.0,174008030000.0,90342064000.0
