time,CANESM2,NORESM1-M,MPI-ESM-LR,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-CM3,CNRM-CM5,CCSM4,CESM1-CAM5,GFDL-ESM2G,GISS-E2-R
2000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0
2001.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0
2002.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0
2003.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0
2004.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0
2005.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0
2006.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0
2007.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0
2008.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0
2009.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0
2010.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0
