time,MPI-ESM1-2-HR,NORESM2-MM,FGOALS-F3-L,BCC-CSM2-MR,CMCC-CM2-SR5,GFDL-ESM4,CESM2,EC-EARTH3,MRI-ESM2-0,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,CAMS-CSM1-0,CESM2-WACCM
2000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0
2001.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0
2002.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0
2003.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0
2004.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0
2005.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0
2006.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0
2007.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0
2008.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0
2009.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0
2010.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0
2011.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0
2012.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0
2013.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0
2014.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0
2015.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0
2016.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0
2017.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0
2018.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0
2019.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0
2020.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0
2021.0,18147760000000.0,18054986000000.0,18056980000000.0,18058538000000.0,18147222000000.0,18110506000000.0,18010245000000.0,18072155000000.0,18055550000000.0,18048229000000.0,18085944000000.0,18086755000000.0,18128258000000.0,18079086000000.0
2022.0,18019714000000.0,17906367000000.0,17977718000000.0,17988885000000.0,18080416000000.0,18000959000000.0,17907224000000.0,17943704000000.0,17998755000000.0,17873347000000.0,18023640000000.0,17981700000000.0,18044640000000.0,17829286000000.0
2023.0,17917932000000.0,17753212000000.0,17842305000000.0,17926338000000.0,17921064000000.0,17792963000000.0,17788610000000.0,17804875000000.0,17915179000000.0,17807354000000.0,17875792000000.0,17939779000000.0,17911415000000.0,17630935000000.0
2024.0,17869736000000.0,17665351000000.0,17692487000000.0,17864975000000.0,17824720000000.0,17680700000000.0,17759478000000.0,17644451000000.0,17802572000000.0,17666419000000.0,17751810000000.0,17846992000000.0,17881268000000.0,17455483000000.0
2025.0,17804540000000.0,17608183000000.0,17620598000000.0,17834598000000.0,17712904000000.0,17525211000000.0,17664523000000.0,17517151000000.0,17726550000000.0,17463774000000.0,17616180000000.0,17842785000000.0,17759686000000.0,17276410000000.0
2026.0,17709301000000.0,17605109000000.0,17503419000000.0,17744502000000.0,17734757000000.0,17445600000000.0,17571955000000.0,17284344000000.0,17705925000000.0,17236586000000.0,17553777000000.0,17742525000000.0,17604532000000.0,17017783000000.0
2027.0,17648855000000.0,17542795000000.0,17337392000000.0,17605522000000.0,17715900000000.0,17274552000000.0,17399259000000.0,17122228000000.0,17524232000000.0,17102290000000.0,17442043000000.0,17598536000000.0,17617283000000.0,16834600000000.0
2028.0,17599511000000.0,17397354000000.0,17241158000000.0,17519863000000.0,17572465000000.0,17143371000000.0,17214423000000.0,16960668000000.0,17302322000000.0,16946765000000.0,17362591000000.0,17444042000000.0,17497329000000.0,16591653000000.0
2029.0,17490646000000.0,17246727000000.0,17230195000000.0,17299797000000.0,17450157000000.0,16981365000000.0,17154227000000.0,16708978000000.0,17183665000000.0,16803919000000.0,17247293000000.0,17261305000000.0,17447117000000.0,16393498000000.0
2030.0,17433255000000.0,17106757000000.0,17166224000000.0,17189376000000.0,17372811000000.0,16895399000000.0,16942001000000.0,16554110000000.0,17001300000000.0,16642128000000.0,17173254000000.0,17200416000000.0,17274528000000.0,16282008000000.0
2031.0,17414265000000.0,16866398000000.0,17096715000000.0,17142352000000.0,17330212000000.0,16814608000000.0,16792410000000.0,16446811000000.0,16968803000000.0,16413831000000.0,17051039000000.0,17105258000000.0,17175367000000.0,16201753000000.0
2032.0,17345919000000.0,16727006000000.0,17061559000000.0,17007602000000.0,17238032000000.0,16738733000000.0,16615583000000.0,16290094000000.0,16858932000000.0,16314089000000.0,16903616000000.0,16975515000000.0,16996970000000.0,16102885000000.0
2033.0,17302615000000.0,16613113000000.0,16953890000000.0,16850055000000.0,17252257000000.0,16605299000000.0,16549320000000.0,16101301000000.0,16717183000000.0,16141865000000.0,16768497000000.0,16945933000000.0,16867641000000.0,15834656000000.0
2034.0,17232877000000.0,16443778000000.0,16754455000000.0,16707717000000.0,17128978000000.0,16488325000000.0,16482285000000.0,15865217000000.0,16698385000000.0,16017398000000.0,16648469000000.0,16850049000000.0,16642472000000.0,15628702000000.0
