time,NORESM1-M,CESM1-CAM5,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0
2001.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0
2002.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0
2003.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0
2004.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0
2005.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0
2006.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0
2007.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0
2008.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0
2009.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0
2010.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0
2011.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0
2012.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0
2013.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0
2014.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0
2015.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0
2016.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0
2017.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0
2018.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0
2019.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0
2020.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0
2021.0,84754110000.0,84982380000.0,84871570000.0,84803030000.0
2022.0,84620755000.0,84939830000.0,84530810000.0,84404160000.0
2023.0,84399580000.0,84622760000.0,84213375000.0,84087280000.0
2024.0,83977740000.0,84361660000.0,84022040000.0,83684614000.0
2025.0,83579710000.0,83999730000.0,83688840000.0,83419050000.0
2026.0,83278300000.0,83625490000.0,83117500000.0,83185270000.0
2027.0,83358654000.0,83752160000.0,82846835000.0,83357704000.0
2028.0,83044730000.0,83232180000.0,82548875000.0,82647130000.0
2029.0,82333385000.0,82932640000.0,81960935000.0,82110824000.0
2030.0,81786900000.0,82400895000.0,81331430000.0,82185860000.0
2031.0,81231910000.0,81966850000.0,80861946000.0,81642510000.0
2032.0,80971840000.0,81454020000.0,80574890000.0,81245470000.0
2033.0,80388830000.0,81116630000.0,79879080000.0,81251650000.0
2034.0,80023030000.0,80422770000.0,79234240000.0,80448240000.0
2035.0,79307460000.0,79788980000.0,78713500000.0,80045260000.0
2036.0,78967180000.0,79289550000.0,78439440000.0,79554270000.0
2037.0,78018700000.0,78855780000.0,78248350000.0,78887576000.0
2038.0,77204320000.0,78134350000.0,77384696000.0,78281250000.0
2039.0,76346740000.0,77640060000.0,76848636000.0,77799740000.0
2040.0,75827370000.0,77151945000.0,76267920000.0,77193585000.0
2041.0,74985620000.0,76526190000.0,75747990000.0,76764440000.0
2042.0,74316145000.0,76117434000.0,75908420000.0,75999100000.0
2043.0,73245295000.0,76841750000.0,74908330000.0,75378830000.0
2044.0,72488340000.0,75648810000.0,74308540000.0,74923670000.0
2045.0,71517670000.0,74807710000.0,73692030000.0,74200154000.0
2046.0,70710256000.0,74293130000.0,73128700000.0,73398660000.0
2047.0,70453290000.0,73592860000.0,72587840000.0,72882610000.0
2048.0,69553955000.0,73167310000.0,72216800000.0,72464520000.0
2049.0,68580380000.0,72626900000.0,71618900000.0,71895850000.0
2050.0,67595735000.0,72069640000.0,72391720000.0,71240230000.0
2051.0,66893767000.0,71454750000.0,71621720000.0,70623445000.0
2052.0,66015780000.0,70624250000.0,70614800000.0,69699200000.0
2053.0,65130080000.0,70071680000.0,69673950000.0,68920690000.0
2054.0,64289320000.0,69717434000.0,68879180000.0,68166672000.0
2055.0,63674290000.0,68637660000.0,68795750000.0,67158155000.0
2056.0,63032164000.0,67820765000.0,68255910000.0,66527126000.0
2057.0,62325270000.0,67040186000.0,67430826000.0,66123694000.0
2058.0,61425140000.0,66296672000.0,67544620000.0,65191690000.0
2059.0,60708307000.0,65551240000.0,66642940000.0,64330043000.0
2060.0,60224352000.0,64700820000.0,65846710000.0,63354974000.0
2061.0,59469130000.0,64008122000.0,65310175000.0,62675997000.0
2062.0,58684215000.0,63508275000.0,64727577000.0,62034790000.0
2063.0,58020737000.0,63212626000.0,64608050000.0,61090406000.0
2064.0,57499790000.0,62546035000.0,63605320000.0,60259520000.0
2065.0,56684020000.0,61543637000.0,63038198000.0,59704790000.0
2066.0,55980020000.0,60882460000.0,62577893000.0,59107213000.0
2067.0,55355814000.0,59972927000.0,62079603000.0,58349445000.0
2068.0,54821560000.0,58702967000.0,61632710000.0,58114100000.0
2069.0,54487982000.0,58063294000.0,61188430000.0,57294790000.0
2070.0,53737275000.0,57304846000.0,60432044000.0,56786383000.0
2071.0,53266297000.0,56371565000.0,59754754000.0,56212898000.0
2072.0,53076886000.0,55909110000.0,59919530000.0,55528493000.0
2073.0,52293330000.0,55110025000.0,59025826000.0,54893613000.0
2074.0,51778494000.0,54362280000.0,58648998000.0,54175224000.0
2075.0,51173515000.0,54025474000.0,58107550000.0,53591040000.0
2076.0,50959507000.0,53443030000.0,57706013000.0,53014807000.0
2077.0,51122970000.0,52703744000.0,59356640000.0,52462840000.0
2078.0,49817846000.0,52167594000.0,57357558000.0,51887886000.0
2079.0,49300353000.0,51739914000.0,56675246000.0,51353076000.0
2080.0,48795810000.0,51254830000.0,56282313000.0,50642490000.0
2081.0,47994122000.0,51003265000.0,55791150000.0,50224990000.0
2082.0,47460540000.0,50120004000.0,55181860000.0,49585852000.0
2083.0,46893070000.0,49248680000.0,54808973000.0,49169986000.0
2084.0,46449967000.0,48686084000.0,54391330000.0,49051950000.0
2085.0,45760210000.0,48306336000.0,54869303000.0,48485724000.0
2086.0,45223980000.0,47620854000.0,53974440000.0,47948775000.0
2087.0,45111316000.0,46977870000.0,53555710000.0,47475920000.0
2088.0,47067193000.0,46396735000.0,53211910000.0,47157440000.0
2089.0,46155395000.0,45613597000.0,53094183000.0,46626673000.0
2090.0,43930497000.0,44920254000.0,52667003000.0,46280315000.0
2091.0,43293323000.0,44190724000.0,53610640000.0,45873170000.0
2092.0,42835993000.0,43683566000.0,52034980000.0,45338948000.0
2093.0,43211223000.0,43305386000.0,52101770000.0,44901036000.0
2094.0,42442916000.0,42607610000.0,51620053000.0,44503564000.0
2095.0,41724270000.0,42311774000.0,51238690000.0,44265628000.0
2096.0,41200546000.0,41779802000.0,50747030000.0,43834372000.0
2097.0,40794583000.0,41185640000.0,50541912000.0,43462060000.0
2098.0,40271070000.0,40666583000.0,50570680000.0,43157090000.0
2099.0,39737180000.0,40290740000.0,50062602000.0,42793140000.0
2100.0,39376945000.0,39799906000.0,53460275000.0,42428436000.0
2101.0,39006490000.0,39266763000.0,49632090000.0,42034655000.0
2102.0,38415540000.0,38912270000.0,49256403000.0,41637884000.0
2103.0,38456803000.0,38224270000.0,49006666000.0,41246052000.0
2104.0,37785900000.0,37916414000.0,48625300000.0,40802714000.0
2105.0,37256544000.0,37471322000.0,48345270000.0,40527294000.0
2106.0,37250605000.0,36767610000.0,48004090000.0,40167002000.0
2107.0,36509940000.0,36314608000.0,48014975000.0,39904350000.0
2108.0,36456950000.0,35642946000.0,47684570000.0,39499230000.0
2109.0,35796468000.0,35037737000.0,47405490000.0,39054830000.0
2110.0,35441955000.0,34575544000.0,47016325000.0,38780408000.0
2111.0,35010023000.0,34018068000.0,47145734000.0,38473750000.0
2112.0,34600860000.0,33529129000.0,46550778000.0,38083994000.0
2113.0,34271193000.0,33154093000.0,46496715000.0,37734540000.0
2114.0,33886564000.0,32620247000.0,46153480000.0,37491245000.0
2115.0,33358221000.0,32204847000.0,45728063000.0,38348255000.0
2116.0,32855097000.0,31736252000.0,45427003000.0,37178740000.0
2117.0,32508445000.0,31550093000.0,45307007000.0,36967055000.0
2118.0,32571382000.0,31959770000.0,44850606000.0,36506837000.0
2119.0,32065670000.0,30850185000.0,44582625000.0,36114805000.0
2120.0,31525940000.0,30639573000.0,44137250000.0,35871805000.0
2121.0,31031669000.0,30250630000.0,43920860000.0,35763200000.0
2122.0,30965221000.0,29736217000.0,43562545000.0,35220967000.0
2123.0,30482444000.0,29306276000.0,43367563000.0,34999484000.0
2124.0,30143910000.0,28879292000.0,43372580000.0,34926460000.0
2125.0,29879304000.0,28391692000.0,42769140000.0,34457040000.0
2126.0,29488067000.0,27975723000.0,42680754000.0,34111584000.0
2127.0,28915175000.0,27646700000.0,42344250000.0,33874803000.0
2128.0,28604535000.0,27266406000.0,42079695000.0,33543834000.0
2129.0,28194234000.0,26898720000.0,41857240000.0,33215037000.0
2130.0,27759608000.0,26627236000.0,41506560000.0,33164128000.0
2131.0,27429680000.0,26676150000.0,41251470000.0,32745746000.0
2132.0,27125092000.0,26008860000.0,41347133000.0,32480655000.0
2133.0,26988430000.0,25576514000.0,40827290000.0,32198020000.0
2134.0,26559328000.0,25312506000.0,40694993000.0,31889510000.0
2135.0,26464246000.0,24876106000.0,40376990000.0,31592223000.0
2136.0,26108006000.0,24256645000.0,40575730000.0,31257985000.0
2137.0,25875317000.0,24018979000.0,39859390000.0,30967840000.0
2138.0,25756408000.0,23961936000.0,39930016000.0,30699538000.0
2139.0,25536230000.0,23460348000.0,39412883000.0,30422118000.0
2140.0,25290586000.0,23405545000.0,39145120000.0,30210114000.0
2141.0,25006717000.0,23342539000.0,38876360000.0,29951304000.0
2142.0,24734872000.0,23088880000.0,38800495000.0,29713822000.0
2143.0,24534630000.0,23265767000.0,38470680000.0,29483784000.0
2144.0,24493574000.0,22645070000.0,38336760000.0,29248510000.0
2145.0,24057580000.0,22510277000.0,38178656000.0,29065929000.0
2146.0,23871842000.0,22199962000.0,37841506000.0,29114823000.0
2147.0,27504120000.0,22036044000.0,37562600000.0,29125750000.0
2148.0,24114842000.0,21830787000.0,37499830000.0,28678650000.0
2149.0,24845967000.0,21909220000.0,37338800000.0,28481522000.0
2150.0,24329542000.0,21441124000.0,37483010000.0,28331416000.0
2151.0,24167470000.0,21385420000.0,36971373000.0,28237392000.0
2152.0,23360434000.0,21109346000.0,36995748000.0,28039475000.0
2153.0,23183604000.0,20885676000.0,37002367000.0,27944536000.0
2154.0,22791911000.0,20794542000.0,36607130000.0,27613512000.0
2155.0,22560805000.0,20880368000.0,36313588000.0,27448076000.0
2156.0,24704045000.0,20741132000.0,36149445000.0,27535684000.0
2157.0,23100203000.0,20367505000.0,36002583000.0,27302664000.0
2158.0,22624379000.0,20196178000.0,35755876000.0,27069757000.0
2159.0,22295034000.0,20037315000.0,35543253000.0,26906070000.0
2160.0,21999163000.0,19843863000.0,35508937000.0,26725198000.0
2161.0,21973563000.0,19643064000.0,35104817000.0,26910755000.0
2162.0,21845774000.0,19964895000.0,34873606000.0,26465327000.0
2163.0,21731813000.0,19688590000.0,34638983000.0,26372740000.0
2164.0,21658913000.0,19604552000.0,34491010000.0,26310509000.0
2165.0,21492690000.0,19360524000.0,34248782000.0,26339465000.0
2166.0,21459489000.0,19261420000.0,34364998000.0,26059166000.0
2167.0,21688054000.0,21086546000.0,34684240000.0,25906993000.0
2168.0,21313184000.0,19770840000.0,33777019000.0,25783398000.0
2169.0,21263694000.0,19418874000.0,33559347000.0,25645263000.0
2170.0,21208783000.0,19270144000.0,33416624000.0,25505270000.0
2171.0,21121296000.0,18991716000.0,33297210000.0,25414982000.0
2172.0,20984142000.0,18738756000.0,33069378000.0,25335417000.0
2173.0,21110092000.0,18640450000.0,32902064000.0,25141450000.0
2174.0,21038270000.0,18636716000.0,33156039000.0,24989073000.0
2175.0,21619274000.0,19283405000.0,32712446000.0,24894558000.0
2176.0,21896550000.0,18814271000.0,32646472000.0,24815421000.0
2177.0,21181682000.0,18630107000.0,32391234000.0,24695628000.0
2178.0,20998961000.0,18491478000.0,32327500000.0,24532031000.0
2179.0,20913110000.0,18428795000.0,32153793000.0,24425015000.0
2180.0,20815393000.0,18354647000.0,34010933000.0,24285960000.0
2181.0,20655342000.0,18409212000.0,32313256000.0,24202193000.0
2182.0,20603197000.0,18218877000.0,32088010000.0,24109027000.0
2183.0,20811147000.0,18192804000.0,31938138000.0,23959640000.0
2184.0,21093601000.0,18187606000.0,31762964000.0,23875880000.0
2185.0,20525097000.0,18078611000.0,31664568000.0,24026153000.0
2186.0,20498639000.0,17996825000.0,31626054000.0,23843326000.0
2187.0,20397103000.0,17912656000.0,31485140000.0,23860742000.0
2188.0,20385255000.0,17808388000.0,31729121000.0,23686170000.0
