,n_glaciers,n_missing_glaciers,rgi_area_km2,missing_area_km2,missing_area_perc
RGI12,1888,409,1306.992,160.691,0.12294719478007517
RGI10,5151,168,2410.051,89.351,0.03707431917415856
RGI19,2752,598,132867.219,301.246,0.002267271056527494
RGI13,54429,345,49303.41500000001,92.609,0.001878348589037899
RGI17,15908,94,29429.079999999998,49.95999999999998,0.0016976405650465452
RGI03,4556,77,105110.64199999999,176.943,0.00168339757643189
RGI05,19306,344,89717.06599999999,88.61699999999999,0.0009877384978238142
RGI15,13119,41,14734.204,11.674000000000003,0.0007923061198283941
RGI14,27988,136,33568.298,23.149,0.0006896089876227863
RGI11,3927,31,2092.1459999999997,1.074,0.0005133484947991202
RGI09,1069,4,51591.6,23.983999999999998,0.0004648818799959683
RGI08,3417,17,2949.103,1.18,0.00040012166411278275
RGI16,2939,12,2341.036,0.71,0.00030328452873001525
RGI02,18855,96,14524.224,4.392,0.0003023913704443005
RGI06,568,11,11059.699999999999,2.3010000000000006,0.00020805265965622945
RGI04,7415,35,40888.228,6.180000000000001,0.000151143747290785
RGI01,27108,51,86725.053,11.695999999999998,0.00013486299051324878
RGI18,3537,1,1161.801,0.052,4.475809540532329e-05
RGI07,1615,0,33958.933999999994,0.0,0.0
