time,EC-EARTH3,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,UKESM1-0-LL,KACE-1-0-G,CNRM-ESM2-1,MPI-ESM1-2-HR,CANESM5,MIROC6,CESM2-WACCM,CNRM-CM6-1,TAIESM1
2040.0,38324474000.0,41876775000.0,43639580000.0,41796080000.0,37792653000.0,38603416000.0,43673166000.0,44325930000.0,30254047000.0,43303970000.0,42359450000.0,43912643000.0,40735986000.0
2041.0,37399170000.0,41185870000.0,43401556000.0,41243156000.0,36687454000.0,37945885000.0,43059937000.0,43222130000.0,29133270000.0,43008870000.0,42011087000.0,44579200000.0,40432992000.0
2042.0,37217858000.0,40766054000.0,42834276000.0,40628072000.0,35725746000.0,37391704000.0,42893324000.0,42409165000.0,28012870000.0,42182984000.0,41274814000.0,43136745000.0,39579914000.0
2043.0,36197597000.0,40005550000.0,42434030000.0,40062333000.0,34617537000.0,36503600000.0,42386160000.0,41908335000.0,26595932000.0,41550060000.0,40782205000.0,42402177000.0,38620250000.0
2044.0,35474665000.0,39255240000.0,42068623000.0,39527630000.0,33591900000.0,35789926000.0,41889436000.0,41989923000.0,25534206000.0,41161196000.0,40233845000.0,41797894000.0,37975036000.0
2045.0,34681786000.0,38497180000.0,41637090000.0,38925804000.0,32603963000.0,34815255000.0,41226980000.0,41102934000.0,24441203000.0,40616534000.0,39474184000.0,41266393000.0,37402845000.0
2046.0,33843204000.0,37938774000.0,41187217000.0,38223650000.0,31652274000.0,34186977000.0,40782250000.0,40556196000.0,23494269000.0,40364876000.0,38913466000.0,40592020000.0,36784130000.0
2047.0,33046602000.0,37137846000.0,40701350000.0,37799140000.0,30761566000.0,33464803000.0,40775120000.0,40079510000.0,22290342000.0,39768710000.0,38468235000.0,40089473000.0,36142710000.0
2048.0,32379095000.0,36283638000.0,40359854000.0,37177750000.0,29871788000.0,32598434000.0,39859830000.0,40034587000.0,21224464000.0,39255360000.0,37876945000.0,39609220000.0,35512685000.0
2049.0,31666997000.0,35686916000.0,39764193000.0,36506157000.0,29205086000.0,31543413000.0,39299465000.0,38977200000.0,20126532000.0,38691344000.0,37297230000.0,38955885000.0,34985333000.0
2050.0,30953996000.0,34872550000.0,39030338000.0,36098550000.0,28300984000.0,30706008000.0,38871590000.0,38405150000.0,19412988000.0,38216724000.0,36615234000.0,38592115000.0,34191150000.0
2051.0,30038327000.0,34098364000.0,38422725000.0,35314536000.0,27620106000.0,30036480000.0,38080410000.0,38861710000.0,18684504000.0,38272180000.0,36006167000.0,38140400000.0,33475439000.0
