time,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM,CANESM5
2000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0
2001.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0
2002.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0
2003.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0
2004.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0
2005.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0
2006.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0
2007.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0
2008.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0
2009.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0
2010.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0
2011.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0
2012.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0
2013.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0
2014.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0
2015.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0
2016.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0
2017.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0
2018.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0
2019.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0
2020.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0
2021.0,134406890000.0,134528520000.0,134471860000.0,134498170000.0
2022.0,134916690000.0,134795940000.0,134323580000.0,134260860000.0
2023.0,134482550000.0,134463180000.0,134259710000.0,134261430000.0
2024.0,134392365000.0,134547910000.0,133963645000.0,134402120000.0
2025.0,134055110000.0,134122860000.0,133920510000.0,133869270000.0
2026.0,134034014000.0,133809684000.0,133757560000.0,134633440000.0
2027.0,133827140000.0,134005250000.0,133645190000.0,134017030000.0
2028.0,133567410000.0,133916940000.0,133334840000.0,133807730000.0
2029.0,133978150000.0,134213485000.0,133546190000.0,133639340000.0
2030.0,133710170000.0,134025690000.0,134208600000.0,134359070000.0
2031.0,133424850000.0,133232410000.0,133229070000.0,133433614000.0
2032.0,133146360000.0,133230130000.0,132928330000.0,133680100000.0
2033.0,133037900000.0,133135710000.0,132889860000.0,133062840000.0
2034.0,133072160000.0,133617020000.0,132812460000.0,132921750000.0
2035.0,133303720000.0,133318240000.0,132700090000.0,132845540000.0
2036.0,132672790000.0,132928815000.0,132554900000.0,132673640000.0
2037.0,132533360000.0,132698140000.0,132324290000.0,133192925000.0
2038.0,132560820000.0,132608030000.0,132014410000.0,132519970000.0
2039.0,132478470000.0,132227430000.0,131818120000.0,132492310000.0
2040.0,132271360000.0,132130865000.0,131667870000.0,132608980000.0
2041.0,131950430000.0,132195240000.0,131933500000.0,132269460000.0
2042.0,131809894000.0,131731890000.0,131423896000.0,132351540000.0
2043.0,131742710000.0,131760910000.0,131294820000.0,131830000000.0
2044.0,131610230000.0,131539680000.0,130917966000.0,131729530000.0
2045.0,131368400000.0,131178545000.0,130671305000.0,131707445000.0
2046.0,131204580000.0,130934964000.0,130453390000.0,131365170000.0
2047.0,130750060000.0,130678776000.0,129887050000.0,131490170000.0
2048.0,130490510000.0,130230290000.0,129628365000.0,131064460000.0
2049.0,130333530000.0,130019790000.0,129387040000.0,130852635000.0
2050.0,130035310000.0,129879990000.0,129060100000.0,130443010000.0
2051.0,129880785000.0,129686690000.0,128653600000.0,130096030000.0
2052.0,129800370000.0,129315365000.0,128385294000.0,129824800000.0
2053.0,129372406000.0,129059170000.0,127835290000.0,129642550000.0
2054.0,129232520000.0,128262880000.0,127375390000.0,129440830000.0
2055.0,128965394000.0,128111360000.0,126881780000.0,129486600000.0
2056.0,128675110000.0,127714700000.0,126390620000.0,129015230000.0
2057.0,128467380000.0,127570280000.0,126020090000.0,128660930000.0
2058.0,127834560000.0,127321710000.0,125573510000.0,128402350000.0
2059.0,127550810000.0,127544030000.0,124922405000.0,128124910000.0
2060.0,127359295000.0,126557740000.0,124525806000.0,127864890000.0
2061.0,126959010000.0,126239530000.0,124080310000.0,127457500000.0
2062.0,126532380000.0,125718220000.0,123599405000.0,127375640000.0
2063.0,126456380000.0,125540350000.0,122919300000.0,126720650000.0
2064.0,126121615000.0,125173090000.0,122438025000.0,126699520000.0
2065.0,125220160000.0,124715385000.0,121603090000.0,125704140000.0
2066.0,124899190000.0,124620210000.0,120980900000.0,125468750000.0
2067.0,124411370000.0,124119200000.0,120369550000.0,124883755000.0
2068.0,123942300000.0,124082910000.0,119976010000.0,124097170000.0
2069.0,123590074000.0,123935560000.0,119471030000.0,123861890000.0
2070.0,123242400000.0,123143300000.0,118722626000.0,123626030000.0
2071.0,122832160000.0,122656960000.0,117904970000.0,123005540000.0
2072.0,122447520000.0,122397780000.0,117240570000.0,122368930000.0
2073.0,122135090000.0,121782300000.0,116560970000.0,121940860000.0
2074.0,121933610000.0,121167950000.0,115844020000.0,121820750000.0
2075.0,121535730000.0,121007230000.0,114866530000.0,121537070000.0
2076.0,121047925000.0,120430750000.0,114294750000.0,120793100000.0
2077.0,120407210000.0,119862470000.0,113645860000.0,120395350000.0
2078.0,119993140000.0,119250710000.0,113117030000.0,119788620000.0
2079.0,119546780000.0,118985480000.0,112475630000.0,119428470000.0
2080.0,119264420000.0,118625390000.0,111605140000.0,119132500000.0
2081.0,118738450000.0,118560990000.0,111061975000.0,118705770000.0
2082.0,118396030000.0,118028930000.0,110408770000.0,118130260000.0
2083.0,117927160000.0,117376690000.0,109867426000.0,117484000000.0
2084.0,117485430000.0,116973480000.0,108798435000.0,117239530000.0
2085.0,116641190000.0,116624425000.0,108146980000.0,116442130000.0
2086.0,116391890000.0,116071290000.0,107585550000.0,116180740000.0
2087.0,116521330000.0,115644210000.0,107059855000.0,116030000000.0
2088.0,115942250000.0,115505260000.0,106660176000.0,115426940000.0
2089.0,115461470000.0,114630030000.0,105745450000.0,114871310000.0
2090.0,115044420000.0,114471485000.0,104814000000.0,114332810000.0
2091.0,114637640000.0,114252580000.0,103660620000.0,113518100000.0
2092.0,114024410000.0,114040414000.0,102956970000.0,113181570000.0
2093.0,113671725000.0,113764180000.0,102466760000.0,112698670000.0
2094.0,112899410000.0,113232750000.0,101635370000.0,112214530000.0
2095.0,112582525000.0,112735620000.0,101037015000.0,111400034000.0
2096.0,112399760000.0,112406364000.0,100130270000.0,110608480000.0
2097.0,112342800000.0,111981500000.0,99094856000.0,110119420000.0
2098.0,112011530000.0,111466790000.0,98567910000.0,109512780000.0
2099.0,111141500000.0,111211454000.0,97724070000.0,109029620000.0
2100.0,110583400000.0,111036720000.0,96436300000.0,108664970000.0
