time,TAIESM1,CESM2-WACCM,NORESM2-MM,ACCESS-ESM1-5,ACCESS-CM2,IPSL-CM6A-LR,EC-EARTH3,CESM2,CMCC-CM2-SR5,INM-CM4-8,EC-EARTH3-VEG,BCC-CSM2-MR,INM-CM5-0,CANESM5,CAMS-CSM1-0,MRI-ESM2-0,GFDL-ESM4,FGOALS-F3-L,MPI-ESM1-2-HR
2000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0
2001.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0
2002.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0
2003.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0
2004.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0
2005.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0
2006.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0
2007.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0
2008.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0
2009.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0
2010.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0
2011.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0
2012.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0
2013.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0
2014.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0
2015.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0
2016.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0
2017.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0
