time,CAMS-CSM1-0,INM-CM5-0,CANESM5,MRI-ESM2-0,BCC-CSM2-MR,EC-EARTH3-VEG,GFDL-ESM4,MPI-ESM1-2-HR,FGOALS-F3-L,ACCESS-CM2,ACCESS-ESM1-5,CESM2-WACCM,NORESM2-MM,INM-CM4-8,IPSL-CM6A-LR,CESM2,EC-EARTH3
2024.0,134862780000.0,134260300000.0,134136455000.0,133866684000.0,133828550000.0,134236865000.0,134018160000.0,134355020000.0,134498190000.0,134448200000.0,134573990000.0,134401880000.0,134337590000.0,134148960000.0,134300870000.0,133928980000.0,134885400000.0
2025.0,134286880000.0,134188230000.0,134123676000.0,133740560000.0,133696635000.0,134306580000.0,133938250000.0,134031530000.0,133905620000.0,133842220000.0,134350860000.0,134018360000.0,135492870000.0,134072934000.0,134083805000.0,133768640000.0,134122520000.0
2026.0,134544654000.0,134737290000.0,134013210000.0,134076740000.0,133485920000.0,134017450000.0,135000280000.0,133995586000.0,134471860000.0,134133050000.0,134136970000.0,133805080000.0,134182270000.0,134051370000.0,133832794000.0,133958566000.0,134188660000.0
2027.0,134443320000.0,134689100000.0,134227395000.0,133484040000.0,133359590000.0,134673300000.0,134257020000.0,133911380000.0,134000100000.0,133962695000.0,134186344000.0,133532970000.0,133885575000.0,134529630000.0,133973830000.0,133554864000.0,133908770000.0
2028.0,134809520000.0,134406980000.0,133778510000.0,133632180000.0,133393334000.0,134196190000.0,133884720000.0,133933760000.0,133800810000.0,133498270000.0,133738020000.0,133605030000.0,133825050000.0,133928190000.0,133701840000.0,133724720000.0,134283805000.0
2029.0,134633080000.0,133891080000.0,133481450000.0,133307335000.0,133408210000.0,133746720000.0,133693930000.0,133492070000.0,133958345000.0,133370175000.0,133625750000.0,133415650000.0,133771040000.0,133595210000.0,134277110000.0,133439770000.0,134142720000.0
2030.0,134497440000.0,133919700000.0,133470350000.0,133128315000.0,133229110000.0,133579055000.0,133453750000.0,133458260000.0,133722276000.0,133267120000.0,133985510000.0,133541620000.0,133795380000.0,133444280000.0,133989460000.0,133232690000.0,133854780000.0
2031.0,134151740000.0,133688760000.0,134247320000.0,132953965000.0,132939555000.0,133477420000.0,133796510000.0,133302880000.0,133482950000.0,133024965000.0,133548730000.0,133300200000.0,133460030000.0,133334440000.0,133348884000.0,133112580000.0,133687160000.0
2032.0,133657240000.0,133909370000.0,133778050000.0,132797980000.0,132616570000.0,133677965000.0,133531705000.0,133595640000.0,133355274000.0,132914430000.0,133580900000.0,133023500000.0,133533380000.0,133207470000.0,133195920000.0,132976040000.0,133973630000.0
2033.0,133683675000.0,133386640000.0,133265730000.0,132529000000.0,132473160000.0,133459990000.0,133121120000.0,133227550000.0,133163200000.0,133023360000.0,133279820000.0,132733640000.0,133263810000.0,132986356000.0,133096595000.0,132980140000.0,133916080000.0
2034.0,133909820000.0,133369770000.0,132800140000.0,132507940000.0,132432040000.0,133351190000.0,133693840000.0,132888080000.0,133098504000.0,132826685000.0,133403120000.0,132654785000.0,134090500000.0,132907840000.0,132913910000.0,132776440000.0,133602705000.0
2035.0,133672255000.0,133183865000.0,132628690000.0,132277900000.0,132231290000.0,133445280000.0,132896400000.0,132770780000.0,133628050000.0,132643275000.0,133089230000.0,132542580000.0,133457895000.0,133174305000.0,133047520000.0,132505810000.0,133404820000.0
2036.0,133692390000.0,133975700000.0,132580520000.0,132169105000.0,131968205000.0,133128540000.0,132814030000.0,133057670000.0,133547560000.0,132615450000.0,132954000000.0,132321960000.0,133970770000.0,132991400000.0,132760070000.0,132383670000.0,133200850000.0
2037.0,133420835000.0,133229600000.0,132380810000.0,132416370000.0,131629460000.0,132931530000.0,132729900000.0,133468520000.0,133819180000.0,132560000000.0,132832660000.0,132109330000.0,133319810000.0,132918590000.0,132825790000.0,132560690000.0,133223950000.0
2038.0,133779150000.0,132865350000.0,132614830000.0,131783110000.0,131718185000.0,132817190000.0,132754770000.0,132672400000.0,133326790000.0,132573220000.0,132796880000.0,131990900000.0,133099170000.0,132846840000.0,132637460000.0,132211640000.0,133224055000.0
2039.0,133266190000.0,132913290000.0,132036880000.0,131886770000.0,131294405000.0,132814560000.0,132520340000.0,132699546000.0,132864850000.0,132252600000.0,133033574000.0,131756840000.0,132948350000.0,132598990000.0,132589560000.0,132003310000.0,133045570000.0
2040.0,133167050000.0,132913840000.0,132283990000.0,131773650000.0,131082460000.0,132636434000.0,132194890000.0,132473766000.0,132483570000.0,131981850000.0,132731230000.0,131800120000.0,134455630000.0,132285950000.0,132226210000.0,131748250000.0,133050120000.0
2041.0,132866590000.0,133091740000.0,131933740000.0,131563086000.0,131017840000.0,132566410000.0,132123950000.0,132392400000.0,132573130000.0,131681360000.0,132636730000.0,131635720000.0,132756420000.0,132101235000.0,132203454000.0,131604955000.0,132860150000.0
2042.0,132669220000.0,133205230000.0,131973490000.0,131481330000.0,130777150000.0,132371930000.0,132045595000.0,132374120000.0,132222920000.0,131728840000.0,132675910000.0,131543500000.0,133195780000.0,131960090000.0,132008750000.0,131878715000.0,132681040000.0
2043.0,132835680000.0,132913720000.0,131782520000.0,131560980000.0,130433260000.0,132293600000.0,132146350000.0,132048890000.0,132087150000.0,131801760000.0,132449305000.0,131214430000.0,132833450000.0,131876780000.0,131693216000.0,131283170000.0,132934520000.0
2044.0,133333615000.0,132747305000.0,131923370000.0,131278710000.0,130074075000.0,132156170000.0,131813600000.0,131947750000.0,131946540000.0,131499890000.0,132299964000.0,131061514000.0,132940840000.0,132030420000.0,131606520000.0,131055350000.0,133008925000.0
2045.0,132824850000.0,132559180000.0,131873170000.0,131374694000.0,129961760000.0,132084244000.0,131660930000.0,132014130000.0,131688464000.0,131124660000.0,132091270000.0,130822810000.0,132531270000.0,131756840000.0,131540490000.0,130803110000.0,133461010000.0
2046.0,132465570000.0,132545690000.0,132434870000.0,131020420000.0,129704490000.0,131968655000.0,131998710000.0,131708200000.0,131549880000.0,130953085000.0,132511785000.0,130500485000.0,132673085000.0,131445146000.0,131677510000.0,130470535000.0,132661380000.0
2047.0,132552335000.0,132500720000.0,131453290000.0,130976290000.0,129407510000.0,131909190000.0,131715645000.0,131977085000.0,131532980000.0,130711400000.0,132020780000.0,130240954000.0,132349880000.0,131327650000.0,131920355000.0,130384224000.0,132370930000.0
2048.0,132804070000.0,132383940000.0,131030140000.0,130885640000.0,128851850000.0,131621310000.0,131595665000.0,132047170000.0,131436360000.0,130407140000.0,131837305000.0,129950690000.0,132313694000.0,130964610000.0,131462080000.0,129726120000.0,132224530000.0
2049.0,132878030000.0,132884324000.0,131145850000.0,130365240000.0,128589940000.0,131455050000.0,132181050000.0,131488710000.0,131446930000.0,130178330000.0,131788866000.0,129780640000.0,132282290000.0,130969360000.0,130853410000.0,129662690000.0,132149060000.0
2050.0,132391130000.0,132520010000.0,131169310000.0,130479260000.0,128396910000.0,131306050000.0,131839840000.0,131492680000.0,131069210000.0,129948500000.0,131593940000.0,129490050000.0,132314860000.0,130978930000.0,130362590000.0,129392840000.0,131976200000.0
2051.0,132235150000.0,132436380000.0,130550970000.0,130196450000.0,128270510000.0,130995700000.0,131955420000.0,131251600000.0,130878956000.0,130168560000.0,131499800000.0,129112110000.0,131767760000.0,130727850000.0,130159480000.0,129330470000.0,131768730000.0
2052.0,132068770000.0,132093580000.0,129991120000.0,130075610000.0,127898400000.0,130756080000.0,131110060000.0,130986830000.0,130570510000.0,129840310000.0,131238265000.0,128807590000.0,131974480000.0,131104965000.0,130175410000.0,129188860000.0,131940450000.0
2053.0,131852660000.0,132463240000.0,130112790000.0,129944520000.0,127415030000.0,130577480000.0,130549410000.0,131060244000.0,130895960000.0,129392560000.0,131180160000.0,128488145000.0,131577550000.0,131003744000.0,130075050000.0,128564126000.0,131868630000.0
2054.0,131567660000.0,132578800000.0,130095960000.0,129687510000.0,127170120000.0,130256020000.0,130296370000.0,130605210000.0,130454730000.0,129091430000.0,131749660000.0,128275775000.0,131413950000.0,130474850000.0,129672390000.0,128484040000.0,131770680000.0
2055.0,131579080000.0,132062730000.0,130262330000.0,130454070000.0,127006920000.0,130242960000.0,130345790000.0,131225950000.0,130061730000.0,129048850000.0,131157615000.0,127996174000.0,131217580000.0,130399470000.0,129682915000.0,127989800000.0,131320120000.0
2056.0,131761130000.0,131920030000.0,129971970000.0,129635550000.0,126482670000.0,129917240000.0,130834030000.0,131649315000.0,129757045000.0,128774900000.0,131053590000.0,127579370000.0,131268710000.0,130287526000.0,129714440000.0,127605285000.0,131191640000.0
2057.0,130945460000.0,131637930000.0,129572510000.0,129303040000.0,126376305000.0,129734260000.0,130151360000.0,130788600000.0,129629330000.0,128787186000.0,131092240000.0,127130395000.0,130975490000.0,130991350000.0,129131100000.0,127463350000.0,130718890000.0
2058.0,130812510000.0,131567810000.0,129392650000.0,128953620000.0,125803180000.0,129594390000.0,130074984000.0,131300440000.0,129316690000.0,128423450000.0,130883125000.0,126948430000.0,130820870000.0,130325700000.0,128920780000.0,127260434000.0,130477860000.0
2059.0,130769300000.0,132166130000.0,129119130000.0,128722230000.0,125592764000.0,129399410000.0,129773020000.0,130298890000.0,129018150000.0,127825805000.0,130518910000.0,126660000000.0,130748130000.0,129944100000.0,129635200000.0,127066520000.0,130284140000.0
2060.0,130825100000.0,131582650000.0,128955330000.0,128933855000.0,125422850000.0,129279360000.0,129446600000.0,130204540000.0,128900380000.0,127322595000.0,130412265000.0,126246560000.0,130558255000.0,129720390000.0,128462815000.0,126599620000.0,130337660000.0
2061.0,131278370000.0,131435430000.0,128909090000.0,129470780000.0,125108300000.0,128947634000.0,129122340000.0,130032260000.0,128455295000.0,127024920000.0,130233790000.0,125773510000.0,130525100000.0,129561380000.0,127994360000.0,126036680000.0,130094630000.0
2062.0,131410530000.0,131162530000.0,128784690000.0,130078300000.0,124110545000.0,128890550000.0,129042230000.0,130063490000.0,128704545000.0,126614520000.0,130266050000.0,125499710000.0,130392030000.0,129290670000.0,127894675000.0,125757930000.0,130035920000.0
2063.0,130507960000.0,131112490000.0,128393070000.0,128526290000.0,123620130000.0,128368390000.0,128969960000.0,129545495000.0,127844830000.0,126233730000.0,129998450000.0,124857300000.0,130557820000.0,130052874000.0,128062325000.0,125310990000.0,129837140000.0
2064.0,130457000000.0,131066250000.0,128212450000.0,128073015000.0,123106610000.0,128273240000.0,128990440000.0,129260070000.0,127546016000.0,125984100000.0,129804010000.0,124808675000.0,130262630000.0,129352020000.0,127621180000.0,124964815000.0,129649025000.0
2065.0,130092110000.0,131701310000.0,128286690000.0,127862920000.0,122626880000.0,128027345000.0,128923020000.0,129381250000.0,127133295000.0,125834120000.0,129575650000.0,124218430000.0,130396600000.0,130678200000.0,127378510000.0,124897740000.0,129641580000.0
2066.0,130355030000.0,131663970000.0,128319865000.0,127633570000.0,122228350000.0,127876720000.0,128697745000.0,129199120000.0,127116450000.0,125613200000.0,129642455000.0,123641225000.0,129891820000.0,130528830000.0,126816540000.0,124372810000.0,129750320000.0
2067.0,130044210000.0,131370720000.0,127725320000.0,127513830000.0,121719660000.0,127501770000.0,128760330000.0,129370680000.0,126674790000.0,124928614000.0,129543350000.0,122989494000.0,129927300000.0,129093600000.0,126795910000.0,123881680000.0,129664300000.0
2068.0,130024890000.0,131137176000.0,127507415000.0,127300330000.0,120938010000.0,127270945000.0,128462730000.0,129155770000.0,126239740000.0,124598320000.0,129342490000.0,123071850000.0,129831035000.0,129013180000.0,126987630000.0,123799280000.0,128813610000.0
2069.0,129723710000.0,131502170000.0,127161040000.0,126751830000.0,120431000000.0,127261050000.0,128324256000.0,129057070000.0,126213950000.0,124568940000.0,128791300000.0,122573046000.0,130006930000.0,128752090000.0,126677990000.0,123400176000.0,128627150000.0
2070.0,129913840000.0,131572050000.0,126659920000.0,126506720000.0,120146720000.0,127027580000.0,128181520000.0,129044030000.0,125966620000.0,124183660000.0,128638350000.0,122102590000.0,129606500000.0,128533030000.0,126169600000.0,122953010000.0,128741200000.0
2071.0,129461690000.0,130662924000.0,127070405000.0,126770766000.0,119703900000.0,126931970000.0,127786090000.0,128567760000.0,125528990000.0,124123040000.0,128337805000.0,121949240000.0,129650100000.0,128701940000.0,126098400000.0,122810065000.0,128662750000.0
2072.0,129032860000.0,130527720000.0,126534860000.0,126297700000.0,119260440000.0,126610490000.0,127681120000.0,128962460000.0,125366560000.0,123606295000.0,128051880000.0,121545010000.0,129087820000.0,128161600000.0,126150935000.0,122169300000.0,128345940000.0
2073.0,128786450000.0,130541240000.0,125792444000.0,126016940000.0,118773250000.0,126029390000.0,127457370000.0,128414410000.0,124914960000.0,123723550000.0,128003430000.0,120682650000.0,128846750000.0,127878726000.0,125736395000.0,121745285000.0,128000390000.0
2074.0,128870700000.0,130432340000.0,125677240000.0,125725650000.0,118031260000.0,125915840000.0,127899290000.0,128154740000.0,124704510000.0,123033870000.0,127866530000.0,120171190000.0,128839510000.0,128036590000.0,125383070000.0,121469380000.0,128038960000.0
2075.0,129116660000.0,130345790000.0,125308070000.0,125574545000.0,117887920000.0,125534570000.0,127447720000.0,128528620000.0,125003370000.0,122424370000.0,127840050000.0,119806800000.0,128594360000.0,128028344000.0,125195780000.0,121092680000.0,127814025000.0
2076.0,128847946000.0,130094820000.0,125140050000.0,125563404000.0,117507270000.0,125911260000.0,127872880000.0,128339640000.0,124356360000.0,122282385000.0,127243166000.0,119400284000.0,128967960000.0,127683764000.0,125112110000.0,120791925000.0,127946200000.0
2077.0,128568250000.0,130018886000.0,125039490000.0,125131520000.0,117437010000.0,126227190000.0,127588100000.0,127927820000.0,124747080000.0,122162470000.0,126939200000.0,118979830000.0,128130556000.0,127642075000.0,125247830000.0,120504770000.0,127071674000.0
2078.0,128607550000.0,131041080000.0,124848234000.0,124803180000.0,116713990000.0,125229580000.0,127326000000.0,127553460000.0,124033696000.0,121825290000.0,127375560000.0,118504640000.0,128035710000.0,127347540000.0,124776730000.0,120169930000.0,126585060000.0
2079.0,128468180000.0,130238180000.0,124377690000.0,124573630000.0,116043900000.0,124863420000.0,126619140000.0,127621470000.0,123312900000.0,121444770000.0,126444640000.0,117933010000.0,127957530000.0,128337370000.0,124730835000.0,119556360000.0,126378520000.0
