time,NORESM1-M,GFDL-ESM2G,CNRM-CM5,GFDL-CM3,CCSM4,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,MPI-ESM-LR
2000.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0
2001.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0
2002.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0
2003.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0
2004.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0
2005.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0
2006.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0
2007.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0
2008.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0
2009.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0
2010.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0
2011.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0
2012.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0
2013.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0
2014.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0
2015.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0
2016.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0
2017.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0
2018.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0
2019.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0
2020.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0
2021.0,1092150900.0,1089596200.0,1092346200.0,1098197200.0,1089539500.0,1165440000.0,1092976400.0,1091765900.0,1106950300.0,1113160700.0
2022.0,1079257000.0,1069687000.0,1074101800.0,1085580900.0,1076732900.0,1106747900.0,1086184300.0,1080076800.0,1085900300.0,1108677100.0
