time,CANESM2,IPSL-CM5A-LR,CESM1-CAM5,NORESM1-M,CNRM-CM5,GFDL-ESM2G,CCSM4,GFDL-CM3,GISS-E2-R,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0
2001.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0
2002.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0
2003.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0
2004.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0
2005.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0
2006.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0
2007.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0
2008.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0
2009.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0
2010.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0
2011.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0
2012.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0
2013.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0
2014.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0
2015.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0
2016.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0
2017.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0
2018.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0
2019.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0
2020.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0
2021.0,1101207400.0,1098319900.0,1091029800.0,1092476400.0,1089486000.0,1095505300.0,1099088400.0,1095037800.0,1094311600.0,1114267600.0,1100619800.0
2022.0,1086741900.0,1080404400.0,1063611300.0,1082612600.0,1085035600.0,1082322200.0,1088956500.0,1077525600.0,1096893200.0,1088742500.0,1083081700.0
2023.0,1062266560.0,1074628200.0,1040656600.0,1059278500.0,1070635100.0,1073862500.0,1072257600.0,1051643500.0,1087088400.0,1062336600.0,1078231400.0
2024.0,1048007400.0,1063460540.0,1020846300.0,1043478800.0,1049550700.0,1064476740.0,1052730240.0,1025018750.0,1069790700.0,1036321340.0,1076715400.0
2025.0,1040136800.0,1039227000.0,1025155300.0,1029632000.0,1031485060.0,1043249800.0,1039226700.0,1009483460.0,1058738200.0,1004456700.0,1053997900.0
2026.0,1010909500.0,1014025900.0,1035110600.0,1004327040.0,1034867000.0,1024109440.0,1020610700.0,985449100.0,1050532800.0,961297660.0,1042907800.0
2027.0,981838600.0,998674370.0,992197250.0,984826300.0,1014179000.0,1001450600.0,999807550.0,958001340.0,1035724350.0,993948900.0,1016694300.0
2028.0,957329540.0,976810050.0,961241400.0,956462660.0,985327040.0,987693250.0,996709600.0,925356160.0,1029430340.0,938832260.0,1018287800.0
2029.0,941236800.0,956987300.0,949263550.0,934275460.0,1007359740.0,991872450.0,980308800.0,904533300.0,1004508900.0,922877440.0,990835100.0
2030.0,946120000.0,938791900.0,965755140.0,925625600.0,959640000.0,967012160.0,965971840.0,886416500.0,996111100.0,896210400.0,1034624200.0
2031.0,910079170.0,919893500.0,928962100.0,908587460.0,940837060.0,950764000.0,950992960.0,862116400.0,1002301200.0,861803700.0,983151940.0
2032.0,884047800.0,894541600.0,903577800.0,881714500.0,938400450.0,938149000.0,949075650.0,864804350.0,981068540.0,838729540.0,959297860.0
2033.0,849347100.0,894292740.0,884600200.0,865662460.0,923826240.0,952470850.0,915791300.0,833119000.0,965363800.0,816514800.0,945443600.0
2034.0,885178900.0,870393340.0,858045250.0,834520900.0,906633700.0,922111200.0,890206660.0,810815200.0,954170560.0,802992800.0,931448450.0
2035.0,831249540.0,850754400.0,823551600.0,805858560.0,890560700.0,904512500.0,866630660.0,775261500.0,974842700.0,786129660.0,907519040.0
2036.0,809559900.0,832303940.0,800777900.0,794324000.0,872607500.0,891228540.0,850124500.0,743821200.0,930720450.0,776999200.0,888404860.0
2037.0,785498500.0,813662600.0,782089540.0,768987000.0,865850430.0,868719550.0,835095600.0,716981800.0,929091650.0,809840830.0,868770400.0
2038.0,769369800.0,799185340.0,778226750.0,747114600.0,840600450.0,884487000.0,806877760.0,707737400.0,905646300.0,747289340.0,877744000.0
2039.0,739284500.0,780417340.0,757841150.0,728373950.0,821847600.0,897218700.0,795185660.0,688948800.0,887421500.0,733246000.0,900610700.0
2040.0,727224100.0,780792770.0,744598300.0,708858400.0,805332540.0,882656640.0,786330300.0,655069060.0,881149200.0,786927800.0,851906900.0
2041.0,756741500.0,764751100.0,726044600.0,682144600.0,792554500.0,864479000.0,768463600.0,621591600.0,868853100.0,715708500.0,830300000.0
2042.0,702664300.0,739317700.0,711355140.0,656820740.0,770650800.0,827521700.0,751223940.0,626447100.0,850873200.0,689671500.0,863293900.0
2043.0,679747500.0,722265800.0,689756500.0,639935360.0,751987140.0,810497300.0,743819650.0,587807000.0,835616300.0,672543400.0,816061400.0
2044.0,693411400.0,716337600.0,769945600.0,627128100.0,742907900.0,786411600.0,782077600.0,562682900.0,817827260.0,659075260.0,892527170.0
2045.0,668704200.0,698159000.0,681242240.0,618495900.0,731269000.0,776170050.0,748535700.0,542241100.0,850180600.0,684177600.0,826398660.0
2046.0,644283300.0,693717760.0,658766140.0,599435460.0,720362100.0,767236600.0,715827140.0,523172670.0,827576300.0,712512640.0,785873860.0
2047.0,631560300.0,673556860.0,653428900.0,582368200.0,724568800.0,797341950.0,701440800.0,498930720.0,808943740.0,636790700.0,774226500.0
2048.0,620563800.0,652056800.0,634388540.0,571113000.0,701746200.0,759726700.0,781715840.0,478790660.0,800203600.0,634464060.0,761843000.0
2049.0,621966140.0,639182500.0,622977200.0,561386800.0,689757000.0,751489150.0,704134850.0,462380260.0,785365950.0,664627840.0,787652400.0
2050.0,626106560.0,639002300.0,602387460.0,550241500.0,679680640.0,729098000.0,697597800.0,447126620.0,768904450.0,617869060.0,759331140.0
2051.0,640068800.0,630301100.0,583580160.0,541434700.0,660679800.0,713365950.0,690826560.0,429589470.0,761657540.0,613957250.0,746188300.0
2052.0,605785150.0,681123260.0,693789100.0,531176300.0,655346700.0,706370050.0,673413500.0,419158240.0,752862900.0,607878300.0,722184060.0
2053.0,583029950.0,629880640.0,581208260.0,531541800.0,647634370.0,753114430.0,660876540.0,409152450.0,741965900.0,605732000.0,707906300.0
2054.0,600029700.0,611570000.0,564838700.0,512324930.0,626750300.0,695592400.0,723390100.0,390446800.0,737479700.0,614320960.0,700389950.0
2055.0,568407000.0,603633400.0,566188800.0,504037340.0,610944400.0,693686460.0,675207100.0,385501500.0,766328260.0,601612000.0,690942500.0
2056.0,559554600.0,593064700.0,550461200.0,493344640.0,641474050.0,670976000.0,677336400.0,370336580.0,807297000.0,585583000.0,677592700.0
