time,CCSM4,GFDL-CM3,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G
2000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0
2001.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0
2002.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0
2003.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0
2004.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0
2005.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0
2006.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0
2007.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0
2008.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0
2009.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0
2010.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0
2011.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0
2012.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0
2013.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0
2014.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0
2015.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0
2016.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0
2017.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0
2018.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0
2019.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0
2020.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0
2021.0,3571276600000.0,3564379600000.0,3572447000000.0,3569585200000.0,3558162800000.0,3604203000000.0,3571899000000.0,3568797200000.0
2022.0,3549532000000.0,3546914800000.0,3557726000000.0,3540291400000.0,3544820000000.0,3606357000000.0,3553775800000.0,3556158700000.0
2023.0,3542555800000.0,3531121000000.0,3557156500000.0,3520060500000.0,3531705200000.0,3615250700000.0,3542922800000.0,3545284700000.0
2024.0,3529538500000.0,3518913000000.0,3553874000000.0,3498495400000.0,3513801500000.0,3618574000000.0,3534726600000.0,3532270600000.0
2025.0,3509537700000.0,3489699000000.0,3541925000000.0,3472630700000.0,3499403200000.0,3623190500000.0,3508785400000.0,3523524200000.0
2026.0,3493439500000.0,3474907000000.0,3521131600000.0,3455080200000.0,3472420500000.0,3627780700000.0,3485697000000.0,3503399400000.0
2027.0,3474341200000.0,3459445700000.0,3513308400000.0,3419573300000.0,3454993200000.0,3629249000000.0,3470711600000.0,3484225400000.0
2028.0,3461085400000.0,3442175000000.0,3501272900000.0,3382307000000.0,3432027800000.0,3628270000000.0,3445897300000.0,3469123500000.0
2029.0,3440052300000.0,3415200000000.0,3491061800000.0,3351369000000.0,3387558700000.0,3645625000000.0,3437475700000.0,3455280500000.0
2030.0,3409142600000.0,3391299500000.0,3477404000000.0,3314242000000.0,3366313300000.0,3663452200000.0,3416898000000.0,3438979600000.0
2031.0,3393241000000.0,3356680000000.0,3468789800000.0,3292583400000.0,3334456500000.0,3670116400000.0,3382151500000.0,3425570700000.0
2032.0,3379122100000.0,3328333300000.0,3453702600000.0,3264184000000.0,3301369000000.0,3669866800000.0,3373922800000.0,3413095200000.0
2033.0,3368920300000.0,3293084400000.0,3434327000000.0,3233276500000.0,3272904500000.0,3670980700000.0,3356952400000.0,3414932600000.0
2034.0,3352409400000.0,3276060000000.0,3418489000000.0,3213589200000.0,3244119600000.0,3676971200000.0,3345991300000.0,3402518500000.0
2035.0,3332745500000.0,3259388400000.0,3399264000000.0,3189147200000.0,3213140700000.0,3671536200000.0,3329216200000.0,3399342600000.0
2036.0,3322791600000.0,3242813300000.0,3397202700000.0,3173550700000.0,3192802500000.0,3669863000000.0,3314269300000.0,3393329000000.0
2037.0,3292873400000.0,3223475000000.0,3392929000000.0,3147834000000.0,3163775000000.0,3651451500000.0,3307603000000.0,3389977800000.0
2038.0,3275456000000.0,3205128000000.0,3376644600000.0,3125434400000.0,3121853500000.0,3649271500000.0,3284765500000.0,3381200200000.0
2039.0,3262259100000.0,3183355400000.0,3352750200000.0,3102014400000.0,3087804100000.0,3639706400000.0,3263717700000.0,3371368400000.0
2040.0,3239935500000.0,3153056800000.0,3347770200000.0,3081504300000.0,3043839700000.0,3641174000000.0,3244630200000.0,3369426700000.0
2041.0,3206842700000.0,3135909100000.0,3331068800000.0,3055359000000.0,3004093400000.0,3636527000000.0,3233242700000.0,3368230000000.0
2042.0,3198957400000.0,3119429000000.0,3306996600000.0,3032952000000.0,2974766900000.0,3629103000000.0,3203783000000.0,3360496500000.0
2043.0,3175404500000.0,3097533000000.0,3294101000000.0,3013760500000.0,2951490300000.0,3620563300000.0,3187105300000.0,3351143500000.0
2044.0,3151526400000.0,3074941500000.0,3271212700000.0,3000280000000.0,2916339400000.0,3622849500000.0,3160542800000.0,3339519000000.0
2045.0,3138233600000.0,3063698200000.0,3246658000000.0,2969417300000.0,2871264300000.0,3619118600000.0,3152061700000.0,3333742100000.0
2046.0,3121326600000.0,3037727300000.0,3216838000000.0,2935648700000.0,2845479800000.0,3597118500000.0,3143715000000.0,3332776700000.0
2047.0,3107287000000.0,3026280300000.0,3205509700000.0,2910044800000.0,2796404600000.0,3585744600000.0,3126809000000.0,3324052500000.0
2048.0,3094063600000.0,3011525200000.0,3193962500000.0,2879025800000.0,2758642200000.0,3590476500000.0,3103149000000.0,3315989200000.0
2049.0,3085342600000.0,2992569600000.0,3181116700000.0,2838459800000.0,2730649000000.0,3575463000000.0,3085680800000.0,3312440300000.0
2050.0,3066682700000.0,2974236800000.0,3163193300000.0,2803782600000.0,2692691300000.0,3578265900000.0,3070888200000.0,3303468700000.0
2051.0,3050196000000.0,2956987000000.0,3143096000000.0,2767144000000.0,2647935000000.0,3571862200000.0,3049133700000.0,3302956700000.0
2052.0,3028650600000.0,2944477700000.0,3134215200000.0,2745593000000.0,2617122000000.0,3569169000000.0,3021848700000.0,3293310400000.0
2053.0,3010545800000.0,2924014000000.0,3103159500000.0,2726064000000.0,2587634200000.0,3564187700000.0,2998579500000.0,3279788400000.0
2054.0,2975166400000.0,2905326200000.0,3085205200000.0,2702977800000.0,2553313000000.0,3560540500000.0,2984534900000.0,3264924000000.0
2055.0,2955930500000.0,2876590500000.0,3053203000000.0,2674493200000.0,2527392700000.0,3564656100000.0,2958287400000.0,3252126500000.0
2056.0,2942452000000.0,2836900000000.0,3029922000000.0,2650475300000.0,2488438000000.0,3572088200000.0,2949028200000.0,3242056700000.0
2057.0,2914646500000.0,2803872800000.0,3023760000000.0,2625256300000.0,2454138700000.0,3568383600000.0,2925950000000.0,3236389700000.0
2058.0,2886852100000.0,2780892000000.0,3007739600000.0,2603182000000.0,2431242700000.0,3558933500000.0,2904492900000.0,3219099000000.0
2059.0,2870356000000.0,2751720800000.0,2997913600000.0,2580264000000.0,2400434500000.0,3568462700000.0,2887572800000.0,3191330000000.0
2060.0,2854131000000.0,2724132000000.0,2985035800000.0,2551017400000.0,2373426600000.0,3575504700000.0,2877649300000.0,3169424200000.0
2061.0,2833980600000.0,2706351000000.0,2956449500000.0,2531905000000.0,2346021800000.0,3560267600000.0,2860941000000.0,3152448600000.0
2062.0,2815489200000.0,2683873300000.0,2930531600000.0,2511238900000.0,2320328300000.0,3561043800000.0,2844671300000.0,3132708400000.0
2063.0,2801144200000.0,2662077000000.0,2913212300000.0,2487233500000.0,2278415000000.0,3564340000000.0,2839730200000.0,3115861000000.0
2064.0,2778784900000.0,2637559000000.0,2895617500000.0,2467415700000.0,2252327600000.0,3567599200000.0,2828462700000.0,3103448600000.0
