time,GFDL-CM3,CCSM4,NORESM1-M,CANESM2,CSIRO-MK3-6-0,IPSL-CM5A-LR,GISS-E2-R,MPI-ESM-LR,CNRM-CM5,GFDL-ESM2G
2032.0,3248485800000.0,3422328000000.0,3420359200000.0,3365027200000.0,3548029000000.0,3288304200000.0,3361043600000.0,3370097600000.0,3418859000000.0,3434047000000.0
2033.0,3230590800000.0,3409167300000.0,3406107000000.0,3345649000000.0,3528847500000.0,3265927600000.0,3336677600000.0,3358259000000.0,3408673600000.0,3425897800000.0
2034.0,3201385000000.0,3395836000000.0,3408857000000.0,3328600400000.0,3521213400000.0,3238826000000.0,3315223200000.0,3336357300000.0,3394969500000.0,3416511200000.0
2035.0,3174782700000.0,3365623300000.0,3384767200000.0,3314756400000.0,3516317300000.0,3199922600000.0,3290655000000.0,3321735200000.0,3392883400000.0,3413360800000.0
2036.0,3143336000000.0,3338235500000.0,3368730500000.0,3301433400000.0,3503350600000.0,3168687400000.0,3267787000000.0,3299186000000.0,3378193400000.0,3404377000000.0
2037.0,3116692700000.0,3309215700000.0,3345305000000.0,3277205500000.0,3494566000000.0,3132383000000.0,3237123200000.0,3293103000000.0,3364997300000.0,3398311600000.0
2038.0,3101409700000.0,3281555000000.0,3325591600000.0,3249824000000.0,3488710700000.0,3096574200000.0,3207772000000.0,3280132600000.0,3349256900000.0,3385720000000.0
2039.0,3078088000000.0,3271658600000.0,3310040600000.0,3228391200000.0,3481666000000.0,3055083800000.0,3186650000000.0,3262175800000.0,3331473500000.0,3364306600000.0
2040.0,3041697200000.0,3252797800000.0,3277928300000.0,3201191600000.0,3454463600000.0,3004790500000.0,3162409300000.0,3241320000000.0,3325092400000.0,3344634700000.0
2041.0,3020105200000.0,3238130600000.0,3249967700000.0,3188907600000.0,3450571800000.0,2975611000000.0,3136372600000.0,3227521600000.0,3308629500000.0,3325999700000.0
2042.0,2997507600000.0,3222704200000.0,3234463000000.0,3163275000000.0,3440753800000.0,2927255000000.0,3100120400000.0,3201405300000.0,3291977000000.0,3307101000000.0
2043.0,2966352000000.0,3208775200000.0,3210725300000.0,3143034500000.0,3442018000000.0,2893572700000.0,3058494000000.0,3179593000000.0,3281873800000.0,3305828800000.0
2044.0,2946180000000.0,3183253400000.0,3186452600000.0,3121069700000.0,3447334400000.0,2850429900000.0,3026395900000.0,3151876800000.0,3267327200000.0,3303664800000.0
2045.0,2917153000000.0,3170834300000.0,3159152000000.0,3092956300000.0,3424357200000.0,2795486800000.0,2992161700000.0,3134846000000.0,3255843400000.0,3299962800000.0
2046.0,2891623000000.0,3145666700000.0,3137807000000.0,3048467900000.0,3407410400000.0,2748011500000.0,2953827000000.0,3107422000000.0,3238291000000.0,3289128400000.0
2047.0,2856544600000.0,3121601800000.0,3118992500000.0,3025594500000.0,3397978700000.0,2706131600000.0,2915410600000.0,3085179000000.0,3227085000000.0,3283225000000.0
2048.0,2825811400000.0,3092058500000.0,3092231200000.0,2990192000000.0,3384635600000.0,2663412000000.0,2887741900000.0,3054195700000.0,3209181800000.0,3268428400000.0
2049.0,2790287200000.0,3065841700000.0,3057739400000.0,2951408800000.0,3395252000000.0,2621016000000.0,2855186000000.0,3049399500000.0,3194873200000.0,3257687000000.0
2050.0,2760478600000.0,3034785000000.0,3039724600000.0,2918180000000.0,3404403800000.0,2572222000000.0,2830821500000.0,3034509200000.0,3177005200000.0,3224177000000.0
2051.0,2731561500000.0,3010704700000.0,3006410800000.0,2896229000000.0,3393416000000.0,2523367000000.0,2798990100000.0,3010334000000.0,3165489500000.0,3202593000000.0
2052.0,2710697400000.0,2976634000000.0,2971214300000.0,2873837200000.0,3385588400000.0,2476193300000.0,2759112800000.0,2994108000000.0,3146782300000.0,3192207700000.0
2053.0,2684330400000.0,2949975000000.0,2934734600000.0,2844303800000.0,3379217800000.0,2438997700000.0,2733610600000.0,2975881200000.0,3139437900000.0,3182836000000.0
2054.0,2650476600000.0,2924742700000.0,2912729000000.0,2815416900000.0,3356191400000.0,2401016500000.0,2710971600000.0,2962693600000.0,3113789400000.0,3161891000000.0
2055.0,2623161000000.0,2905439200000.0,2882623000000.0,2782042300000.0,3361009300000.0,2354706000000.0,2688388400000.0,2943229400000.0,3092750500000.0,3134976700000.0
2056.0,2590482400000.0,2873807000000.0,2855115700000.0,2749560500000.0,3353990000000.0,2320809600000.0,2657718400000.0,2926447400000.0,3076062400000.0,3126478500000.0
2057.0,2553740000000.0,2848918900000.0,2843815200000.0,2704692700000.0,3359271600000.0,2284946000000.0,2632410500000.0,2900739200000.0,3064513400000.0,3101918500000.0
2058.0,2520434900000.0,2829583400000.0,2815611000000.0,2688759000000.0,3348257600000.0,2246651000000.0,2619448200000.0,2886765600000.0,3039740000000.0,3068434300000.0
2059.0,2477907200000.0,2808017600000.0,2790264000000.0,2670272700000.0,3350160200000.0,2198062900000.0,2600294000000.0,2873344000000.0,3022949000000.0,3043319600000.0
2060.0,2442753000000.0,2781521600000.0,2775283400000.0,2641346700000.0,3358606200000.0,2157882200000.0,2582710600000.0,2861200000000.0,3006720600000.0,3025460000000.0
2061.0,2411692300000.0,2758110300000.0,2747590200000.0,2609935500000.0,3359327600000.0,2119867300000.0,2564725000000.0,2839719000000.0,2999037700000.0,3005490400000.0
2062.0,2380245500000.0,2732124000000.0,2735693000000.0,2591762700000.0,3361168700000.0,2075751500000.0,2557194800000.0,2805151800000.0,2979479200000.0,2975244000000.0
2063.0,2351580300000.0,2714366600000.0,2715140500000.0,2550594500000.0,3361006700000.0,2036056900000.0,2539350000000.0,2779154000000.0,2961496000000.0,2951562700000.0
2064.0,2317843400000.0,2687581300000.0,2686283700000.0,2523489600000.0,3359172500000.0,1997032400000.0,2523726600000.0,2748615500000.0,2941599000000.0,2935079300000.0
2065.0,2289822000000.0,2663021800000.0,2658137300000.0,2493594200000.0,3362128000000.0,1959640400000.0,2504823100000.0,2720494500000.0,2928255700000.0,2908123600000.0
2066.0,2262631400000.0,2633752400000.0,2637406000000.0,2451549500000.0,3362032000000.0,1924901500000.0,2484238000000.0,2706583600000.0,2907500400000.0,2878906000000.0
2067.0,2227868800000.0,2605611000000.0,2613872400000.0,2433242000000.0,3351110000000.0,1891551800000.0,2474671000000.0,2688215700000.0,2886062000000.0,2846128000000.0
2068.0,2193333800000.0,2571477500000.0,2578704500000.0,2420866000000.0,3352821800000.0,1854978900000.0,2462524600000.0,2663230000000.0,2862298200000.0,2829740000000.0
2069.0,2153874200000.0,2539439000000.0,2548277700000.0,2398511700000.0,3343997700000.0,1815745500000.0,2443560400000.0,2642112400000.0,2838550500000.0,2809237300000.0
2070.0,2127620300000.0,2509527800000.0,2516037100000.0,2374593700000.0,3329136800000.0,1783237000000.0,2436083000000.0,2620957700000.0,2819060400000.0,2783169500000.0
2071.0,2097375900000.0,2463293500000.0,2490213900000.0,2341490000000.0,3307364700000.0,1750668100000.0,2431994300000.0,2594140300000.0,2798961600000.0,2763468600000.0
2072.0,2064741000000.0,2435909000000.0,2454566000000.0,2320744300000.0,3297013100000.0,1719488500000.0,2421953000000.0,2569393400000.0,2773852600000.0,2763173100000.0
2073.0,2035237500000.0,2408311200000.0,2429854400000.0,2291255200000.0,3274210800000.0,1688362500000.0,2414922400000.0,2544997800000.0,2757672600000.0,2738938000000.0
2074.0,2010316500000.0,2382256700000.0,2403874600000.0,2252462400000.0,3253380800000.0,1655462200000.0,2391821300000.0,2512752700000.0,2731562500000.0,2710447800000.0
2075.0,1983624600000.0,2359655700000.0,2371928000000.0,2223609200000.0,3244365700000.0,1628010600000.0,2374615000000.0,2492896000000.0,2705462100000.0,2683704000000.0
2076.0,1955972900000.0,2331902500000.0,2345268000000.0,2187775300000.0,3240851000000.0,1605397500000.0,2355683000000.0,2467881300000.0,2663270300000.0,2649501200000.0
2077.0,1926768000000.0,2306811400000.0,2309228000000.0,2157595500000.0,3240952600000.0,1576890400000.0,2337752200000.0,2447467000000.0,2632213300000.0,2623484000000.0
2078.0,1898228100000.0,2279709300000.0,2282406000000.0,2119311300000.0,3247842500000.0,1545619600000.0,2317448600000.0,2424301200000.0,2600378600000.0,2603092800000.0
2079.0,1867708800000.0,2255614400000.0,2258093500000.0,2098593500000.0,3223913000000.0,1524896600000.0,2305978800000.0,2407638800000.0,2576751500000.0,2575402500000.0
2080.0,1841317700000.0,2225120000000.0,2222291000000.0,2070311100000.0,3198651000000.0,1500559300000.0,2291823800000.0,2395761500000.0,2545136200000.0,2554280000000.0
2081.0,1818328000000.0,2196567900000.0,2203470300000.0,2040193900000.0,3194487600000.0,1465929600000.0,2272539000000.0,2375694200000.0,2511333500000.0,2533212000000.0
2082.0,1793549100000.0,2164669800000.0,2172665600000.0,2024988100000.0,3180861800000.0,1440770600000.0,2259479000000.0,2359091300000.0,2483518400000.0,2498808300000.0
2083.0,1765033500000.0,2132121900000.0,2144049200000.0,2000886600000.0,3154256300000.0,1424521800000.0,2244884300000.0,2346063200000.0,2443350600000.0,2480897800000.0
2084.0,1744867800000.0,2107780500000.0,2116043100000.0,1962679600000.0,3139058800000.0,1400680000000.0,2235743600000.0,2317855000000.0,2426382000000.0,2443974300000.0
2085.0,1717270700000.0,2080122300000.0,2079975300000.0,1926434300000.0,3125427000000.0,1380253000000.0,2225368700000.0,2292541800000.0,2400469000000.0,2418577200000.0
2086.0,1685172600000.0,2055855900000.0,2055577500000.0,1886956200000.0,3129445200000.0,1354684800000.0,2206313700000.0,2280903400000.0,2374814700000.0,2380083200000.0
2087.0,1655820500000.0,2024147900000.0,2031697400000.0,1868195400000.0,3117791300000.0,1330876500000.0,2190295800000.0,2258189000000.0,2347167600000.0,2346613000000.0
2088.0,1624203600000.0,1999651700000.0,2000854700000.0,1845214200000.0,3105061900000.0,1299592400000.0,2174506200000.0,2233168000000.0,2310569500000.0,2310335600000.0
2089.0,1590199800000.0,1970254200000.0,1972199600000.0,1817691400000.0,3096015800000.0,1271596400000.0,2167842000000.0,2206144000000.0,2275742300000.0,2277327200000.0
2090.0,1557891100000.0,1938160100000.0,1947939100000.0,1796246000000.0,3068690200000.0,1240312300000.0,2152815400000.0,2179845700000.0,2244839700000.0,2244026600000.0
2091.0,1525787800000.0,1904053700000.0,1923423300000.0,1780027200000.0,3033103300000.0,1207112000000.0,2143079200000.0,2161699000000.0,2206895700000.0,2204465600000.0
2092.0,1492967200000.0,1871003800000.0,1903493900000.0,1761614400000.0,2996619200000.0,1173404100000.0,2139704700000.0,2139549900000.0,2174595800000.0,2174027200000.0
2093.0,1465838900000.0,1846696600000.0,1871313800000.0,1736789900000.0,2967276400000.0,1149198300000.0,2124518800000.0,2125957400000.0,2151180900000.0,2132841900000.0
2094.0,1430081400000.0,1819653800000.0,1847294700000.0,1714625600000.0,2945753300000.0,1130330500000.0,2111572000000.0,2098119000000.0,2117779600000.0,2100293700000.0
2095.0,1390943400000.0,1788243700000.0,1828628000000.0,1682793000000.0,2927493400000.0,1110677700000.0,2096377900000.0,2077061300000.0,2099209300000.0,2064957400000.0
2096.0,1361257300000.0,1765555400000.0,1813456200000.0,1660078300000.0,2900861400000.0,1091138750000.0,2082384900000.0,2056202900000.0,2077279100000.0,2028402500000.0
2097.0,1333139300000.0,1744855500000.0,1789502300000.0,1627597400000.0,2860487500000.0,1063310800000.0,2065479500000.0,2040188600000.0,2055827200000.0,1990447200000.0
2098.0,1295915000000.0,1730859000000.0,1775675600000.0,1601429200000.0,2835469000000.0,1034142700000.0,2051908300000.0,2017463800000.0,2019196900000.0,1951194400000.0
2099.0,1263444300000.0,1700280000000.0,1752705100000.0,1584139500000.0,2825018000000.0,1004256800000.0,2035775400000.0,2003038000000.0,1984778200000.0,1913476200000.0
2100.0,1235909500000.0,1674760700000.0,1733600900000.0,1554879600000.0,2806289000000.0,969105500000.0,2023525600000.0,1984718200000.0,1953109400000.0,1879859900000.0
