time,CCSM4,GFDL-CM3,CANESM2,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-ESM2G,CNRM-CM5,GISS-E2-R,MPI-ESM-LR
2000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0
2001.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0
2002.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0
2003.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0
2004.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0
2005.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0
2006.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0
2007.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0
2008.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0
2009.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0
2010.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0
2011.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0
2012.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0
2013.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0
2014.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0
2015.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0
2016.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0
2017.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0
2018.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0
2019.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0
2020.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0
2021.0,3561251400000.0,3576286200000.0,3577655000000.0,3581484200000.0,3568699400000.0,3575285000000.0,3576752500000.0,3574050800000.0,3569145600000.0,3571679200000.0
2022.0,3543428200000.0,3546504800000.0,3556632400000.0,3572454700000.0,3553948600000.0,3556850800000.0,3561688400000.0,3550136500000.0,3555777800000.0,3545911000000.0
2023.0,3523786000000.0,3530909300000.0,3536116300000.0,3555918600000.0,3545536000000.0,3539009800000.0,3551898400000.0,3527844000000.0,3545051400000.0,3537465000000.0
2024.0,3507955200000.0,3502063700000.0,3521868000000.0,3556735500000.0,3518955300000.0,3522838700000.0,3528294000000.0,3510346200000.0,3546082700000.0,3518900200000.0
2025.0,3489641500000.0,3468537400000.0,3504905400000.0,3545939800000.0,3501360000000.0,3512945300000.0,3514025600000.0,3488863200000.0,3546420600000.0,3505281000000.0
2026.0,3472875600000.0,3445622800000.0,3503700800000.0,3536321000000.0,3480891700000.0,3502337700000.0,3491409400000.0,3474720000000.0,3533982100000.0,3492648300000.0
2027.0,3456739000000.0,3410383900000.0,3473461000000.0,3523883300000.0,3461158800000.0,3503263600000.0,3463269300000.0,3472025500000.0,3518811900000.0,3471185800000.0
2028.0,3439904000000.0,3380647800000.0,3451767500000.0,3500683800000.0,3449858000000.0,3494081700000.0,3461757300000.0,3449189800000.0,3501676300000.0,3452349200000.0
2029.0,3424385500000.0,3356441400000.0,3433151000000.0,3492041700000.0,3421826400000.0,3491296400000.0,3450628500000.0,3420026000000.0,3481592100000.0,3424168400000.0
2030.0,3405084600000.0,3329003000000.0,3418619600000.0,3469785700000.0,3384128000000.0,3496798300000.0,3437440500000.0,3405863700000.0,3467545100000.0,3407479000000.0
2031.0,3394377400000.0,3285088200000.0,3406586000000.0,3449264300000.0,3353326600000.0,3500212200000.0,3416882000000.0,3389531000000.0,3450061000000.0,3406459300000.0
