time,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,CAMS-CSM1-0,ACCESS-CM2,CESM2-WACCM,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR
2018.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0
2019.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0
2020.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0
2021.0,2793420000000.0,2743654000000.0,2751814700000.0,2735244600000.0,2770624000000.0,2779712600000.0,2748481000000.0,2760256000000.0,2761954200000.0,2770578200000.0,2769981500000.0,2780093200000.0,2760824000000.0,2767346200000.0,2782768000000.0,2771931000000.0,2777353600000.0
2022.0,2778916700000.0,2722484500000.0,2743029200000.0,2719787500000.0,2758549400000.0,2782998600000.0,2733189400000.0,2762753700000.0,2779445200000.0,2752259000000.0,2760924700000.0,2756845000000.0,2750946500000.0,2760014300000.0,2758354700000.0,2749952200000.0,2772952200000.0
2023.0,2771696500000.0,2715224600000.0,2720805200000.0,2682220200000.0,2743116800000.0,2774772700000.0,2724173400000.0,2762295500000.0,2726092600000.0,2747656000000.0,2746914200000.0,2741296400000.0,2724809100000.0,2767806500000.0,2751906000000.0,2739767000000.0,2767307100000.0
2024.0,2758034300000.0,2691185200000.0,2692244000000.0,2648794200000.0,2728843500000.0,2778699000000.0,2699569400000.0,2737877800000.0,2705685500000.0,2736364000000.0,2720521000000.0,2721852400000.0,2697726800000.0,2761959700000.0,2736210300000.0,2717239200000.0,2739827000000.0
2025.0,2731585300000.0,2686655700000.0,2672049300000.0,2621344600000.0,2702141600000.0,2755498000000.0,2681950400000.0,2726172000000.0,2671394400000.0,2743108000000.0,2704138300000.0,2710315700000.0,2680477200000.0,2756583400000.0,2725405800000.0,2701057600000.0,2738095400000.0
2026.0,2737881000000.0,2667171000000.0,2650987000000.0,2587486800000.0,2695902500000.0,2736854000000.0,2656487000000.0,2701934500000.0,2653195600000.0,2733091800000.0,2680579700000.0,2708980400000.0,2669835500000.0,2739127500000.0,2708171000000.0,2684361400000.0,2729651700000.0
2027.0,2733812700000.0,2643421000000.0,2623648600000.0,2549809200000.0,2686915000000.0,2741330200000.0,2623834400000.0,2661974800000.0,2627505800000.0,2720858000000.0,2660075800000.0,2685176400000.0,2641959600000.0,2725451000000.0,2676490200000.0,2676655400000.0,2720066700000.0
2028.0,2731015000000.0,2607489000000.0,2610198700000.0,2498621900000.0,2658709500000.0,2730618800000.0,2598399000000.0,2636567300000.0,2608844200000.0,2702771000000.0,2640930000000.0,2662622600000.0,2607581000000.0,2707920000000.0,2661042000000.0,2664872000000.0,2700282200000.0
