time,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0
2001.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0
2002.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0
2003.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0
2004.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0
2005.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0
2006.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0
2007.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0
2008.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0
2009.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0
2010.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0
2011.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0
2012.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0
2013.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0
2014.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0
2015.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0
2016.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0
2017.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0
2018.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0
2019.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0
2020.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0
2021.0,2758805000000.0,2763900300000.0,2761254800000.0,2769233600000.0
2022.0,2742078100000.0,2763272000000.0,2730969300000.0,2760263300000.0
2023.0,2720674300000.0,2767661800000.0,2694089000000.0,2729710000000.0
2024.0,2700668300000.0,2750241800000.0,2660715200000.0,2707004000000.0
2025.0,2680779200000.0,2733549800000.0,2624265700000.0,2692216000000.0
2026.0,2651707400000.0,2706575000000.0,2577934000000.0,2670742200000.0
2027.0,2637200400000.0,2687790200000.0,2577431800000.0,2636109000000.0
2028.0,2614009000000.0,2671759900000.0,2541337700000.0,2607960300000.0
2029.0,2606469200000.0,2644317600000.0,2506996800000.0,2590180000000.0
2030.0,2572376000000.0,2629860300000.0,2464555200000.0,2576645400000.0
2031.0,2561644700000.0,2615665500000.0,2419533800000.0,2552712700000.0
2032.0,2542369200000.0,2594859600000.0,2386689800000.0,2537274500000.0
2033.0,2507428600000.0,2576416000000.0,2342788800000.0,2503353000000.0
2034.0,2482418500000.0,2545888500000.0,2321219800000.0,2471143000000.0
2035.0,2485341400000.0,2519093200000.0,2256930600000.0,2446722600000.0
2036.0,2479554300000.0,2505956000000.0,2215115200000.0,2418131300000.0
2037.0,2458378000000.0,2492093700000.0,2173359600000.0,2391348600000.0
2038.0,2434447400000.0,2475050400000.0,2137804000000.0,2346555500000.0
2039.0,2404822300000.0,2447676800000.0,2075380300000.0,2303524900000.0
2040.0,2368787200000.0,2421569000000.0,2081059400000.0,2285502200000.0
2041.0,2334279000000.0,2380705300000.0,2038538200000.0,2240581000000.0
2042.0,2309802700000.0,2362399800000.0,2010577900000.0,2210725000000.0
2043.0,2273411600000.0,2338816000000.0,1949255200000.0,2168329500000.0
2044.0,2245571400000.0,2312556800000.0,1900749100000.0,2117804100000.0
2045.0,2209710300000.0,2282558300000.0,1870924700000.0,2082733800000.0
2046.0,2160483600000.0,2255842000000.0,1834894800000.0,2041861100000.0
2047.0,2133521500000.0,2230134200000.0,1792112700000.0,2009372800000.0
2048.0,2099906200000.0,2190339100000.0,1764471100000.0,1957566600000.0
2049.0,2080318800000.0,2167068400000.0,1727760400000.0,1919237200000.0
2050.0,2043466600000.0,2132469200000.0,1687167300000.0,1882038900000.0
2051.0,2006895700000.0,2104816000000.0,1665848700000.0,1857289200000.0
2052.0,1983254500000.0,2079321900000.0,1636354600000.0,1820232800000.0
