time,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CESM2,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0
2000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0
2001.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0
2002.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0
2003.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0
2004.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0
2005.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0
2006.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0
2007.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0
2008.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0
2009.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0
2010.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0
2011.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0
2012.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0
2013.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0
2014.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0
2015.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0
2016.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0
2017.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0
2018.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0
2019.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0
2020.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0
2021.0,2765774700000.0,2763753300000.0,2771918500000.0,2764990800000.0,2756211600000.0,2772219200000.0,2779391000000.0,2758520600000.0,2769917600000.0,2749251000000.0,2771778800000.0,2758009200000.0,2762278400000.0
2022.0,2742164700000.0,2764958900000.0,2750951000000.0,2765716700000.0,2745410500000.0,2763708000000.0,2771472400000.0,2758144200000.0,2752618000000.0,2708115800000.0,2749213700000.0,2750805400000.0,2751034600000.0
2023.0,2719120000000.0,2745281000000.0,2728638000000.0,2753040500000.0,2720153500000.0,2741303800000.0,2749290300000.0,2748736300000.0,2736904000000.0,2674646000000.0,2725168800000.0,2756334800000.0,2734862400000.0
2024.0,2710018700000.0,2743936000000.0,2704405700000.0,2706140800000.0,2702594000000.0,2733692000000.0,2761267600000.0,2739775000000.0,2732642300000.0,2659211500000.0,2716942000000.0,2739276000000.0,2728593200000.0
2025.0,2690077400000.0,2733909700000.0,2678524200000.0,2704710000000.0,2689741600000.0,2731783200000.0,2750662600000.0,2728019000000.0,2713814600000.0,2622902500000.0,2707510500000.0,2741441000000.0,2712768300000.0
2026.0,2654937800000.0,2733029700000.0,2667888200000.0,2699473200000.0,2677862000000.0,2747475200000.0,2732618200000.0,2693343000000.0,2713068200000.0,2590237800000.0,2690839200000.0,2725360000000.0,2696828700000.0
2027.0,2629369000000.0,2727618000000.0,2648356000000.0,2691509000000.0,2658288500000.0,2725748100000.0,2707690000000.0,2675917200000.0,2696513300000.0,2553221000000.0,2696801000000.0,2712628600000.0,2690780200000.0
2028.0,2617241000000.0,2704898300000.0,2622769000000.0,2665526900000.0,2633589000000.0,2718803000000.0,2696950300000.0,2666325300000.0,2675710400000.0,2528904700000.0,2691005200000.0,2702446400000.0,2678265000000.0
2029.0,2581520200000.0,2692308000000.0,2599730300000.0,2650258800000.0,2600336600000.0,2703054000000.0,2681865800000.0,2661920000000.0,2660346400000.0,2499464000000.0,2681752800000.0,2684365300000.0,2660603500000.0
2030.0,2549573200000.0,2683232600000.0,2578112800000.0,2647397000000.0,2583915700000.0,2698013000000.0,2662909300000.0,2645684400000.0,2656966500000.0,2456572700000.0,2672164900000.0,2658712200000.0,2627676400000.0
2031.0,2528275000000.0,2656634700000.0,2573167800000.0,2633210800000.0,2559433800000.0,2676386200000.0,2644505500000.0,2621583700000.0,2635488300000.0,2417271000000.0,2659053700000.0,2635658000000.0,2612956800000.0
2032.0,2507528700000.0,2635882300000.0,2568976900000.0,2612488800000.0,2535675400000.0,2661047300000.0,2646289200000.0,2622746300000.0,2604694500000.0,2371992200000.0,2648283500000.0,2617931000000.0,2603959500000.0
2033.0,2485422700000.0,2609276500000.0,2549091100000.0,2601936000000.0,2529497700000.0,2660943000000.0,2642028300000.0,2621655000000.0,2586111000000.0,2335500000000.0,2644713000000.0,2608924500000.0,2572502200000.0
2034.0,2465108000000.0,2580825000000.0,2538727800000.0,2588833700000.0,2504209500000.0,2626954000000.0,2624418700000.0,2598538000000.0,2566094300000.0,2293137000000.0,2619253200000.0,2606823600000.0,2553042000000.0
2035.0,2419802200000.0,2550098000000.0,2531707800000.0,2566486800000.0,2482005600000.0,2603371200000.0,2613885500000.0,2573407000000.0,2550733700000.0,2249622000000.0,2595259700000.0,2583892300000.0,2524478000000.0
2036.0,2402159000000.0,2519574500000.0,2525722300000.0,2551007400000.0,2454964700000.0,2603934000000.0,2608465700000.0,2557312000000.0,2525248600000.0,2204712300000.0,2581256500000.0,2564683200000.0,2494976800000.0
2037.0,2376025000000.0,2492320700000.0,2513146500000.0,2547930400000.0,2432943500000.0,2610141600000.0,2583855600000.0,2531077000000.0,2496979800000.0,2150803700000.0,2590731100000.0,2555534000000.0,2472356300000.0
2038.0,2340948500000.0,2475306300000.0,2482802300000.0,2527809800000.0,2409920200000.0,2581205000000.0,2567081800000.0,2514085500000.0,2482388900000.0,2119346000000.0,2562758300000.0,2555258600000.0,2443197500000.0
2039.0,2319314600000.0,2452464300000.0,2477419000000.0,2503755700000.0,2380665500000.0,2567632800000.0,2557653000000.0,2500895000000.0,2471144000000.0,2085741800000.0,2537023000000.0,2540830700000.0,2421388700000.0
2040.0,2302849800000.0,2409555000000.0,2478758200000.0,2494821800000.0,2356023400000.0,2564160200000.0,2546601800000.0,2487778000000.0,2442811000000.0,2052441900000.0,2516075700000.0,2522580000000.0,2386652000000.0
2041.0,2261753000000.0,2372855100000.0,2461757900000.0,2490268400000.0,2330241800000.0,2569139400000.0,2536893600000.0,2482100500000.0,2421882400000.0,2002346400000.0,2494177000000.0,2504229700000.0,2347031300000.0
2042.0,2234238600000.0,2348858700000.0,2429429200000.0,2479957000000.0,2292827600000.0,2549785600000.0,2510617300000.0,2460569800000.0,2389386700000.0,1967426100000.0,2467187700000.0,2482097400000.0,2305849600000.0
2043.0,2212901400000.0,2316408700000.0,2403513000000.0,2469609000000.0,2256941600000.0,2530690200000.0,2498476000000.0,2447802600000.0,2356508000000.0,1935341600000.0,2456174200000.0,2469704200000.0,2277912300000.0
2044.0,2177605300000.0,2278655000000.0,2405140000000.0,2451688400000.0,2232380000000.0,2511091800000.0,2468480300000.0,2416832200000.0,2338513000000.0,1884535900000.0,2453012200000.0,2441798000000.0,2255367400000.0
