time,GFDL-ESM4,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,CMCC-CM2-SR5,MRI-ESM2-0,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,CESM2
2000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0
2001.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0
2002.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0
2003.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0
2004.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0
2005.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0
2006.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0
2007.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0
2008.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0
2009.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0
