time,CCSM4,GFDL-CM3,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G,CESM1-CAM5,CSIRO-MK3-6-0,GISS-E2-R
2000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0
2001.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0
2002.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0
2003.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0
2004.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0
2005.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0
2006.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0
2007.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0
2008.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0
2009.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0
2010.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0
2011.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0
2012.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0
2013.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0
2014.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0
2015.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0
2016.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0
2017.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0
2018.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0
2019.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0
2020.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0
2021.0,18041362000000.0,18009452000000.0,17966297000000.0,17996170000000.0,18083991000000.0,17941158000000.0,18070993000000.0,18008920000000.0
2022.0,17997215000000.0,17916643000000.0,17849037000000.0,17915946000000.0,17982950000000.0,17880387000000.0,17966540000000.0,17926967000000.0
2023.0,17856182000000.0,17799404000000.0,17640504000000.0,17790946000000.0,17873859000000.0,17912092000000.0,17846761000000.0,17824485000000.0
2024.0,17801520000000.0,17749584000000.0,17408348000000.0,17642274000000.0,17734325000000.0,17789470000000.0,17766782000000.0,17744414000000.0
2025.0,17741805000000.0,17677588000000.0,17218165000000.0,17584973000000.0,17580991000000.0,17688095000000.0,17657349000000.0,17671272000000.0
2026.0,17705034000000.0,17604408000000.0,17054369000000.0,17476961000000.0,17501899000000.0,17643663000000.0,17580437000000.0,17615758000000.0
2027.0,17656180000000.0,17523259000000.0,16864314000000.0,17367090000000.0,17577520000000.0,17519078000000.0,17458011000000.0,17531274000000.0
2028.0,17607740000000.0,17476922000000.0,16766097000000.0,17279791000000.0,17621221000000.0,17375995000000.0,17394431000000.0,17425410000000.0
2029.0,17478492000000.0,17331157000000.0,16620425000000.0,17193876000000.0,17532600000000.0,17238433000000.0,17321939000000.0,17373693000000.0
2030.0,17338007000000.0,17201617000000.0,16442208000000.0,17066955000000.0,17477157000000.0,17136040000000.0,17244346000000.0,17269133000000.0
2031.0,17298671000000.0,17111830000000.0,16299960000000.0,17011080000000.0,17331811000000.0,17108891000000.0,17192991000000.0,17130717000000.0
2032.0,17201240000000.0,16940040000000.0,16146672000000.0,16857299000000.0,17231719000000.0,16912823000000.0,17080777000000.0,17051877000000.0
2033.0,17152735000000.0,16839717000000.0,16065486000000.0,16694818000000.0,17134616000000.0,16701548000000.0,17016654000000.0,16946798000000.0
2034.0,17013992000000.0,16717672000000.0,15885252000000.0,16540224000000.0,16994388000000.0,16604309000000.0,17021953000000.0,16847268000000.0
2035.0,17032500000000.0,16601181000000.0,15668921000000.0,16458842000000.0,16858993000000.0,16512926000000.0,17000048000000.0,16741907000000.0
2036.0,16916055000000.0,16355774000000.0,15491565000000.0,16318663000000.0,16673640000000.0,16463317000000.0,17008944000000.0,16526160000000.0
2037.0,16799129000000.0,16307448000000.0,15393060000000.0,16211378000000.0,16609161000000.0,16382205000000.0,17027994000000.0,16495296000000.0
2038.0,16824896000000.0,16151974000000.0,15208264000000.0,16073805000000.0,16503109000000.0,16251309000000.0,16862689000000.0,16419702000000.0
2039.0,16709028000000.0,16064222000000.0,15050844000000.0,15849022000000.0,16391940000000.0,16134787000000.0,16743697000000.0,16337275000000.0
2040.0,16616094000000.0,15907546000000.0,14896260000000.0,15743029000000.0,16296109000000.0,15962133000000.0,16522403000000.0,16186030000000.0
2041.0,16537433000000.0,15774086000000.0,14792874000000.0,15611144000000.0,16340122000000.0,15775512000000.0,16429229000000.0,16087478000000.0
2042.0,16412640000000.0,15619517000000.0,14684558000000.0,15523115000000.0,16184746000000.0,15702064000000.0,16394406000000.0,15976515000000.0
2043.0,16328397000000.0,15419047000000.0,14534931000000.0,15419956000000.0,16055267000000.0,15570807000000.0,16402979000000.0,15849497000000.0
2044.0,16197176000000.0,15346753000000.0,14421396000000.0,15344354000000.0,15966430000000.0,15422898000000.0,16282752000000.0,15694799000000.0
2045.0,16199493000000.0,15108722000000.0,14340725000000.0,15194880000000.0,15966983000000.0,15249239000000.0,16229704000000.0,15561160000000.0
2046.0,16111977000000.0,14988252000000.0,14191038000000.0,15053681000000.0,15936198000000.0,15154556000000.0,16137527000000.0,15560512000000.0
2047.0,15959185000000.0,14793646000000.0,14125839000000.0,14804716000000.0,15826724000000.0,15025426000000.0,15975313000000.0,15429923000000.0
2048.0,15822372000000.0,14687362000000.0,13935619000000.0,14638445000000.0,15700043000000.0,14966703000000.0,15822894000000.0,15289490000000.0
2049.0,15689371000000.0,14502823000000.0,13766280000000.0,14546246000000.0,15655633000000.0,14835589000000.0,15716378000000.0,15201386000000.0
2050.0,15555281000000.0,14369525000000.0,13617839000000.0,14392407000000.0,15537230000000.0,14537516000000.0,15607347000000.0,15094182000000.0
2051.0,15442266000000.0,14264948000000.0,13448207000000.0,14216102000000.0,15396366000000.0,14336294000000.0,15415766000000.0,14989504000000.0
2052.0,15281842000000.0,14134955000000.0,13346427000000.0,14035493000000.0,15305599000000.0,14207080000000.0,15332803000000.0,14905995000000.0
2053.0,15225589000000.0,13959164000000.0,13062927000000.0,13848105000000.0,15197328000000.0,14027454000000.0,15205415000000.0,14715608000000.0
2054.0,15159870000000.0,13754763000000.0,12906807000000.0,13644548000000.0,15097005000000.0,13855763000000.0,15087167000000.0,14549842000000.0
2055.0,15071762000000.0,13583007000000.0,12752977000000.0,13545924000000.0,15033870000000.0,13705089000000.0,15005989000000.0,14440936000000.0
